Hero,All Pick Rate,All Win Rate,All KDA,Bronze Pick Rate,Bronze Win Rate,Bronze KDA,Silver Pick Rate,Silver Win Rate,Silver KDA,Gold Pick Rate,Gold Win Rate,Gold KDA,Platinum Pick Rate,Platinum Win Rate,Platinum KDA,Diamond Pick Rate,Diamond Win Rate,Diamond KDA,Master Pick Rate,Master Win Rate,Master KDA,Grandmaster Pick Rate,Grandmaster Win Rate,Grandmaster KDA,Champion Pick Rate,Champion Win Rate,Champion KDA
Ana,6.64,48.93,3.92,3.83,52.74,3.16,5.03,49.48,3.3,5.94,48.88,3.63,7.12,48.65,3.98,8.21,48.76,4.3,8.63,48.8,4.51,7.45,49.16,4.63,5.7,66.27,5.33
Kiriko,5.66,48.71,4.03,5.52,50.75,3.29,6.31,48.67,3.49,5.83,48.52,3.87,5.48,48.63,4.23,5.39,48.57,4.47,5.29,48.81,4.62,4.95,49.72,4.82,2.96,64.66,6.37
Genji,5.83,53.04,2.33,6.04,62.38,2.89,4.94,51.4,2.15,5.48,52.27,2.26,6.12,52.92,2.33,6.44,53.03,2.38,6.31,53.16,2.49,5.66,53.91,2.67,2.71,57.96,3.02
Moira,2.67,47.39,4.37,3.61,50.14,3.66,3.76,48.08,3.88,3.11,47.23,4.24,2.46,46.78,4.72,1.88,46.61,5.12,1.24,46.05,5.33,0.58,46.24,5.48,0.61,69.18,8.19
Sojourn,2.7,45.43,2.31,2.64,50.73,2.32,2.86,45.32,2.12,2.72,44.82,2.21,2.56,44.68,2.32,2.61,45.55,2.46,2.95,46.16,2.61,3.44,49.2,2.89,2.66,57.72,3.05
Soldier: 76,3.46,49.31,2.48,4.9,55.47,2.7,4.11,48.74,2.31,3.76,48.36,2.41,3.31,48.86,2.51,2.85,49.56,2.63,2.39,50.35,2.77,1.84,51.39,3.01,0.66,61.8,3.06
Cassidy,7.07,48.26,2.31,5.09,57.46,2.5,5.42,49.07,2.1,6.36,48.56,2.21,7.48,47.71,2.31,8.46,47.34,2.4,9,46.93,2.5,9.37,48.26,2.68,13.31,75.22,3.9
Zenyatta,2.87,52.64,4.63,3.03,54.17,3.94,3.03,52.41,4.06,2.96,52.97,4.43,2.97,52.95,4.85,2.76,52.09,5.15,2.28,50.68,5.34,1.61,48.91,5.48,0.3,52.88,6.91
Reaper,2.74,56.16,2.55,3.45,60.48,2.97,3.07,54.67,2.48,3.01,55.44,2.52,2.66,56.18,2.54,2.36,57.07,2.57,2,57.42,2.61,1.92,59.34,2.81,6.28,65.2,3.17
Juno,2.07,49.17,3.71,3.02,50.05,2.97,2.67,48.57,3.22,2.2,48.95,3.61,1.86,49.26,4.03,1.68,49.92,4.33,1.63,49.56,4.39,1.33,49.99,4.12,0.53,66.6,4.85
Ashe,2.07,51.14,2.75,1.85,55.27,2.69,2.03,51.08,2.52,2.09,50.89,2.68,2.13,50.87,2.8,2.09,50.9,2.86,2,51.39,2.94,1.83,53.28,3.13,0.91,67.16,3.9
Ramattra,1.22,46.36,3.11,1.84,52.87,3.34,1.89,47.49,3.08,1.56,45.52,3.07,1.03,44.87,3.1,0.64,44.94,3.16,0.48,45.28,3.22,0.42,48.18,3.46,0.33,48.16,3.22
Mercy,2.58,49.48,3.77,3.49,48.06,2.46,2.54,47.11,2.79,2.37,49.41,3.45,2.47,50,4.09,2.73,50.32,4.69,2.9,50.61,5.22,2.99,52.02,5.7,4.59,78.11,7.2
Zarya,1.5,51.23,4.21,1.11,55.44,4.03,1.32,51.35,3.82,1.5,50.52,3.98,1.53,50.04,4.21,1.49,51.57,4.54,1.83,53.41,4.84,2.55,56.22,5.25,3.79,61.06,6.04
Bastion,1.36,46.88,2.49,2.31,52.51,2.63,2.16,47.66,2.4,1.64,45.77,2.43,1.12,45.39,2.53,0.77,46.93,2.69,0.57,47.38,2.74,0.41,46.84,2.94,0.61,51.51,3.41
Lúcio,1.43,53.09,3.12,2.56,55.72,2.7,2.03,52.69,2.83,1.57,52.62,3.06,1.2,52.89,3.3,1.03,53.73,3.56,0.95,52.44,3.63,0.83,54.95,4.02,0.22,99.11,13.09
Mauga,1.14,48.1,3.79,1.61,49.4,3.68,1.41,46.99,3.49,1.27,46.97,3.66,1.07,48.53,3.94,0.86,50.07,4.09,0.72,49.77,4.26,0.8,53.85,4.59,7.81,64.5,5.87
Hanzo,3.5,50.57,2.92,3.62,57.36,2.98,3.35,50.47,2.63,3.32,50.17,2.79,3.42,50.13,2.95,3.72,50.1,3.09,4.11,50.55,3.24,4.3,51.8,3.42,3.93,55.61,3.76
