Hero,All Pick Rate,All Win Rate,All KDA,Bronze Pick Rate,Bronze Win Rate,Bronze KDA,Silver Pick Rate,Silver Win Rate,Silver KDA,Gold Pick Rate,Gold Win Rate,Gold KDA,Platinum Pick Rate,Platinum Win Rate,Platinum KDA,Diamond Pick Rate,Diamond Win Rate,Diamond KDA,Master Pick Rate,Master Win Rate,Master KDA,Grandmaster Pick Rate,Grandmaster Win Rate,Grandmaster KDA,Champion Pick Rate,Champion Win Rate,Champion KDA
Ana,7.29,49.89,3.89,4.15,52.19,3.1,5.85,50.25,3.29,6.79,49.97,3.59,7.75,49.68,3.98,9.11,49.48,4.32,9.3,49.7,4.61,7.97,51.53,4.81,5.52,83.42,5.91
Kiriko,6.16,49.01,3.94,5.93,53.03,3.43,6.6,48.69,3.41,6.22,48.46,3.73,5.99,48.68,4.13,6.1,49.49,4.49,6.07,48.84,4.65,5.41,51.36,4.89,1.03,65.7,7.61
Genji,5.63,52.63,2.34,7,66,3.25,5.01,50.35,2.13,5.39,51.11,2.25,5.83,52,2.31,5.94,52.5,2.38,5.57,51.64,2.48,4.62,52.73,2.66,2.64,46.31,2.07
Moira,4.01,50.49,4.75,4.42,53.66,3.97,4.83,50.33,4.14,4.36,49.63,4.48,3.83,50.56,5.07,3.4,51.07,5.72,2.66,50.79,6.16,1.87,49.77,6.45,0.92,88.36,6.59
Sojourn,2.91,46.01,2.42,3.09,54.01,2.65,3.09,45.92,2.2,2.9,44.88,2.31,2.77,44.99,2.43,2.77,45.7,2.59,3.13,47.2,2.78,3.52,48.81,3.06,10.11,62.21,3.41
Soldier: 76,3.76,49.52,2.57,5.62,59.26,3.14,4.28,48.64,2.38,3.9,48.12,2.45,3.6,48.24,2.56,3.12,49.21,2.68,2.64,49.69,2.88,2.2,51.31,3.13,0.8,80.03,3.5
Cassidy,6.04,49.12,2.49,4.39,56.63,2.56,4.83,49.76,2.23,5.34,49.35,2.37,6.35,48.55,2.5,7.44,47.95,2.63,8.31,48.06,2.77,9.42,49.03,2.95,14.02,62.04,3.69
Zenyatta,3.37,51.95,4.42,2.44,53.99,3.81,3.61,51.88,3.93,3.5,52.27,4.23,3.47,52.42,4.64,3.28,50.99,4.98,2.92,49.13,5.2,2.23,47.45,5.2,0.69,84.53,11.15
Reaper,2.79,56.44,2.61,4.93,68.5,3.82,3.31,54.33,2.49,2.99,54.87,2.51,2.63,55.27,2.52,1.99,55.85,2.56,1.49,56.09,2.58,1.28,58.13,2.88,N,N,N
Juno,2.94,49.63,3.66,4.31,54.23,3.37,3.64,48.7,3.17,2.98,48.64,3.48,2.62,49.7,3.93,2.44,49.91,4.34,2.47,50.52,4.54,2.39,49.05,4.64,2.99,82.51,8.63
Ashe,2.27,51.29,2.73,1.13,52.74,2.44,1.93,50.83,2.56,2.19,51.56,2.67,2.46,51.22,2.8,2.63,50.75,2.81,2.73,51.82,2.92,2.39,53.24,3.09,1.03,38.57,2.13
