Hero,All Pick Rate,All Win Rate,All KDA,Bronze Pick Rate,Bronze Win Rate,Bronze KDA,Silver Pick Rate,Silver Win Rate,Silver KDA,Gold Pick Rate,Gold Win Rate,Gold KDA,Platinum Pick Rate,Platinum Win Rate,Platinum KDA,Diamond Pick Rate,Diamond Win Rate,Diamond KDA,Master Pick Rate,Master Win Rate,Master KDA,Grandmaster Pick Rate,Grandmaster Win Rate,Grandmaster KDA,Champion Pick Rate,Champion Win Rate,Champion KDA
Ana,6.72,48.48,3.92,3.43,49.72,2.94,4.75,48.27,3.27,6.1,48.57,3.73,7.67,48.15,4.03,8.93,48.58,4.27,8.67,48.67,4.37,8.11,49.66,4.55,15.03,55.41,4.28
Kiriko,6.29,50.04,4.32,6.38,49.97,3.38,7.06,49.93,3.81,6.39,50.05,4.3,6,49.88,4.63,6.05,51.11,4.85,5.63,47.98,4.78,4.91,52.48,5.24,5.24,90.74,6.86
Genji,4.7,52.07,2.26,4.25,58.71,2.64,3.54,50.09,2.03,4.5,52.32,2.22,5.3,52.06,2.26,5.52,51.62,2.32,5.18,51.07,2.37,3.94,52.27,2.59,2.8,77.12,3.63
Moira,2.48,50.19,4.59,4.38,50.13,3.77,3.73,49.44,4.08,2.61,50.75,4.57,2,50.31,5.31,1.65,50.79,5.57,1.08,50.53,6,0.42,43.68,6.51,N,N,N
Sojourn,1.49,44.81,2.36,1.62,49.09,2.37,1.52,43.36,2.11,1.4,44.26,2.26,1.37,44.69,2.38,1.5,44.9,2.55,1.95,45.47,2.67,2.18,47.26,2.85,2.45,76.35,6
Soldier: 76,3.07,50.92,2.56,3.99,54.37,2.76,3.56,50.3,2.42,3.3,50.29,2.48,2.83,50.03,2.55,2.56,51.55,2.71,2.31,52.63,2.84,2.01,57.5,3.11,N,N,N
Cassidy,3.6,48.07,2.41,2.96,58.28,2.7,2.85,49.29,2.19,3.22,46.4,2.26,3.74,47.59,2.42,4.34,46.62,2.53,5.06,47.49,2.7,5.62,51.58,2.86,4.2,48.16,3.8
Zenyatta,2.36,53.07,4.77,2.6,53.2,3.95,2.44,53.53,4.24,2.38,52.3,4.66,2.46,53.82,5.06,2.25,52.98,5.29,1.98,52.78,5.73,1.21,45.5,5.37,1.05,100,7.2
Reaper,2.53,56.71,2.54,2.9,60.19,2.95,2.74,54.07,2.43,2.67,55.35,2.46,2.5,57.59,2.54,2.23,58.24,2.58,2.02,60.7,2.7,1.92,62.24,2.95,0.35,0,0
Juno,1.84,51,4.09,3.01,49.23,3.29,2.31,49.81,3.51,1.69,51.3,4.16,1.6,51.81,4.63,1.65,51.59,4.75,1.4,54.5,4.59,2.08,53.95,5.44,2.1,22.69,4.4
Ashe,1.69,50.84,2.79,1.42,51.76,2.73,1.65,48.86,2.52,1.78,50.88,2.74,1.7,50.51,2.86,1.67,51.11,2.92,1.67,53.64,3.09,1.99,60.23,3.23,0.7,0,2.44
Ramattra,2.11,50.69,3.26,2.86,50.23,3.16,2.89,50.06,3.05,2.44,49.92,3.22,1.77,51.19,3.4,1.36,53.3,3.6,1.09,52.17,3.65,1.33,56.17,4.11,3.85,90.88,8.7
Mercy,3.75,49.38,3.87,4.04,46.84,2.54,3.3,48.12,3.04,3.53,50.76,3.79,3.94,49.43,4.22,4.11,49.32,4.59,3.99,49.38,4.84,4.24,49.53,5.5,8.04,49.19,4.11
Zarya,1.46,49.69,4.25,1.12,53.43,4.06,1.23,48.3,3.66,1.48,49.89,4.03,1.44,48.6,4.32,1.49,49.47,4.68,1.96,50.82,4.84,3.01,54.42,5.52,0.7,0,2.29
Bastion,1.2,45.99,2.46,2.07,50.42,2.53,1.9,45.31,2.4,1.32,45.39,2.38,0.9,44.68,2.6,0.67,47.94,2.64,0.56,40.6,2.58,0.45,46.11,2.71,N,N,N
Lúcio,0.92,51.28,2.92,1.71,51.95,2.36,1.16,49.93,2.59,0.84,51.95,2.97,0.76,51.82,3.21,0.8,53.11,3.42,0.81,44.41,3.17,0.71,60.49,4.25,N,N,N
Mauga,1.43,47.65,3.75,1.78,46.99,3.4,1.67,45.69,3.33,1.52,47.04,3.74,1.36,47.93,3.89,1.08,51.18,4.25,1.13,52.11,4.61,1.1,49.98,4.28,4.55,81.85,9.04
Hanzo,1.29,48.89,2.83,1.68,55.03,2.95,1.29,47.59,2.47,1.23,48.41,2.73,1.23,49.14,2.9,1.3,48.31,3.02,1.41,47.5,3.15,1.43,50.17,3.57,N,N,N
Pharah,0.83,52.93,2.58,0.92,56.8,2.71,0.86,50.97,2.41,0.83,52.09,2.49,0.78,53.13,2.56,0.82,53.4,2.6,0.87,53.31,3.01,1.03,62.74,3.3,1.4,25.06,2.2
Illari,1.97,53.07,3.47,1.69,52.66,2.8,1.93,52.77,3.02,1.82,52.73,3.38,1.94,53.7,3.66,2.21,52.45,3.71,2.3,54.08,3.92,2.55,53.99,3.9,2.1,72.5,4.1
Doomfist,2.83,51.12,3.08,1.31,53.43,3.07,1.74,50.43,2.78,2.53,51.43,2.93,3.52,51.36,3.05,3.7,50.03,3.24,3.61,51.4,3.39,3.74,54.06,3.76,1.75,4.39,2.55
Venture,0.61,50.99,2.16,0.44,54.1,2.14,0.59,52.92,2.19,0.67,49.14,2.11,0.65,50.04,2.18,0.58,52.89,2.19,0.5,52.84,2.23,0.59,47.83,2.09,N,N,N
Junkrat,0.8,51.74,2.36,1.33,52.07,2.37,1.1,52.44,2.21,0.85,50,2.31,0.69,52.92,2.5,0.54,53.29,2.49,0.45,49.63,2.51,0.22,42.74,2.76,N,N,N
Sigma,2.35,51.85,3.66,2.16,55.27,3.55,2.56,50.84,3.35,2.6,52.02,3.63,2.28,51.3,3.78,1.97,52.58,3.92,2.03,50.47,3.95,2.36,56.82,4.17,3.15,37.79,4.06
Brigitte,1.27,54.12,3.94,0.95,52.68,2.79,1.1,54.43,3.22,1.2,53.52,3.62,1.34,53.6,4.2,1.49,56.64,4.54,1.44,51.33,4.74,1.68,57.01,5.2,1.4,100,4.48
Widowmaker,0.92,48.16,2.46,1.46,55.31,3.01,0.85,44.3,2.19,0.85,46.22,2.35,0.78,48.13,2.46,0.87,48.47,2.51,1.36,50.48,2.52,1.67,51.27,2.92,2.1,54.63,3.36
Lifeweaver,2.1,50.82,4.63,1.72,51.3,3.31,2.2,50.55,3.92,2.26,51.49,4.68,2.21,50.58,5.03,1.95,50.75,5.16,1.78,49,5.16,0.91,50.8,5.13,0.35,100,16
Sombra,0.78,47.14,2.9,0.71,50.19,2.4,0.87,48.59,2.72,0.75,45.75,2.88,0.79,46.91,3.04,0.73,46.22,3.04,0.79,47.67,3.13,0.54,47.3,3.29,N,N,N
D.VA,1.72,48.72,5.33,2.73,47.8,4.74,1.99,46.12,4.53,1.7,47.8,5.19,1.53,50.06,5.85,1.4,51.63,6.23,1.54,51.5,6.49,1.9,60.55,7.73,4.2,29.19,7.31
Torbjörn,0.37,54.97,2.56,0.54,56.46,2.7,0.5,57.23,2.49,0.4,54.67,2.59,0.31,53.7,2.5,0.24,53.91,2.61,0.23,49.97,2.61,0.27,52.57,2.89,N,N,N
Tracer,1.02,50.6,2.23,0.75,53.45,2.39,0.65,50.55,2.11,0.75,48.78,2.12,1.07,51.57,2.25,1.37,50.36,2.26,2.07,49.95,2.32,2.23,54.44,2.63,1.05,64.6,3.6
Orisa,1.54,46.12,3.37,2.09,49.46,3.24,2.02,46.9,3.16,1.72,44.48,3.24,1.32,45.5,3.58,1.04,45.93,3.73,0.99,46.74,3.96,1.33,52.52,4.49,3.15,51.31,3.19
Hazard,0.82,52.8,3.73,0.57,50.88,3.13,0.64,50.1,3.13,0.84,52.18,3.52,0.86,52.82,3.83,0.85,55.48,4.13,1.16,53.38,4.44,1.16,58.07,4.51,2.1,82.63,7
Winston,1.61,52.84,3.7,1.08,49.85,2.88,1.29,51.09,3.13,1.66,51.62,3.46,1.75,54.24,3.87,1.73,53.06,4.14,1.84,55.66,4.54,1.9,56.43,4.77,2.8,60.75,8.63
Reinhardt,1.03,51.81,2.32,1.36,49.87,1.99,1.27,50.05,2.11,1.15,52.23,2.35,0.92,52.47,2.41,0.8,51.85,2.58,0.65,56.55,2.63,0.5,64.86,3.34,1.05,84.18,2.38
Junker Queen,0.69,54.34,4.23,0.66,57.94,3.83,0.73,52.97,3.77,0.78,54.43,4.18,0.71,53.32,4.37,0.59,55.15,4.67,0.52,57.17,4.8,0.43,60.12,4.64,0.7,0,7.57
Baptiste,1.23,45.96,3.49,1.24,46.33,2.67,1.25,44.79,2.89,1.18,46.38,3.42,1.25,46.04,3.74,1.31,45.17,3.95,1.23,48.95,4.12,1,45.71,4.55,N,N,N
Mei,0.55,53.42,3.16,0.49,53.87,3.38,0.64,52.67,3.07,0.65,52.51,3.16,0.53,55.19,3.24,0.46,54.36,3.11,0.32,53.11,3.09,0.27,46.7,2.91,N,N,N
Roadhog,1.59,44.81,3.72,1.7,45.99,3.39,1.51,44.05,3.25,1.6,44.28,3.65,1.68,44.9,3.91,1.56,45.35,4.1,1.54,44.99,4.11,1.23,52.51,4.05,0.7,56.41,6.4
Echo,0.79,51.49,2.38,0.71,47.58,1.87,0.72,48.57,2.05,0.73,51.05,2.25,0.76,53.3,2.5,0.91,50.83,2.62,0.95,54.83,2.72,1.53,57.11,3,2.1,49.53,2.74
Symmetra,0.7,54.54,2.27,0.36,60.49,3.83,0.33,54.91,2.91,0.47,55.35,2.63,0.71,52.93,2.36,1.03,54.65,1.82,1.68,51.62,1.18,2.57,52.45,1.07,2.45,95.5,2
Wrecking Ball,0.47,50.79,3.95,0.41,49.21,2.57,0.35,45.86,3.03,0.43,50.82,3.78,0.49,50.89,4.14,0.58,52.26,4.66,0.63,55.67,4.59,0.52,45.81,4.69,N,N,N
Freja,0.65,46.51,2.21,0.69,48.01,2.08,0.63,48.34,2.05,0.61,44,2.16,0.59,47.18,2.21,0.7,45.6,2.3,0.77,48.41,2.44,1.2,48.1,2.72,0.7,77.96,5
AnaC,5.93,49.22,3.72,4.27,49.37,3.34,5.21,49.29,3.55,6.3,49.14,3.78,7.21,49.54,3.91,7.21,47.68,3.83,6.8,46.42,3.87,N,N,N,N,N,N
KirikoC,6.88,48.93,4.21,7.11,47.72,3.7,6.78,49.05,4.11,6.84,49.15,4.34,6.91,49.26,4.44,7.42,47.91,4.31,5.71,47.84,4.24,N,N,N,N,N,N
GenjiC,3.7,49.76,2.22,3.13,49.95,2.21,3.25,49.99,2.22,4.06,49.91,2.24,4.14,49.64,2.2,3.27,46.2,2.15,4.74,42.09,2.05,3.08,0,3,N,N,N
MoiraC,3.26,46.71,4.49,4.93,47.61,4.06,3.89,46.75,4.38,3.03,46.22,4.76,2.03,46.95,4.83,0.95,39.75,4.16,0.24,50.98,3.44,N,N,N,N,N,N
SojournC,2.2,44.94,2.37,2.38,42.07,2.19,2.04,44.49,2.31,2.13,44.69,2.4,2.42,47.38,2.54,2.89,47.81,2.4,2.86,47.3,2.27,N,N,N,N,N,N
Soldier: 76C,4.05,48.74,2.49,4.64,49.97,2.49,4.49,47.88,2.49,4.04,48.92,2.49,3.19,49.29,2.52,2.4,48.92,2.57,2.55,46.94,2.66,N,N,N,N,N,N
CassidyC,4.48,48.44,2.38,2.93,49.87,2.29,3.73,48.64,2.39,4.83,48.28,2.38,5.75,47.96,2.41,6.06,48.82,2.43,6.44,50.03,2.53,N,N,N,N,N,N
ZenyattaC,2.52,49.08,4.61,2.58,50.23,4.13,2.54,48.56,4.51,2.56,49.91,4.77,2.45,47.58,4.79,2.21,47.94,4.73,0.79,30.78,4.22,N,N,N,N,N,N
ReaperC,3.28,52.12,2.41,3.26,51.52,2.43,3.43,53.38,2.48,3.33,50.82,2.37,3.02,52.99,2.38,2.57,51.71,2.36,1.28,35.21,1.79,3.08,100,7,N,N,N
JunoC,1.27,48.71,3.73,2.01,47.89,3.34,1.35,48.63,3.78,1.12,48.76,3.9,1.05,50.85,3.85,1.08,41.59,3.08,0.97,68.84,4.11,N,N,N,N,N,N
AsheC,1.95,51.53,2.83,1.68,50.89,2.72,1.86,52.26,2.84,2.06,51.88,2.88,2.05,50.28,2.77,2.04,49.13,2.59,2,51.27,3.05,N,N,N,N,N,N
RamattraC,2.12,48.39,3.26,2.88,48.63,3.22,2.66,48.79,3.23,1.93,47.44,3.28,1.32,49.96,3.37,0.95,43.98,3.36,0.55,36.77,3.29,N,N,N,N,N,N
MercyC,2.54,50.86,3.66,2.96,49.74,3.08,2.49,50.14,3.44,2.48,51.93,3.79,2.5,50.63,4.21,2.29,51.93,4.43,3.1,49.62,4.46,21.54,42.86,1.93,N,N,N
ZaryaC,1.4,50.39,4.4,1.13,50.94,3.92,1.3,49.85,4.18,1.44,49.97,4.42,1.6,52.18,4.89,1.56,46.93,4.46,1.94,56.37,5.82,N,N,N,N,N,N
BastionC,2.38,45.9,2.57,3.23,46.58,2.48,2.7,45.6,2.57,2.24,45.54,2.6,1.76,47.16,2.62,1.27,44.77,2.62,0.73,22.01,2.34,1.54,0,2.33,N,N,N
LúcioC,1,46.76,2.64,1.38,45.15,2.46,1.02,48.54,2.72,0.86,46.96,2.67,0.97,43.01,2.58,1.24,49.14,2.93,1.22,52.73,0.44,N,N,N,N,N,N
MaugaC,1.41,48.01,3.96,1.53,47.07,3.73,1.43,46.69,3.84,1.45,48.98,4.01,1.28,49,4.2,0.96,48.17,4.54,0.79,68.12,6.23,N,N,N,N,N,N
HanzoC,1.41,48.4,2.86,1.46,48.67,2.69,1.37,48.54,2.85,1.39,48.33,2.9,1.54,47.71,2.97,1.36,51.98,2.79,0.73,40.88,1.68,1.54,100,0,N,N,N
PharahC,1.31,50.47,2.43,1.57,49.33,2.49,1.45,49.88,2.47,1.22,50.45,2.33,1.16,51.91,2.46,1.01,54.01,2.54,0.61,98.95,4.82,N,N,N,N,N,N
IllariC,2.06,53.15,3.38,2.21,52.47,3.07,2.1,52.9,3.32,1.92,53.68,3.53,2.05,53.36,3.42,2.79,52.28,3.37,4.92,50.05,3.36,18.46,58.33,5.92,N,N,N
DoomfistC,0.86,50.97,3.34,0.33,51.1,3.68,0.51,53.19,3.31,0.88,51.35,3.26,1.58,49.32,3.35,1.77,49.78,3.7,3.1,61.66,3.92,N,N,N,N,N,N
VentureC,1.24,49.65,2.14,0.85,53.59,2.39,1.22,48.98,2.16,1.32,49.68,2.14,1.34,48.72,2.02,1.31,50.41,1.97,0.67,58.76,2.43,N,N,N,N,N,N
JunkratC,0.94,50.64,2.34,1.47,46.95,2.19,1.17,51.61,2.43,0.84,50.93,2.3,0.57,53.57,2.38,0.29,39.47,2.43,N,N,N,N,N,N,N,N,N
SigmaC,3.3,52.1,3.83,3.25,51.05,3.52,3.45,52.95,3.8,3.35,51.56,3.86,2.93,52.67,4.02,3.23,50.88,3.88,3.89,48.66,3.8,N,N,N,N,N,N
BrigitteC,1.1,48.04,3.54,0.88,44.35,2.79,0.97,49.17,3.35,1.09,47.54,3.64,1.31,49.2,3.91,1.95,46.71,3.88,2.86,48.44,3.98,N,N,N,N,N,N
WidowmakerC,1.04,43.98,2.28,0.92,44.43,2.34,0.95,43.45,2.31,1.03,43.89,2.25,1.23,44.27,2.22,1.62,45.6,2.46,2.31,40.8,2.22,N,N,N,N,N,N
LifeweaverC,1.68,49.45,4.43,1.76,48.39,3.9,1.89,50.15,4.3,1.73,49.92,4.67,1.28,47.44,4.65,0.76,44.94,4.06,0.18,0,0.5,N,N,N,N,N,N
SombraC,0.44,48.25,2.98,0.33,50.65,3.07,0.37,49.56,3.14,0.42,49.86,2.98,0.64,42.15,2.79,0.73,54.64,2.87,0.3,0,2.13,N,N,N,N,N,N
D.VAC,1.55,49.08,5.56,1.68,45.86,4.82,1.62,49.14,5.34,1.58,49.25,5.74,1.39,50.51,6.15,0.98,52.95,6.75,0.67,50.95,4.75,12.31,75,4.5,N,N,N
TorbjörnC,0.75,53.45,2.46,0.98,50.41,2.32,0.9,56.44,2.62,0.69,53.07,2.48,0.57,51.57,2.23,0.45,37.27,1.75,0.12,0,0.5,N,N,N,N,N,N
TracerC,1.15,51.34,2.21,0.66,48.85,2.21,0.74,50.82,2.17,1.15,52.47,2.18,1.81,51.34,2.22,3.13,50.91,2.36,4.56,44.57,2.47,N,N,N,N,N,N
OrisaC,1.99,45.76,3.49,2.3,45.19,3.25,2.21,45.02,3.45,1.91,45.54,3.48,1.65,49.36,3.86,1.52,42.45,3.49,1.03,45.09,3.21,1.54,0,7.33,N,N,N
HazardC,0.94,51.87,3.88,0.61,54.54,3.81,0.83,50.29,3.7,0.96,52,3.87,1.18,52.23,4.08,1.71,52.29,4.21,2.25,57.47,4.38,7.69,100,3.56,N,N,N
WinstonC,2.21,46.73,3.63,1.44,50.45,3.42,2.02,46.3,3.43,2.47,45.69,3.63,2.41,48.59,3.92,2.64,44.11,4.22,2.31,46.62,4.86,N,N,N,N,N,N
ReinhardtC,1.01,45.99,2.31,1.17,44.4,2.12,1.22,44.79,2.28,1,46.63,2.38,0.7,49.51,2.38,0.36,43.49,2.43,0.12,97.42,1.2,N,N,N,N,N,N
Junker QueenC,0.71,50.55,4.26,0.52,49.07,3.91,0.72,51.16,4.13,0.79,51.29,4.32,0.7,48.41,4.46,0.49,53.73,4.94,0.61,30.13,3.29,N,N,N,N,N,N
