Hero,All Pick Rate,All Win Rate,All KDA,Bronze Pick Rate,Bronze Win Rate,Bronze KDA,Silver Pick Rate,Silver Win Rate,Silver KDA,Gold Pick Rate,Gold Win Rate,Gold KDA,Platinum Pick Rate,Platinum Win Rate,Platinum KDA,Diamond Pick Rate,Diamond Win Rate,Diamond KDA,Master Pick Rate,Master Win Rate,Master KDA,Grandmaster Pick Rate,Grandmaster Win Rate,Grandmaster KDA,Champion Pick Rate,Champion Win Rate,Champion KDA
Ana,5.52,48.67,3.84,3.28,51.39,3.09,4.09,48.75,3.3,5.23,48.41,3.67,6.38,48.37,3.97,6.91,48.68,4.2,7.12,48.99,4.42,6.35,49.75,4.57,7.46,73.86,5.72
Kiriko,4.5,47.95,4.04,5.17,49.03,3.24,5.02,47.74,3.57,4.58,47.7,4.03,4.25,47.83,4.37,4.06,48.12,4.58,3.97,48.5,4.71,3.75,49.49,4.86,4.31,67.71,6.41
Genji,2.93,51.05,2.17,3.62,54.76,2.3,2.64,48.52,1.95,2.72,50.76,2.13,3.03,51.53,2.22,3.22,51.71,2.27,3.09,50.9,2.33,2.35,51.68,2.43,1.02,52.39,2.67
Moira,2.32,48.93,4.46,3.8,50.05,3.73,3.46,48.75,4.04,2.53,48.5,4.52,1.82,49.09,5.08,1.3,49.29,5.48,0.88,48.66,5.66,0.5,49.77,5.95,0.42,50.03,5.69
Sojourn,2.27,45.8,2.44,2.19,48.27,2.31,2.23,45.05,2.23,2.12,44.84,2.34,2.15,45.58,2.5,2.44,46.57,2.63,3.01,47.19,2.75,3.54,49.09,2.94,3.25,56.75,3.26
Soldier: 76,3.25,49.58,2.52,4.11,52.15,2.52,3.78,48.54,2.37,3.44,48.62,2.47,2.98,49.8,2.59,2.67,50.88,2.72,2.37,51.73,2.86,1.95,52.96,3,0.9,51.2,3.19
Cassidy,4.73,48.65,2.47,3.36,52.92,2.33,3.61,48.82,2.22,4.33,48.64,2.39,5.15,48.12,2.51,5.98,48.06,2.62,6.6,48.44,2.73,7.08,49.96,2.91,5.42,68.11,3.78
Zenyatta,2.11,53.73,4.78,2.51,53.86,4,2.3,53.46,4.32,2.15,54.02,4.75,2.09,54.17,5.13,1.87,53.21,5.37,1.6,52.32,5.57,1.21,49.62,5.66,0.55,73.67,7.99
Reaper,2.06,54.11,2.46,2.68,56.41,2.66,2.51,53.25,2.4,2.24,53.61,2.43,1.86,54.25,2.47,1.56,54.93,2.51,1.23,55.39,2.55,1.06,56.11,2.68,4.97,59.89,3.12
Juno,2.07,50.61,4.04,3.41,50.46,3.24,2.72,49.49,3.54,2.03,50.51,4.09,1.69,51.54,4.61,1.57,51.63,4.88,1.54,51.96,5.02,1.67,52.57,5.14,1.34,70.72,5.12
Ashe,2.46,51.96,2.9,1.79,52.49,2.64,2.1,51.13,2.67,2.4,51.58,2.86,2.65,52.11,2.98,2.77,52.33,3.03,2.96,53.21,3.11,3.23,54.24,3.23,2.56,56.12,3.4
Ramattra,1.58,47.3,3.12,2.34,50.81,3.18,2.37,47.56,3.04,1.8,46.37,3.08,1.21,46.67,3.2,0.85,46.54,3.28,0.65,46.28,3.32,0.55,46.74,3.49,0.65,55.85,4.5
Mercy,2.63,49.61,3.88,3.26,46.71,2.48,2.45,47.51,2.98,2.46,49.86,3.79,2.62,50.44,4.4,2.81,50.73,4.88,2.86,50.97,5.29,3.17,53.77,6.03,6.3,71.02,6.59
