Hero,All Pick Rate,All Win Rate,All KDA,Bronze Pick Rate,Bronze Win Rate,Bronze KDA,Silver Pick Rate,Silver Win Rate,Silver KDA,Gold Pick Rate,Gold Win Rate,Gold KDA,Platinum Pick Rate,Platinum Win Rate,Platinum KDA,Diamond Pick Rate,Diamond Win Rate,Diamond KDA,Master Pick Rate,Master Win Rate,Master KDA,Grandmaster Pick Rate,Grandmaster Win Rate,Grandmaster KDA,Champion Pick Rate,Champion Win Rate,Champion KDA
Ana,8.03,50.48,3.97,4.14,50.55,3.05,6.18,50.48,3.33,7.17,50.41,3.63,8.69,50.4,4.05,10.57,50.51,4.48,11.43,50.71,4.82,9.51,51.71,4.99,6.07,77.32,6.07
Kiriko,6.27,48.96,3.93,6.07,50.93,3.4,6.66,48.43,3.41,6.31,48.56,3.73,6.17,48.95,4.15,6.17,49.3,4.54,6.03,49.72,4.78,5.13,50.69,4.88,2.06,68.56,5.76
Genji,5.62,53.37,2.35,6.71,61.32,2.99,5.01,50.04,2.11,5.33,52.32,2.26,5.86,53.52,2.35,6,54.14,2.42,5.69,54.13,2.51,4.78,54.21,2.64,2.03,63.76,2.7
Moira,3.23,49.17,4.45,4,51.56,3.94,4.25,49.32,4,3.69,48.98,4.31,2.95,48.83,4.79,2.25,48.62,5.36,1.46,48.21,5.65,0.68,50.13,6.13,0.75,77.8,10.14
Sojourn,3.38,46.06,2.43,3.68,48.34,2.44,3.66,44.92,2.2,3.36,45.37,2.33,3.15,45.73,2.47,3.24,47.21,2.65,3.64,48.28,2.84,4.37,51.27,3.13,8.95,61.36,3.65
Soldier: 76,4.21,49.9,2.59,6.17,55.16,2.94,4.67,48.12,2.36,4.38,49.21,2.51,4.05,49.58,2.62,3.52,50.46,2.75,2.94,51.48,2.93,2.26,53,3.15,0.97,47.58,3.51
Cassidy,5.66,49.85,2.53,4.35,51.77,2.37,4.54,49.24,2.24,5.05,50.25,2.42,5.96,50.01,2.57,6.96,49.25,2.69,7.89,49.18,2.82,8.54,49.69,3,18.3,75.6,4.23
Zenyatta,3.4,52.45,4.52,2.3,50.43,3.68,3.42,52.57,3.99,3.44,53.01,4.3,3.55,52.93,4.74,3.6,51.77,5.16,3.24,50.03,5.37,2.39,48.72,5.61,0.94,85.04,7.95
Reaper,2.13,54.05,2.47,4.32,65.09,3.57,2.68,51.52,2.3,2.35,52.67,2.37,1.87,52.76,2.37,1.32,52.85,2.38,0.8,53.56,2.4,0.55,56.56,2.6,1.35,60.87,3.12
Juno,4.25,50.12,3.76,5.37,52.46,3.45,5.12,49.23,3.25,4.4,49.71,3.58,3.88,50.11,4.02,3.62,50.71,4.54,3.46,51.28,4.93,2.98,53.45,5.21,2.82,87.43,6.3
Ashe,2.68,51.52,2.79,1.49,44.16,2.2,2.25,50.55,2.56,2.58,51.66,2.72,2.9,52.16,2.87,3.14,52.08,2.94,3.3,52.2,3.02,3.37,53.6,3.2,2.66,57.69,3.53
