Hero,All Pick Rate,All Win Rate,All KDA,Bronze Pick Rate,Bronze Win Rate,Bronze KDA,Silver Pick Rate,Silver Win Rate,Silver KDA,Gold Pick Rate,Gold Win Rate,Gold KDA,Platinum Pick Rate,Platinum Win Rate,Platinum KDA,Diamond Pick Rate,Diamond Win Rate,Diamond KDA,Master Pick Rate,Master Win Rate,Master KDA,Grandmaster Pick Rate,Grandmaster Win Rate,Grandmaster KDA,Champion Pick Rate,Champion Win Rate,Champion KDA
Ana,7.99,50.47,3.97,4.2,50.71,3.06,6.06,50.19,3.26,6.92,50.27,3.58,8.58,50.44,4.03,10.77,50.51,4.5,11.57,51.16,4.81,9.71,51.36,5.02,2.96,26.96,3.53
Kiriko,6.54,48.92,3.91,6.3,52.19,3.43,6.91,47.83,3.32,6.52,48.42,3.66,6.49,48.86,4.12,6.5,49.49,4.58,6.37,49.92,4.78,5.53,51.21,5,2.96,86.85,6.7
Genji,5.42,53.56,2.34,7.02,62.96,3.16,5.03,49.35,2.07,5.25,52.46,2.24,5.49,53.43,2.33,5.53,54.45,2.41,5.13,54.78,2.49,4.44,55.25,2.72,2.22,83.74,4.5
Moira,3.4,49.54,4.41,4.22,53.21,4.07,4.54,49.63,3.93,3.95,49.33,4.24,3.12,48.81,4.68,2.35,49.66,5.39,1.51,47.61,5.71,0.64,41.29,6.2,N,N,N
Sojourn,3.76,47.01,2.49,3.79,50.54,2.6,3.77,45.82,2.24,3.68,45.86,2.34,3.54,46.76,2.5,3.84,47.91,2.69,4.55,48.75,2.9,5.56,52.86,3.28,21.48,86.07,4.23
Soldier: 76,3.97,49.96,2.59,6.11,56.63,3.1,4.61,48.25,2.36,4.2,49.24,2.51,3.74,49.26,2.6,3.19,50.01,2.74,2.54,50.66,2.91,1.86,52.13,3.23,1.48,57.36,4.89
Cassidy,5.33,50.2,2.55,4.15,53.88,2.51,4.27,49.03,2.24,4.72,50.16,2.42,5.61,50.6,2.59,6.47,50.04,2.72,7.49,48.86,2.8,7.95,50.53,3.09,20.74,81.37,5.23
Zenyatta,3.15,52.56,4.52,2.12,50.97,3.66,3.22,52.41,3.93,3.13,52.94,4.26,3.27,53.01,4.73,3.37,52.32,5.16,3.07,50.76,5.42,2.52,51.31,5.68,1.48,39.08,3.29
Reaper,2.12,55.3,2.55,4.45,66.6,3.82,2.7,52.4,2.37,2.39,53.56,2.43,1.83,54.6,2.48,1.27,53.24,2.41,0.8,54.17,2.38,0.5,55.54,2.51,0.74,0,0
Juno,5,50.41,3.84,5.18,52.38,3.45,5.55,49.9,3.26,5.02,50.18,3.59,4.87,49.99,4.03,4.8,51.15,4.64,4.63,51.23,4.92,3.84,51.8,5.46,1.48,100,9.5
Ashe,2.5,51.63,2.8,1.35,43.51,2.13,2.02,49.75,2.53,2.38,52.11,2.72,2.73,52.3,2.87,2.88,52.25,2.96,3.19,52.33,3.02,3.58,54.8,3.25,2.96,32.46,4.4
Ramattra,2.28,49.36,3.38,2.54,55.99,3.81,2.88,48,3.21,2.88,48.52,3.31,2.12,49.31,3.44,1.37,50.4,3.54,1.01,50.78,3.78,0.86,55.56,4.09,N,N,N
Mercy,2.53,49.91,3.48,3.87,50.34,2.63,2.43,45.02,2.45,2.05,48.64,3.03,2.33,50.47,3.75,2.98,52.74,4.66,3.32,52.79,5.38,3.76,54.4,5.96,N,N,N
Zarya,2.02,51.89,4.26,1.43,58.17,4.4,1.76,52.39,3.93,2.07,51.52,4.04,2.1,51.03,4.27,2.04,51.32,4.63,2.37,52.22,4.81,3.34,55.66,5.41,0.74,100,2.4
Bastion,1.22,44.1,2.26,1.15,40.37,2,1.72,45.76,2.24,1.52,44.12,2.25,1.12,43.96,2.33,0.73,41.86,2.33,0.5,44.71,2.55,0.32,46.54,2.6,N,N,N
Lúcio,1.36,51.99,2.94,2.79,55.99,3.08,1.89,50.67,2.63,1.45,50.67,2.79,1.09,52.9,3.15,0.88,51.57,3.4,0.79,52.95,3.59,0.62,55.29,3.69,N,N,N
Mauga,1.54,48.3,3.71,2.21,51.21,4.05,1.87,46.43,3.4,1.72,47.24,3.58,1.39,48.72,3.77,1.09,50.09,4.03,0.96,50.89,4.26,1.44,54.63,4.9,0.74,100,7
Hanzo,1.53,48.52,2.57,2.21,46.78,2.16,1.78,45.6,2.24,1.44,48.4,2.46,1.39,49.15,2.7,1.47,51.6,2.96,1.52,51.01,3.09,1.21,46.97,3.24,N,N,N
Pharah,1.69,51.2,2.55,2.4,56.03,2.98,1.95,48.97,2.37,1.78,49.46,2.46,1.51,51.69,2.53,1.38,53.35,2.69,1.46,52.7,2.87,1.88,59.42,3.29,8.15,54.61,4.6
Illari,1.41,51.96,3.03,2.17,55.42,2.99,1.73,50.77,2.61,1.5,51.62,2.88,1.3,52.23,3.21,1.05,52.56,3.56,0.86,49.45,3.75,0.74,50.51,3.97,N,N,N
Doomfist,3.3,52.61,3.13,0.78,47.26,2.71,1.92,52.57,3,2.9,52.79,3.08,3.92,52.69,3.12,4.55,52.63,3.15,4.83,52.05,3.31,5.66,55.62,3.74,1.48,50,7.88
Venture,1.31,54.5,2.35,1.13,55.88,2.55,1.26,53.56,2.29,1.4,53.86,2.36,1.4,54.76,2.36,1.22,55.58,2.34,1.11,54.54,2.38,0.82,63.33,2.64,N,N,N
Junkrat,1.14,49.21,2.22,1.59,42.53,1.85,1.64,47.55,2.06,1.27,50.49,2.22,1.01,50.19,2.35,0.77,52.6,2.52,0.5,48.69,2.44,0.33,50.47,2.14,1.48,50,1.78
Sigma,1.82,51.49,3.8,1,48.98,3.32,1.87,50.44,3.52,2.09,51.29,3.71,1.92,51.63,3.9,1.59,52.51,4.08,1.44,55.08,4.33,1.58,55.4,4.51,N,N,N
Brigitte,2.23,51.7,3.8,0.91,50.03,2.91,1.85,52.44,3.23,2.14,52.16,3.48,2.41,51.69,3.86,2.7,51.17,4.37,2.82,50.62,4.74,2.7,52.47,5.24,1.48,73.9,6
Widowmaker,1.47,49.97,2.32,3,63.12,3.64,1.41,42.82,1.97,1.28,46.96,2.1,1.26,48.76,2.19,1.48,50.92,2.26,1.84,49.34,2.37,2.38,49.2,2.46,6.67,60.66,3.36
