Hero,All Pick Rate,All Win Rate,All KDA,Bronze Pick Rate,Bronze Win Rate,Bronze KDA,Silver Pick Rate,Silver Win Rate,Silver KDA,Gold Pick Rate,Gold Win Rate,Gold KDA,Platinum Pick Rate,Platinum Win Rate,Platinum KDA,Diamond Pick Rate,Diamond Win Rate,Diamond KDA,Master Pick Rate,Master Win Rate,Master KDA,Grandmaster Pick Rate,Grandmaster Win Rate,Grandmaster KDA,Champion Pick Rate,Champion Win Rate,Champion KDA
Ana,6.4,48.8,3.83,3.58,50.43,3.01,4.86,49.2,3.38,6.52,48.63,3.77,7.96,48.45,4.05,8.53,48.73,4.23,8.34,48.48,4.36,7.13,49.61,4.52,2.8,58.94,5.2
Kiriko,7.12,49.66,4.11,7.59,49.94,3.28,7.67,49.23,3.72,7.01,49.55,4.22,6.81,49.84,4.58,6.69,49.93,4.72,6.45,50.51,4.84,6.14,51.71,5.05,4.94,71.91,6.24
Genji,3.5,52.13,2.17,3.67,55.71,2.39,3.19,50.55,2,3.58,51.95,2.14,3.77,52.14,2.21,3.56,52.23,2.26,3.34,51.85,2.32,2.4,51.82,2.47,0.7,67.31,3.73
Moira,4.01,51.37,4.55,5.42,51.01,3.72,4.92,50.98,4.13,3.98,51.64,4.73,3.39,52.08,5.29,2.84,51.62,5.61,2.21,50.19,5.7,1.62,50.47,5.92,1.16,61.01,6.88
Sojourn,2.05,46.06,2.38,1.71,49.03,2.3,1.9,46.09,2.22,2,45.17,2.32,2.08,45.58,2.46,2.3,45.34,2.55,2.86,47.31,2.7,3.39,48.85,2.93,1.75,75.78,4.39
Soldier: 76,2.47,49.69,2.45,2.98,52.07,2.56,2.82,48.85,2.33,2.61,48.75,2.41,2.17,49.85,2.51,1.85,50.91,2.63,1.73,51.18,2.73,1.27,52.55,2.82,0.04,0,5.75
Cassidy,4.39,48.56,2.39,2.84,53.43,2.37,3.36,49.43,2.22,4.31,48.28,2.33,5.11,47.47,2.43,5.83,47.56,2.53,6.75,47.72,2.62,7.22,49.16,2.8,3.64,47.15,3.04
Zenyatta,2.31,53.63,4.75,2.35,52.61,3.88,2.22,53.74,4.29,2.31,54.56,4.83,2.49,53.83,5.19,2.4,52.92,5.41,2.04,50.62,5.49,1.48,49.89,5.64,0.35,52.75,5.97
Reaper,1.87,51.1,2.18,2.47,54.45,2.47,2.11,50.51,2.12,1.92,50.45,2.13,1.64,50.52,2.15,1.38,49.85,2.18,1.25,50.45,2.26,1.29,54.69,2.36,1.65,60.39,2.87
Juno,2.06,50.68,3.86,2.88,50.09,3.11,2.28,50.13,3.5,1.88,51.06,4.07,1.84,51.06,4.46,1.84,51.16,4.56,1.7,51.5,4.51,1.99,52.64,4.83,2.91,58.17,5.58
