Hero,All Pick Rate,All Win Rate,All KDA,Bronze Pick Rate,Bronze Win Rate,Bronze KDA,Silver Pick Rate,Silver Win Rate,Silver KDA,Gold Pick Rate,Gold Win Rate,Gold KDA,Platinum Pick Rate,Platinum Win Rate,Platinum KDA,Diamond Pick Rate,Diamond Win Rate,Diamond KDA,Master Pick Rate,Master Win Rate,Master KDA,Grandmaster Pick Rate,Grandmaster Win Rate,Grandmaster KDA,Champion Pick Rate,Champion Win Rate,Champion KDA
Ana,7.44,49.54,3.99,3.85,54.92,3.37,5.38,49.89,3.36,6.78,49.67,3.73,8.13,49.31,4.04,9.08,49.1,4.28,9.51,49.21,4.49,8.24,50.08,4.63,4.23,61.08,4.88
Kiriko,7.31,49.77,4.18,6.08,51.8,3.39,7.53,49.65,3.65,7.51,49.6,4.02,7.34,49.61,4.34,7.26,49.8,4.57,7.22,49.67,4.69,6.48,51.5,4.9,5.65,66.22,6.21
Genji,5,52.43,2.29,5.86,63.43,3.01,4.31,50.29,2.07,4.66,51.64,2.2,5.21,52.03,2.27,5.46,52.09,2.33,5.29,52.08,2.42,4.3,51.94,2.57,1.84,50.15,2.54
Moira,2.63,48.37,4.4,3.79,50.75,3.66,3.94,48.35,3.91,3.1,48.06,4.31,2.38,48.22,4.78,1.74,48.1,5.22,1.16,47.48,5.37,0.56,48.61,5.69,0.22,51.1,5.74
Sojourn,2.68,45.96,2.35,2.6,51.41,2.4,2.97,45.32,2.14,2.66,44.55,2.22,2.5,45.52,2.37,2.61,46.32,2.51,2.93,47.7,2.66,3.48,50.32,2.94,2.19,54.35,3.29
Soldier: 76,3.34,49.43,2.48,4.87,55.8,2.74,4.08,48.46,2.31,3.6,48.07,2.39,3.18,48.8,2.49,2.76,50.13,2.63,2.32,51.06,2.78,1.8,52.62,3.01,0.83,60.3,3.18
Cassidy,6.05,47.99,2.36,4.56,58.5,2.62,4.71,48.9,2.13,5.46,48.02,2.25,6.3,47.26,2.35,7.15,46.77,2.46,7.69,47.1,2.57,8.15,48.65,2.76,6.13,60.65,3.24
Zenyatta,2.37,52.76,4.64,2.89,54.94,4.01,2.65,53.25,4.13,2.44,53.08,4.47,2.39,52.91,4.86,2.21,51.8,5.13,1.84,50.13,5.29,1.27,47.34,5.43,0.39,51.95,4.64
Reaper,2.78,54.46,2.44,3.48,61.51,3.05,3.16,53.6,2.38,3.05,53.72,2.39,2.74,53.91,2.4,2.39,54.62,2.44,1.95,54.85,2.48,1.74,55.79,2.61,4.23,63.06,3.11
Juno,1.8,49.75,3.69,3.01,51.04,3.05,2.58,49.06,3.28,1.95,49.36,3.66,1.52,50.13,4.06,1.34,50.14,4.27,1.28,49.98,4.25,1.23,52.38,3.98,1.23,72.92,4.82
