Hero,All Pick Rate,All Win Rate,All KDA,Bronze Pick Rate,Bronze Win Rate,Bronze KDA,Silver Pick Rate,Silver Win Rate,Silver KDA,Gold Pick Rate,Gold Win Rate,Gold KDA,Platinum Pick Rate,Platinum Win Rate,Platinum KDA,Diamond Pick Rate,Diamond Win Rate,Diamond KDA,Master Pick Rate,Master Win Rate,Master KDA,Grandmaster Pick Rate,Grandmaster Win Rate,Grandmaster KDA,Champion Pick Rate,Champion Win Rate,Champion KDA
Ana,7.5,51.63,3.94,4.53,52.2,3.25,6.21,51.62,3.44,7.02,51.44,3.7,8.61,51.66,4.15,10.8,51.62,4.68,12.26,52.05,5.18,11.18,53.44,5.46,7.9,93.18,11.11
Kiriko,7.08,49.38,3.79,7.12,53.47,3.63,7.48,49.05,3.44,7.11,48.87,3.67,6.82,48.92,4.06,6.82,49.04,4.5,6.83,49.99,4.91,6.04,51.77,5.12,1.36,92.39,6.47
Genji,5.42,52.46,2.38,7,60.84,2.96,5.11,49.49,2.13,5.03,50.6,2.26,5.48,52.47,2.42,5.83,53.8,2.54,5.52,53.75,2.63,5.12,54.7,2.78,3.2,71.06,2.98
Moira,4.5,50.82,4.46,5.01,54.71,4.34,5.39,51.36,4.2,4.88,50.6,4.41,3.92,49.39,4.72,2.87,48.11,5.14,1.91,48.49,5.66,1.03,50.78,6.24,0.34,100,17.9
Sojourn,4.46,47.08,2.54,4.03,52.62,2.76,4.52,47.11,2.41,4.53,46.23,2.46,4.34,45.95,2.57,4.46,47,2.76,5.26,49.26,3.06,6.97,52.58,3.43,7.56,66.52,4.42
Soldier: 76,4.07,49.42,2.57,5.52,56.7,3.03,4.33,48.68,2.42,4.02,48.53,2.51,3.83,48.03,2.58,3.3,47.42,2.62,2.58,47.59,2.72,1.76,50.46,3.05,0.92,56.63,2.35
Cassidy,3.52,48.58,2.38,3.49,54.74,2.48,3.1,48.1,2.14,3.17,48.45,2.31,3.78,48.1,2.47,4.56,46.82,2.59,5.09,46.07,2.69,5.44,47.2,2.89,10.9,79.19,4.38
Zenyatta,3.49,52.88,4.45,2.48,52.43,3.94,3.58,52.76,4.08,3.54,52.97,4.31,3.63,53.26,4.74,3.78,52.5,5.2,3.57,51.7,5.67,2.81,52,6.03,0.44,98.64,11.44
Reaper,3.36,53.72,2.62,4.89,63.19,3.45,3.69,52.87,2.52,3.49,52.66,2.55,3.02,51.48,2.5,2.17,50.03,2.41,1.36,49.54,2.38,0.8,55.05,2.69,15.46,57.73,3.09
Juno,3.16,49.85,3.65,3.78,53.59,3.61,3.39,49.3,3.3,3.1,49.37,3.54,2.97,49.42,3.89,2.89,49.57,4.38,2.8,50.86,4.93,2.52,52.81,5.32,0.92,97.74,8.24
Ashe,3,51.98,2.87,1.41,49.61,2.49,2.36,51.6,2.66,2.9,51.78,2.79,3.58,52.44,2.98,4.26,52.52,3.1,4.86,52.38,3.16,5.59,53.6,3.32,6.15,75.59,4.42
Ramattra,2.9,50.08,3.53,2.65,55.62,3.98,3.16,50.66,3.47,3.41,49.73,3.49,2.69,48.5,3.51,1.77,47.63,3.52,1.23,48.2,3.7,0.87,51.27,4.07,1.11,77.45,6.74
Mercy,2.76,47.71,2.98,4.68,49.97,2.68,2.93,44.36,2.43,2.36,46.18,2.76,2.33,49.12,3.47,2.82,51.49,4.43,3.5,52.92,5.35,3.92,53.79,6.01,7.32,66.74,5.39
Zarya,2.73,54.25,4.45,1.72,58.71,4.68,2.27,55.11,4.22,2.8,54.34,4.31,3.11,53.27,4.53,3.18,52.43,4.77,3.75,53.51,5.12,5.35,56,5.51,2.86,56.64,5.92
Bastion,2.17,47.35,2.46,1.41,48.89,2.4,2.47,48.61,2.42,2.52,47.47,2.45,2.09,46.11,2.49,1.57,44.43,2.51,1.09,45.42,2.66,0.73,51.06,3.1,0.48,88.75,3.33
