Hero,All Pick Rate,All Win Rate,All KDA,Bronze Pick Rate,Bronze Win Rate,Bronze KDA,Silver Pick Rate,Silver Win Rate,Silver KDA,Gold Pick Rate,Gold Win Rate,Gold KDA,Platinum Pick Rate,Platinum Win Rate,Platinum KDA,Diamond Pick Rate,Diamond Win Rate,Diamond KDA,Master Pick Rate,Master Win Rate,Master KDA,Grandmaster Pick Rate,Grandmaster Win Rate,Grandmaster KDA,Champion Pick Rate,Champion Win Rate,Champion KDA
Ana,7.32,49.92,3.95,4.14,51.95,3.09,5.85,50.21,3.33,6.72,49.86,3.65,7.83,49.76,4.04,9.03,49.81,4.41,9.36,49.79,4.67,8.3,50.78,4.87,5.78,71.72,5.51
Kiriko,5.97,48.85,3.98,6.16,52.16,3.4,6.5,48.73,3.47,6.02,48.45,3.79,5.79,48.62,4.18,5.78,48.91,4.5,5.75,48.97,4.67,5.33,50.33,4.89,1.96,54.23,4.97
Genji,5.65,52.44,2.32,6.51,62.86,2.94,5.02,50.59,2.13,5.37,51.53,2.24,5.87,52.15,2.31,6.08,52.35,2.38,5.79,52.17,2.47,5.06,52.68,2.66,3.31,65.45,2.98
Moira,3.72,50.07,4.77,4.5,52.67,3.99,4.67,49.84,4.16,4.13,49.67,4.55,3.52,50.02,5.11,2.93,50.24,5.7,2.26,50.02,6.07,1.47,49.71,6.46,1.76,81.91,9.14
Sojourn,2.92,45.75,2.43,3.19,52.68,2.56,3.1,45.48,2.21,2.9,44.58,2.31,2.74,44.97,2.46,2.83,45.96,2.62,3.24,47.16,2.81,3.74,49.16,3.09,4.61,60.7,3.64
Soldier: 76,3.77,49.25,2.56,5.63,57.6,2.96,4.26,48.4,2.36,3.95,48.03,2.46,3.62,48.38,2.57,3.19,49.25,2.72,2.7,49.99,2.89,2.2,52.5,3.16,1,55.17,3.25
Cassidy,6.23,49,2.48,4.51,55.54,2.44,5,49.65,2.22,5.6,49.26,2.37,6.52,48.57,2.5,7.53,47.93,2.63,8.43,48.03,2.76,9.28,49.06,2.96,11.52,69.42,3.74
Zenyatta,3.31,52.35,4.51,2.6,53.35,3.83,3.49,52.47,3.99,3.41,52.75,4.31,3.4,52.55,4.71,3.27,51.71,5.1,2.91,50.11,5.33,2.23,48.11,5.46,0.87,66.64,6.72
Reaper,2.58,55.73,2.55,4.39,66.06,3.49,3.07,54.18,2.44,2.85,54.42,2.47,2.45,54.89,2.49,1.9,55.58,2.54,1.31,56.31,2.61,1.01,57.84,2.82,1.19,61.5,3.11
Juno,2.75,49.59,3.71,4.19,53.05,3.3,3.56,48.77,3.23,2.87,49.02,3.57,2.41,49.62,4.01,2.2,49.87,4.41,2.14,50.24,4.58,2,50.92,4.73,2,88.05,9.48
Ashe,2.26,51.06,2.76,1.2,51.98,2.49,1.87,51.05,2.55,2.16,51.06,2.68,2.43,51,2.81,2.62,50.82,2.87,2.72,51.3,2.95,2.59,52.58,3.12,1.32,56.69,3.26
Ramattra,2.02,50.73,3.5,2.38,56.55,3.79,2.49,50.6,3.33,2.37,49.84,3.43,1.89,50.02,3.53,1.45,51.2,3.66,1.21,52.61,3.84,1.28,55.29,4.24,0.71,61.19,4
Mercy,2.23,49.3,3.49,3.67,49.68,2.57,2.28,46.02,2.62,1.96,48.42,3.17,2.05,49.94,3.82,2.33,50.75,4.46,2.61,52.1,5.07,2.86,54.57,5.67,7.24,82.76,8.64
