Hero,All Pick Rate,All Win Rate,All KDA,Bronze Pick Rate,Bronze Win Rate,Bronze KDA,Silver Pick Rate,Silver Win Rate,Silver KDA,Gold Pick Rate,Gold Win Rate,Gold KDA,Platinum Pick Rate,Platinum Win Rate,Platinum KDA,Diamond Pick Rate,Diamond Win Rate,Diamond KDA,Master Pick Rate,Master Win Rate,Master KDA,Grandmaster Pick Rate,Grandmaster Win Rate,Grandmaster KDA,Champion Pick Rate,Champion Win Rate,Champion KDA
Ana,6.95,48.92,3.86,3.7,51.78,3.12,5.14,49.19,3.35,6.79,48.58,3.73,8.21,48.7,4.01,8.91,48.67,4.18,8.84,49.19,4.34,7.83,49.9,4.53,11.23,72.06,5.84
Kiriko,6.51,50.01,4.21,6.69,50.16,3.36,7.1,49.66,3.76,6.57,49.92,4.23,6.3,49.98,4.56,6.11,50.4,4.73,5.91,50.78,4.82,5.24,51,4.99,5.58,62.95,5.59
Genji,4.21,51.76,2.18,4.46,56.98,2.57,3.64,50.05,1.98,4.07,51.52,2.13,4.58,51.79,2.19,4.64,51.34,2.23,4.35,51.07,2.3,3.27,52.5,2.45,2.19,64.73,3.24
Moira,2.63,49.5,4.41,4.15,49.88,3.7,3.71,49.11,4.02,2.76,49.67,4.5,2.11,49.75,5.05,1.56,49.19,5.31,1.07,49.28,5.59,0.51,50.7,6.18,0.32,62.85,8.14
Sojourn,1.84,45.03,2.34,1.76,49.39,2.34,1.78,44.57,2.15,1.73,44.02,2.25,1.75,44.25,2.37,1.92,45.09,2.49,2.5,46.31,2.65,2.99,46.61,2.83,2.73,59.81,3.7
Soldier: 76,3,49.62,2.45,3.87,53.21,2.66,3.5,48.61,2.3,3.16,48.57,2.38,2.68,49.59,2.49,2.41,50.4,2.6,2.25,50.78,2.7,1.84,52.56,2.83,2.54,58.1,3.39
Cassidy,4.45,48.09,2.38,3.17,54.58,2.47,3.51,48.68,2.16,4.19,47.7,2.29,4.83,47.05,2.39,5.47,47.17,2.5,6.31,47.73,2.62,6.82,49.85,2.81,5.11,53.9,3.13
Zenyatta,2.47,53.18,4.71,2.64,52.98,3.93,2.49,53.56,4.24,2.49,53.74,4.7,2.59,53.28,5.07,2.41,52.68,5.25,2.04,50.08,5.36,1.3,47.87,5.4,0.63,46.87,5.74
Reaper,2.48,54.49,2.44,3.12,57.21,2.88,2.8,53.31,2.34,2.56,53.76,2.37,2.28,54.89,2.43,2.09,54.93,2.46,1.85,55.46,2.51,1.85,58.18,2.76,0.92,59.26,3.06
Juno,1.71,50.79,3.88,2.58,50.51,3.15,2.05,49.96,3.46,1.58,51.18,4.03,1.49,51.17,4.42,1.45,51.28,4.45,1.39,51.18,4.36,1.61,53.47,4.88,1.68,58.87,4.79
