Hero,All Pick Rate,All Win Rate,All KDA,Bronze Pick Rate,Bronze Win Rate,Bronze KDA,Silver Pick Rate,Silver Win Rate,Silver KDA,Gold Pick Rate,Gold Win Rate,Gold KDA,Platinum Pick Rate,Platinum Win Rate,Platinum KDA,Diamond Pick Rate,Diamond Win Rate,Diamond KDA,Master Pick Rate,Master Win Rate,Master KDA,Grandmaster Pick Rate,Grandmaster Win Rate,Grandmaster KDA,Champion Pick Rate,Champion Win Rate,Champion KDA
Ana,6.46,48.73,3.84,3.6,50.27,3.02,4.89,49.04,3.38,6.52,48.54,3.77,8.04,48.44,4.06,8.66,48.78,4.25,8.47,48.33,4.37,7.34,49.78,4.53,3.11,56.04,4.86
Kiriko,7.1,49.65,4.12,7.59,49.99,3.29,7.64,49.18,3.72,7.01,49.61,4.23,6.78,49.75,4.58,6.67,49.94,4.74,6.42,50.57,4.85,6.2,51.01,5.02,5.16,71.2,6.22
Genji,3.31,52.12,2.18,3.51,55.95,2.42,3,50.46,2,3.37,51.98,2.15,3.55,52.16,2.22,3.37,52.1,2.26,3.16,51.36,2.32,2.21,52.15,2.48,0.76,69.06,3.97
Moira,4.01,51.52,4.58,5.38,51.08,3.75,4.9,51.13,4.14,3.97,51.78,4.75,3.41,52.32,5.32,2.9,51.82,5.64,2.3,50.46,5.75,1.66,49.9,5.88,1.15,52.65,6.23
Sojourn,2.07,45.97,2.38,1.74,49.11,2.32,1.94,45.95,2.22,2.03,45.07,2.32,2.08,45.44,2.46,2.28,45.34,2.55,2.83,47.5,2.7,3.42,47.9,2.93,1.72,72.98,4.68
Soldier: 76,2.35,49.59,2.45,2.89,52.01,2.57,2.71,48.89,2.33,2.48,48.55,2.41,2.05,49.67,2.52,1.72,50.64,2.63,1.61,51.36,2.74,1.2,52.87,2.8,0.05,0,5.75
Cassidy,4.19,48.41,2.39,2.71,53.39,2.38,3.17,49.3,2.21,4.07,48.12,2.33,4.9,47.43,2.43,5.58,47.29,2.53,6.53,47.54,2.61,7.03,48.92,2.78,3.73,49.92,2.88
Zenyatta,2.32,53.61,4.77,2.35,52.42,3.92,2.23,53.77,4.3,2.31,54.44,4.84,2.49,54.01,5.23,2.4,52.97,5.43,2.06,50.38,5.51,1.49,49.22,5.62,0.33,44.14,5.45
Reaper,1.81,50.88,2.17,2.4,54.78,2.48,2.06,50.14,2.11,1.86,50.3,2.11,1.58,50.21,2.14,1.31,49.12,2.15,1.18,50.2,2.23,1.19,54.1,2.3,1.86,66.65,2.95
Juno,2.03,50.61,3.87,2.84,49.94,3.12,2.25,49.97,3.49,1.84,51.07,4.06,1.81,50.97,4.46,1.81,51.28,4.59,1.67,51.18,4.54,1.99,53.28,4.91,3.25,59.61,5.29
Ashe,1.59,51.54,2.84,1.11,52.06,2.63,1.37,51.42,2.66,1.67,51.52,2.82,1.77,51.37,2.93,1.77,51.42,2.97,1.94,52.25,3.04,2.08,52,3.23,0.72,45.31,3.09
Ramattra,1.92,48.14,3.14,2.89,51.12,3.2,2.73,47.89,3.05,1.97,47.03,3.13,1.24,47.49,3.25,0.93,47.61,3.37,0.78,47.04,3.4,0.83,46.4,3.65,1.1,44.93,3.88
Mercy,2.45,48.22,3.54,2.95,46.03,2.38,2.24,47.11,2.9,2.23,48.84,3.68,2.54,48.92,4.2,2.69,48.99,4.52,2.67,49.73,4.92,2.79,51.26,5.39,2.2,66.64,6.5
Zarya,1.43,52.62,4.54,0.92,55.25,4.14,1.21,52.4,4.08,1.46,51.5,4.35,1.49,52.22,4.71,1.7,52.99,5.06,2.18,54.2,5.31,3.29,55.86,5.59,7.31,69.76,6.57
Bastion,1.66,47.07,2.52,2.51,49.94,2.52,2.24,47.32,2.45,1.71,45.68,2.51,1.15,45.32,2.6,0.88,45.65,2.68,0.72,47.72,2.79,0.63,47.47,3.08,0.33,33.94,3.64
Lúcio,0.71,50.05,2.64,1.42,51.75,2.31,0.83,49.42,2.52,0.58,50.02,2.79,0.53,49.21,2.92,0.56,49.02,3.05,0.55,46.88,3.06,0.54,50.97,3.56,0.14,100,0
Mauga,1.66,48.97,4,1.88,48.69,3.71,1.79,47.28,3.75,1.69,48.86,4,1.54,49.92,4.23,1.43,51.68,4.41,1.4,51.62,4.58,1.59,52.26,4.89,11.66,70.04,6.55
Hanzo,2.07,50.06,2.84,1.92,53.55,2.72,1.84,49.42,2.59,2.05,49.58,2.81,2.24,49.72,2.94,2.28,49.67,3.06,2.54,50.46,3.16,2.19,52.88,3.43,0.81,44.99,3.25
Pharah,1.27,52.35,2.61,1.13,52.69,2.68,1.25,51.95,2.56,1.28,52.13,2.54,1.28,52.73,2.6,1.34,52.61,2.7,1.37,52.49,2.88,1.45,53.51,3.13,2.29,61.26,4.1
Illari,1.15,50.13,3.05,1.41,49.4,2.51,1.25,50.07,2.8,1.06,50.7,3.13,1.06,50.02,3.33,1.12,49.68,3.38,1.08,51.08,3.46,1.05,48.26,3.5,0.48,68.1,4.75
Doomfist,3.2,51.91,3.17,1.64,53.79,3.02,2.25,51.47,2.98,3.18,52.06,3.09,4.12,51.87,3.2,4.49,51.68,3.31,4.4,51.39,3.45,4.58,53.17,3.74,3.73,67.08,5.11
Venture,0.59,52.91,2.16,0.42,53.41,2.21,0.57,53.42,2.16,0.66,52.69,2.15,0.63,52.46,2.14,0.58,52.92,2.17,0.51,50.94,2.18,0.45,59.66,2.36,0.05,0,0
Junkrat,1.12,52.62,2.38,1.37,53.35,2.31,1.35,52.27,2.28,1.19,52.63,2.39,0.97,52.77,2.48,0.8,52.65,2.56,0.61,52.15,2.61,0.37,49,2.5,0.05,0,0.5
Sigma,2.37,52.66,3.8,2.27,53.66,3.63,2.56,52.06,3.58,2.46,52.44,3.79,2.22,52.71,3.99,2.13,53.39,4.11,2.18,52.6,4.18,2.93,56.56,4.47,4.97,60.79,4.28
Brigitte,0.98,51.11,3.61,0.88,48.51,2.62,0.92,51.91,3.15,0.96,51.14,3.56,1.04,51.02,3.98,1.1,51.65,4.29,1.09,51.37,4.54,0.85,52.12,4.72,0.14,15.9,2.58
Widowmaker,1.19,48.07,2.45,1.35,49.63,2.74,1.12,46.32,2.3,1.1,47.93,2.4,1.12,48.29,2.44,1.27,49.07,2.5,1.6,48.82,2.58,1.93,50.07,2.77,1.2,58.73,2.78
Lifeweaver,1.95,49.16,4.28,1.91,48.04,3.18,2.08,49.75,3.86,2.11,49.69,4.42,1.95,49.18,4.86,1.71,47.92,4.99,1.23,46.49,5.07,0.89,45.71,5.35,0.19,38.46,4.25
Sombra,0.82,47.74,2.88,0.73,48.57,2.62,0.81,48.45,2.71,0.85,47.75,2.91,0.86,47.18,3.05,0.85,47.31,3.08,0.72,45.28,2.98,0.48,47.35,3.06,0.05,100,2.25
D.VA,1.35,46.68,4.93,2.1,48.2,4.73,1.61,44.91,4.5,1.24,46.28,4.92,1.05,48.01,5.48,1,47.99,5.74,1.08,48.14,5.91,1.44,50.33,6.28,4.25,57,8.44
Torbjörn,0.56,56.24,2.6,0.64,60.15,2.73,0.67,57.46,2.58,0.61,56.06,2.58,0.5,54,2.59,0.4,53.02,2.55,0.34,51.46,2.62,0.22,52.8,2.66,N,N,N
Tracer,0.95,49.21,2.02,0.74,51.79,2.11,0.65,47.89,1.85,0.81,49.66,2,1.08,49.11,2.03,1.43,49.22,2.11,1.82,48.32,2.09,2.11,49.19,2.29,0.91,46.35,3.43
Orisa,1.45,45.44,3.39,1.84,47.65,3.24,1.79,45.7,3.23,1.5,44.35,3.38,1.17,44.07,3.58,0.96,45.5,3.84,0.89,47.39,4.11,0.97,50.89,4.36,1.77,57.77,6.33
Hazard,0.99,52.74,3.69,0.64,53.52,3.36,0.84,52.31,3.37,1.03,52.09,3.58,1.07,52.61,3.79,1.18,53.74,4.01,1.37,53.66,4.22,1.82,55.62,4.57,4.21,64.5,5.88
