Hero,All Pick Rate,All Win Rate,All KDA,Bronze Pick Rate,Bronze Win Rate,Bronze KDA,Silver Pick Rate,Silver Win Rate,Silver KDA,Gold Pick Rate,Gold Win Rate,Gold KDA,Platinum Pick Rate,Platinum Win Rate,Platinum KDA,Diamond Pick Rate,Diamond Win Rate,Diamond KDA,Master Pick Rate,Master Win Rate,Master KDA,Grandmaster Pick Rate,Grandmaster Win Rate,Grandmaster KDA,Champion Pick Rate,Champion Win Rate,Champion KDA
Ana,7.44,49.74,4.04,3.99,52.99,3.27,5.39,50.08,3.45,6.79,49.83,3.79,8.3,49.59,4.11,9.14,49.51,4.36,9.28,49.26,4.55,7.89,50.15,4.69,6.27,65.94,4.65
Kiriko,5.92,48.36,4.06,5.68,50.3,3.24,6.09,48.25,3.52,5.95,48.31,3.93,5.88,48.24,4.28,5.89,48.2,4.48,5.85,48.01,4.62,5.79,49.79,4.8,2.8,59.12,5.68
Genji,3.34,49.68,2.17,4.6,58.23,2.53,3.24,47.57,1.96,3.14,49.2,2.13,3.36,49.58,2.2,3.5,49.56,2.21,3.32,48.58,2.28,2.52,49.12,2.37,0.57,62.12,3.66
Moira,2.76,48.69,4.57,4.06,51.11,3.8,4.08,48.87,4.07,3.28,48.58,4.55,2.46,48.26,4.97,1.74,48.13,5.34,1.16,47.74,5.59,0.62,47.28,5.69,0.57,56.34,6.98
Sojourn,2.67,45.76,2.43,2.75,48.63,2.35,2.79,45.35,2.21,2.56,44.75,2.32,2.41,44.94,2.47,2.73,46.58,2.6,3.24,47.36,2.71,4.06,49.31,2.98,3.12,53.85,3.16
Soldier: 76,2.91,48.27,2.47,4.26,52.27,2.55,3.66,47.48,2.32,3.13,47.42,2.41,2.69,47.68,2.5,2.31,49.19,2.64,2.08,50.13,2.74,1.6,52.9,3.02,0.79,59.82,2.44
Cassidy,5.38,47.52,2.44,3.99,54.5,2.42,4.21,47.85,2.19,4.86,47.77,2.35,5.61,46.91,2.45,6.44,46.48,2.53,7.07,47.28,2.66,7.16,48.77,2.84,4.77,57.01,3.33
Zenyatta,2.63,53.57,4.85,2.85,54.09,3.98,2.78,53.38,4.29,2.73,53.98,4.71,2.7,53.99,5.11,2.51,53.27,5.37,2.12,51.01,5.48,1.53,50,5.51,0.5,52.69,4.35
Reaper,1.96,51.58,2.35,2.65,57.47,2.71,2.43,50.96,2.3,2.2,51.19,2.32,1.85,50.83,2.33,1.52,51.76,2.35,1.22,51.8,2.37,1.01,53.04,2.46,3.41,53.68,3.25
Juno,3.06,50.91,4.08,3.97,50.92,3.13,3.64,50.21,3.54,3.13,50.83,3.99,2.81,51.26,4.4,2.75,51.38,4.7,2.67,51.11,4.82,2.53,50.47,4.89,1.11,59.18,5.1
Ashe,3.35,52.07,2.94,2.25,53.46,2.74,2.74,52.02,2.74,3.14,51.62,2.89,3.47,51.94,2.97,3.81,51.9,3.02,4.26,52.94,3.07,4.82,54.65,3.25,3.01,59.59,3.43
Ramattra,1.73,48.17,3.33,2.27,51.55,3.35,2.39,48.99,3.27,2.08,47.86,3.3,1.55,47.14,3.35,1.15,47.58,3.41,0.9,46.95,3.45,0.91,48.67,3.59,1.08,49.6,3.25
