Hero,All Pick Rate,All Win Rate,All KDA,Bronze Pick Rate,Bronze Win Rate,Bronze KDA,Silver Pick Rate,Silver Win Rate,Silver KDA,Gold Pick Rate,Gold Win Rate,Gold KDA,Platinum Pick Rate,Platinum Win Rate,Platinum KDA,Diamond Pick Rate,Diamond Win Rate,Diamond KDA,Master Pick Rate,Master Win Rate,Master KDA,Grandmaster Pick Rate,Grandmaster Win Rate,Grandmaster KDA,Champion Pick Rate,Champion Win Rate,Champion KDA
Ana,6.4,48.89,3.83,3.56,50.57,3.01,4.87,49.3,3.39,6.55,48.72,3.78,7.96,48.52,4.05,8.5,48.76,4.22,8.31,48.63,4.37,7.06,49.72,4.53,2.67,55.93,4.79
Kiriko,7.07,49.65,4.1,7.58,49.96,3.28,7.59,49.22,3.71,6.97,49.57,4.22,6.76,49.78,4.56,6.63,49.9,4.71,6.4,50.52,4.84,6.12,51.74,5.03,4.61,70.19,6.08
Genji,3.57,52.15,2.17,3.74,55.72,2.38,3.26,50.55,2,3.63,52.01,2.15,3.85,52.11,2.21,3.64,52.24,2.26,3.39,52,2.33,2.47,51.67,2.46,0.61,69.72,3.77
Moira,4.01,51.3,4.54,5.45,50.94,3.71,4.93,50.95,4.12,3.98,51.54,4.72,3.37,51.94,5.27,2.79,51.62,5.58,2.17,50.27,5.7,1.6,50.8,5.94,1,61.45,6.8
Sojourn,2.04,46.11,2.38,1.7,49.2,2.3,1.87,46.08,2.22,1.98,45.24,2.32,2.08,45.5,2.46,2.32,45.59,2.55,2.88,47.3,2.7,3.43,48.98,2.93,1.83,66.27,3.96
Soldier: 76,2.55,49.69,2.45,3.04,52.09,2.54,2.9,48.85,2.32,2.68,48.76,2.41,2.24,49.88,2.51,1.94,50.79,2.63,1.79,51.24,2.72,1.36,51.77,2.83,0.06,0,3.43
Cassidy,4.51,48.63,2.39,2.92,53.43,2.37,3.47,49.41,2.21,4.42,48.36,2.33,5.25,47.57,2.42,5.96,47.62,2.52,6.85,47.77,2.61,7.41,49.38,2.82,4.11,52.5,3.16
Zenyatta,2.33,53.57,4.74,2.35,52.77,3.87,2.24,53.57,4.28,2.32,54.47,4.82,2.5,53.75,5.17,2.39,52.8,5.38,2.04,50.98,5.48,1.45,50.08,5.64,0.56,59.64,6.17
Reaper,1.92,51.32,2.19,2.52,54.52,2.46,2.17,50.65,2.13,1.97,50.77,2.14,1.68,50.71,2.16,1.44,50.35,2.19,1.29,50.8,2.26,1.36,54.32,2.37,1.5,65.51,2.97
Juno,2.07,50.67,3.88,2.89,50.03,3.11,2.29,50,3.52,1.89,51.08,4.1,1.84,51.31,4.49,1.83,51.21,4.58,1.7,51.49,4.54,2,51.89,4.8,2.61,56.85,5.64
Ashe,1.73,51.65,2.81,1.18,52.43,2.61,1.48,51.39,2.63,1.82,51.56,2.8,1.95,51.61,2.9,1.98,51.73,2.94,2.12,51.89,3.01,2.23,52.53,3.17,0.94,56.59,3.7
Ramattra,1.88,48.14,3.13,2.81,51,3.19,2.7,47.92,3.05,1.91,46.96,3.12,1.21,47.56,3.24,0.9,47.46,3.33,0.75,47.69,3.43,0.79,46.44,3.61,0.97,44.72,3.81
Mercy,2.47,48.52,3.54,2.97,46.23,2.37,2.26,47.54,2.93,2.27,49.29,3.69,2.55,49.19,4.21,2.65,49.17,4.53,2.68,49.52,4.92,2.65,52.63,5.49,2.42,76.08,7.78
Zarya,1.44,52.52,4.51,0.92,55.01,4.1,1.22,52.16,4.05,1.48,51.68,4.34,1.51,51.9,4.68,1.71,52.99,5.02,2.21,54.04,5.26,3.27,55.8,5.62,6.77,61.58,5.86
Bastion,1.76,47.19,2.5,2.64,49.92,2.5,2.37,47.44,2.43,1.8,45.86,2.51,1.21,45.57,2.6,0.95,45.6,2.68,0.79,46.84,2.76,0.73,49.18,3.06,0.36,56.23,3.48
Lúcio,0.71,50.52,2.62,1.44,52.92,2.27,0.81,49.82,2.51,0.57,50.1,2.79,0.52,48.95,2.9,0.54,48.68,3.05,0.54,47.58,3.08,0.5,51.15,3.36,0.17,5.33,0
Mauga,1.7,49.2,3.99,1.88,48.52,3.67,1.8,47.54,3.72,1.71,49.09,3.99,1.61,50.28,4.23,1.5,51.86,4.4,1.5,52.19,4.55,1.62,51.83,4.82,15.3,66.64,6.1
Hanzo,2.17,50.14,2.82,2.02,53.52,2.71,1.96,49.71,2.59,2.15,49.82,2.79,2.34,49.62,2.93,2.38,49.5,3.04,2.58,50.26,3.16,2.27,52.94,3.4,0.78,61.95,3.4
Pharah,1.33,52.47,2.61,1.17,53.1,2.66,1.31,52.06,2.55,1.34,52.16,2.54,1.35,52.84,2.61,1.4,52.82,2.69,1.42,52.29,2.87,1.53,54.26,3.15,1.64,57.37,3.8
Illari,1.09,50.31,3.06,1.34,49.83,2.5,1.17,50.42,2.83,1.02,51.05,3.16,1.01,49.91,3.32,1.04,49.73,3.38,1.01,50.27,3.43,1.01,48.15,3.49,0.42,56.84,3.7
Doomfist,3.15,51.84,3.16,1.6,53.92,3.05,2.21,51.69,2.98,3.14,51.96,3.08,4.06,51.69,3.17,4.46,51.46,3.29,4.42,51.48,3.45,4.61,52.79,3.74,4.14,62.92,4.4
Venture,0.63,53.22,2.16,0.43,54.58,2.23,0.6,53.76,2.17,0.72,52.9,2.16,0.69,52.65,2.14,0.64,53.08,2.16,0.57,52.14,2.18,0.48,56.99,2.25,0.11,59.27,3.11
Junkrat,1.2,52.77,2.37,1.44,53.3,2.32,1.43,52.46,2.27,1.26,52.81,2.38,1.05,52.87,2.48,0.87,52.88,2.56,0.64,52.51,2.58,0.44,51.33,2.54,0.06,46.18,3.4
Sigma,2.42,52.66,3.78,2.25,53.8,3.59,2.58,52.07,3.57,2.52,52.43,3.77,2.28,52.62,3.96,2.2,53.36,4.09,2.28,52.92,4.17,2.98,55.86,4.42,5,57.46,4.47
Brigitte,0.97,51.37,3.58,0.88,49.42,2.6,0.9,52.1,3.14,0.96,51.26,3.53,1.03,51.21,3.94,1.08,51.97,4.27,1.07,51.81,4.48,0.85,52.3,4.74,0.36,49.87,4.12
Widowmaker,1.25,48.02,2.43,1.39,49.62,2.7,1.18,46.56,2.29,1.16,47.76,2.38,1.2,48.24,2.42,1.35,48.62,2.47,1.68,48.75,2.58,2.06,50.11,2.77,1.3,56.7,3.11
Lifeweaver,2,49.25,4.26,1.94,48.43,3.15,2.13,49.8,3.86,2.17,49.66,4.41,2.01,49.37,4.83,1.74,47.65,4.93,1.25,47.5,5.04,0.93,45.85,5.13,0.25,56.81,5.26
Sombra,0.89,48.06,2.89,0.78,49.23,2.63,0.88,48.87,2.72,0.92,47.97,2.92,0.95,47.26,3.05,0.92,47.56,3.08,0.8,46.39,3.05,0.54,46.12,3.08,0.03,100,2.25
D.VA,1.33,46.71,4.92,2.05,48.12,4.71,1.58,44.95,4.48,1.22,46.54,4.94,1.04,48.02,5.46,1.01,47.79,5.74,1.09,47.79,5.89,1.41,50,6.3,3.8,55.25,8.43
Torbjörn,0.59,56.53,2.6,0.64,60.03,2.72,0.71,57.64,2.58,0.65,56.53,2.59,0.52,54.51,2.59,0.43,52.77,2.55,0.37,53.67,2.68,0.26,51.16,2.63,N,N,N
Tracer,1,49.36,2.04,0.76,52.31,2.11,0.69,48.05,1.87,0.87,49.76,2.02,1.15,49.15,2.05,1.52,49.31,2.13,1.91,48.54,2.12,2.28,49.9,2.31,0.97,46.59,2.72
Orisa,1.43,45.55,3.38,1.78,47.59,3.23,1.76,45.73,3.22,1.49,44.54,3.37,1.16,44.31,3.57,0.97,45.47,3.82,0.92,47.76,4.08,0.97,51.16,4.37,1.86,45.76,4.88
Hazard,0.99,52.98,3.72,0.62,53.78,3.4,0.84,52.46,3.41,1.03,52.23,3.6,1.07,52.59,3.81,1.21,54.52,4.07,1.38,54.15,4.3,1.84,56.41,4.61,4.55,61.95,5.87
Winston,1.33,50.93,3.46,0.98,50.94,3.05,1.2,50.09,3.15,1.4,50.66,3.4,1.44,51.75,3.66,1.46,51.96,3.91,1.47,50.65,4.01,1.61,49.62,4.36,1.89,60.11,5.31
Reinhardt,1.29,52.17,2.48,1.34,52.57,2.24,1.38,51.66,2.31,1.36,52.38,2.52,1.24,52.12,2.6,1.13,52.59,2.7,0.99,51.92,2.71,0.96,52.81,2.85,8.19,54.34,2.97
Junker Queen,0.63,53.49,4.35,0.55,53,3.92,0.64,53.56,4.09,0.69,53.14,4.34,0.64,53.82,4.56,0.54,54.06,4.73,0.51,53.25,4.8,0.52,56.52,5.19,0.58,57.83,5.6
Baptiste,1.22,47.69,3.56,1.35,47.24,2.64,1.15,47.8,3.16,1.18,47.84,3.62,1.27,47.56,3.95,1.29,47.73,4.19,1.19,48.21,4.38,1,46.9,4.33,0.39,60.54,5.32
Mei,1.02,55.66,3.34,0.76,58.22,3.48,1.01,56.9,3.44,1.14,55.93,3.37,1.11,54.22,3.26,0.99,53.86,3.17,0.83,51.67,3.07,0.64,54.33,3.28,0.19,37.63,3.94
Roadhog,1.66,46.03,3.81,1.53,48.1,3.49,1.66,46.25,3.55,1.8,46.34,3.87,1.71,45.38,4.02,1.52,44.62,4.08,1.35,42.67,4.08,1.19,44.97,4.17,1.19,49.02,4.01
Echo,0.78,49.75,2.24,0.77,50.47,2.1,0.75,48.3,2.05,0.76,49.33,2.17,0.78,50.55,2.37,0.82,50.16,2.45,0.95,52.44,2.65,1.08,51.34,2.72,0.53,33.18,2.81
Symmetra,0.81,55.61,2.41,0.37,55.49,3.08,0.44,57,2.89,0.64,55.98,2.74,0.93,55.12,2.39,1.46,54.19,1.84,2.23,54.03,1.37,3.16,51.88,1.06,2.19,45.15,1.34
Wrecking Ball,0.51,51.09,3.96,0.44,50.01,3.17,0.42,49.62,3.37,0.48,51.81,3.88,0.58,52.04,4.23,0.67,50.42,4.5,0.66,51.61,4.79,0.77,52.9,5.34,0.97,63.56,7.2
