Hero,All Pick Rate,All Win Rate,All KDA,Bronze Pick Rate,Bronze Win Rate,Bronze KDA,Silver Pick Rate,Silver Win Rate,Silver KDA,Gold Pick Rate,Gold Win Rate,Gold KDA,Platinum Pick Rate,Platinum Win Rate,Platinum KDA,Diamond Pick Rate,Diamond Win Rate,Diamond KDA,Master Pick Rate,Master Win Rate,Master KDA,Grandmaster Pick Rate,Grandmaster Win Rate,Grandmaster KDA,Champion Pick Rate,Champion Win Rate,Champion KDA
Ana,6.7,48.75,3.88,3.47,51.05,3.06,4.8,48.74,3.29,6.37,48.54,3.73,7.81,48.69,4.04,8.74,48.33,4.19,8.52,49.22,4.36,7.54,50.25,4.6,12.35,70.7,5.58
Kiriko,6.48,50.07,4.26,6.69,50.15,3.38,7.2,49.71,3.77,6.56,50.18,4.26,6.21,49.95,4.59,6.16,50.45,4.79,5.85,50.3,4.87,4.96,50.77,5.08,8.43,61.97,5.44
Genji,4.41,51.84,2.2,4.26,57.68,2.58,3.6,50.2,2.02,4.24,51.68,2.15,4.88,51.93,2.2,5.02,51.36,2.26,4.82,51.52,2.32,3.83,51.8,2.48,2.41,78.09,2.96
Moira,2.55,49.79,4.49,4.11,49.69,3.68,3.66,49.59,4.04,2.73,50.19,4.52,2.06,49.92,5.16,1.62,49.31,5.43,1.07,48.87,5.66,0.44,48.43,6.3,0.4,42.1,5
Sojourn,1.69,44.6,2.33,1.71,48.81,2.32,1.65,44.17,2.13,1.59,43.13,2.23,1.6,43.99,2.37,1.72,44.72,2.5,2.24,46.96,2.68,2.62,46.52,2.8,3.01,65.53,4.38
Soldier: 76,2.98,49.83,2.47,3.9,53.21,2.66,3.51,48.97,2.33,3.17,48.81,2.4,2.67,49.59,2.5,2.41,50.87,2.66,2.27,51.25,2.74,1.92,53.35,2.89,1.2,49.6,4.18
Cassidy,4.07,47.65,2.38,3.06,55.08,2.48,3.18,48.61,2.15,3.71,46.95,2.28,4.36,46.48,2.39,4.93,46.88,2.52,5.83,47.55,2.65,6.53,49.35,2.76,4.92,53.82,3.07
Zenyatta,2.46,53.21,4.74,2.69,52.63,3.89,2.48,54.04,4.22,2.48,53.42,4.69,2.56,53.05,5.08,2.45,53.18,5.26,2.05,51.03,5.41,1.33,48.91,5.73,0.9,24.47,3.48
Reaper,2.46,55.02,2.45,2.96,58.17,2.84,2.72,53.21,2.37,2.55,54.18,2.38,2.34,55.73,2.45,2.18,56.24,2.48,1.93,55.82,2.54,1.85,57.86,2.78,0.4,93.01,5.33
Juno,1.74,50.97,3.95,2.75,50.11,3.17,2.11,50.42,3.46,1.61,51.15,4.06,1.49,51.35,4.51,1.52,51.43,4.54,1.43,51.89,4.48,1.8,53.83,5.23,2.21,35.84,3.51
Ashe,1.9,50.97,2.77,1.59,52.43,2.67,1.73,50.32,2.55,1.95,50.71,2.71,1.99,50.62,2.86,1.91,51.38,2.91,2.09,52.12,3,2.3,54.67,3.07,1.61,25.96,2.48
Ramattra,1.96,49.69,3.17,2.92,51.38,3.16,2.79,49.26,3.04,2.19,48.73,3.13,1.55,50.21,3.29,1.17,50.58,3.44,0.96,50.83,3.51,0.94,54.88,4,1.91,81.18,6.76
Mercy,3.09,49.39,3.78,3.57,47.39,2.5,2.87,47.38,2.98,2.93,50.22,3.73,3.22,49.86,4.24,3.16,49.75,4.55,3.2,50.54,4.91,3.27,51.82,5.46,6.83,64.52,5.3
Zarya,1.48,49.82,4.23,1.04,53.87,3.94,1.23,49.51,3.74,1.43,48.85,3.96,1.51,49.4,4.32,1.63,49.43,4.59,2.03,51.42,4.92,3.08,53.48,5.43,1.91,41.73,4.47
Bastion,1.37,45.81,2.45,2.35,50.26,2.56,2.07,46.03,2.36,1.45,43.78,2.37,1.03,44.9,2.56,0.79,44.77,2.58,0.67,46.17,2.75,0.5,52.57,2.92,N,N,N
Lúcio,0.95,51.73,2.85,1.79,52.46,2.35,1.17,51.31,2.57,0.86,52.73,2.9,0.75,50.07,3.1,0.84,52.93,3.34,0.79,48.78,3.24,0.7,52.43,3.85,0.3,95.96,6.14
Mauga,1.37,48.35,3.76,1.73,47.59,3.54,1.56,46.35,3.42,1.43,47.9,3.69,1.31,49.58,3.92,1.12,50.89,4.2,1.04,50.87,4.5,1.03,50.14,4.59,4.92,88.34,7.69
Hanzo,1.51,49.3,2.8,1.85,54.36,2.9,1.51,48.55,2.47,1.44,48.91,2.74,1.48,48.45,2.86,1.45,48.47,3,1.69,50.36,3.15,1.48,53.49,3.41,0.3,55.01,4.67
Pharah,1.11,52.63,2.6,1.06,53.1,2.7,1.09,51.28,2.5,1.11,52.28,2.53,1.07,52.98,2.57,1.14,53.36,2.66,1.19,53.86,2.89,1.24,56.88,3.13,2.71,37.99,2.57
Illari,1.96,52.94,3.41,1.84,51.41,2.85,1.89,52.58,3.01,1.86,53.07,3.35,1.9,53.54,3.61,2.18,52.8,3.67,2.34,53.17,3.79,2.49,52.32,3.83,3.31,56.14,3.73
Doomfist,2.83,50.96,3.02,1.3,54.48,2.97,1.76,50.1,2.74,2.55,51.23,2.89,3.52,51.02,3.01,3.84,50.41,3.15,3.73,51.19,3.31,4.24,51.11,3.57,1.91,71.49,5.43
Venture,0.69,51.83,2.13,0.46,55.12,2.25,0.63,51.75,2.1,0.77,52.33,2.14,0.74,50.73,2.09,0.68,50.91,2.14,0.63,52.8,2.13,0.61,53.43,2.34,0.1,0,1
Junkrat,0.97,51.36,2.33,1.46,51.8,2.32,1.26,50.07,2.19,1.03,51.6,2.32,0.85,52.11,2.43,0.67,52.49,2.46,0.55,50.55,2.54,0.29,48.53,2.38,0.1,100,1
Sigma,2.36,52.66,3.7,2.17,54.68,3.5,2.51,52.41,3.48,2.55,52.49,3.63,2.29,52.34,3.82,2.07,52.42,3.92,2.13,52.79,4.02,2.51,56.03,4.3,1.71,56.93,5.89
Brigitte,1.23,52.64,3.82,0.95,47.85,2.79,1.1,54.22,3.21,1.18,52.25,3.59,1.31,52.58,4.09,1.43,53.26,4.37,1.38,51.97,4.63,1.32,55.04,5.05,1,63.05,3.7
Widowmaker,1.07,47.14,2.41,1.41,51.37,2.91,0.99,43.48,2.14,0.97,46.58,2.32,0.98,47,2.37,1.08,48.23,2.46,1.51,48.7,2.58,2.1,50.87,2.84,3.71,49.69,3.23
Lifeweaver,2.15,50.64,4.51,1.87,49.29,3.16,2.27,51.18,3.92,2.39,51.14,4.57,2.22,50.34,4.92,1.91,50.7,5.14,1.56,48.4,5.18,1,48.21,5.43,0.6,92.45,10.11
Sombra,0.87,47.38,2.83,0.77,48.68,2.49,0.88,47.56,2.65,0.88,47.49,2.86,0.9,47.24,2.94,0.86,46.38,2.94,0.85,47.99,3.01,0.72,45.26,2.8,0.1,0,0
D.VA,1.73,48.91,5.28,2.49,49.34,4.93,1.99,46.68,4.59,1.68,48.24,5.13,1.55,50.46,5.76,1.49,50.49,6.04,1.55,50.24,6.42,1.94,56.84,6.95,2.71,29.16,6.78
Torbjörn,0.47,55.2,2.54,0.63,57.34,2.77,0.6,57.09,2.51,0.52,55.45,2.56,0.39,54.62,2.54,0.33,50.53,2.41,0.3,50.76,2.49,0.31,51.18,2.5,N,N,N
Tracer,1.24,50.23,2.15,0.82,52.55,2.21,0.79,49.04,1.99,0.99,50.07,2.1,1.34,50.17,2.13,1.69,50.4,2.19,2.36,49.8,2.27,2.78,54.07,2.53,2.41,57.61,3.25
Orisa,1.54,46.03,3.36,1.96,48,3.21,1.97,45.61,3.14,1.7,45.33,3.31,1.32,46.07,3.54,1.11,46.78,3.76,1.03,47.51,3.92,1.24,46.36,4.18,1.71,38.04,3.59
