Hero,All Pick Rate,All Win Rate,All KDA,Bronze Pick Rate,Bronze Win Rate,Bronze KDA,Silver Pick Rate,Silver Win Rate,Silver KDA,Gold Pick Rate,Gold Win Rate,Gold KDA,Platinum Pick Rate,Platinum Win Rate,Platinum KDA,Diamond Pick Rate,Diamond Win Rate,Diamond KDA,Master Pick Rate,Master Win Rate,Master KDA,Grandmaster Pick Rate,Grandmaster Win Rate,Grandmaster KDA,Champion Pick Rate,Champion Win Rate,Champion KDA
Ana,7.07,48.64,4.01,3.61,58.4,3.79,4.8,46.91,3.04,6.39,48.16,3.62,7.56,49.24,4.09,8.45,48.65,4.32,8.9,47.48,4.59,7.76,49.41,4.62,N,N,N
Kiriko,6.69,50.13,4.12,6.75,52.52,3.27,7.23,49.29,3.53,7.04,49.57,3.96,6.49,50.99,4.25,6.39,50.01,4.5,6.56,49.84,4.64,5.55,49.33,4.85,N,N,N
Genji,5.25,52.04,2.28,4.69,60.75,2.69,4.16,47.42,1.96,5.09,51.07,2.19,5.44,51.84,2.29,5.75,53.25,2.32,5.98,53.5,2.57,4.55,56.22,2.72,N,N,N
Moira,2.73,48.47,4.48,4.27,47.72,3.48,4.22,52.09,3.96,3.17,48.03,4.28,2.71,46.75,4.84,1.91,46.5,5.29,1.22,53.6,5.88,0.42,33.53,4.33,N,N,N
Sojourn,2.52,46.45,2.33,2.65,52.83,2.33,2.88,45.63,2.13,2.59,46.19,2.2,2.33,45.69,2.37,2.39,45.37,2.39,2.46,47.65,2.66,3.26,51.93,2.84,N,N,N
Soldier: 76,3.32,48.86,2.48,5.32,53.65,2.58,4.45,49.29,2.31,3.6,44.99,2.31,3.12,50.22,2.56,2.79,48.75,2.63,2.36,53.94,2.85,1.72,44.15,2.96,N,N,N
Cassidy,6.06,47.42,2.33,4.04,55.84,2.48,4.64,50.74,2.07,5.49,48.1,2.32,6.19,45.79,2.26,7.03,46.13,2.41,7.44,48.34,2.45,8.16,45.02,2.61,10,48.5,3.13
Zenyatta,2.42,49.76,4.54,2.83,53.27,3.75,2.71,52.18,4.04,2.43,49.66,4.33,2.47,50.03,4.64,2.31,48.37,5.06,2.18,48.55,5.34,1.42,32.25,4.53,N,N,N
Reaper,3.66,56.65,2.54,3.61,60.68,2.85,4.09,57.25,2.6,3.85,56.69,2.5,3.66,57.08,2.54,3.42,55.17,2.47,3.08,53.22,2.51,3.31,59.25,2.82,33.33,90,3.44
Juno,1.7,48.2,3.54,2.82,44.75,2.76,2.6,46.69,3.15,1.83,50.25,3.47,1.52,47.13,3.84,1.31,45.54,3.9,1.2,59.81,4.19,1.12,60.48,4.12,N,N,N
