Hero,All Pick Rate,All Win Rate,All KDA,Bronze Pick Rate,Bronze Win Rate,Bronze KDA,Silver Pick Rate,Silver Win Rate,Silver KDA,Gold Pick Rate,Gold Win Rate,Gold KDA,Platinum Pick Rate,Platinum Win Rate,Platinum KDA,Diamond Pick Rate,Diamond Win Rate,Diamond KDA,Master Pick Rate,Master Win Rate,Master KDA,Grandmaster Pick Rate,Grandmaster Win Rate,Grandmaster KDA,Champion Pick Rate,Champion Win Rate,Champion KDA
Ana,5.34,48.57,3.85,3.23,51.34,3.1,3.98,48.56,3.29,5.05,48.32,3.67,6.12,48.3,3.98,6.64,48.61,4.22,6.85,48.91,4.45,6.13,49.7,4.6,7.08,75.63,6.1
Kiriko,4.35,47.73,4.03,5.09,48.88,3.24,4.9,47.46,3.56,4.44,47.46,4.01,4.08,47.66,4.36,3.87,47.91,4.59,3.79,48.34,4.73,3.58,49.48,4.86,4.07,67.61,6.46
Genji,2.81,50.99,2.17,3.42,54.16,2.25,2.52,48.48,1.95,2.61,50.71,2.14,2.91,51.52,2.23,3.11,51.76,2.27,2.98,51.11,2.33,2.3,51.92,2.43,0.97,51.72,2.65
Moira,2.25,48.85,4.5,3.7,50.04,3.76,3.37,48.65,4.06,2.46,48.39,4.54,1.76,49.06,5.1,1.25,49.3,5.53,0.85,48.8,5.71,0.5,50.49,6.06,0.49,50.37,5.77
Sojourn,2.24,45.82,2.45,2.2,48.14,2.32,2.21,45,2.24,2.1,44.86,2.35,2.12,45.63,2.52,2.42,46.75,2.66,2.98,47.31,2.77,3.51,49.24,2.95,3.22,55.65,3.23
Soldier: 76,3.23,49.49,2.53,4.13,51.91,2.51,3.75,48.48,2.38,3.42,48.58,2.48,2.97,49.69,2.61,2.66,50.78,2.73,2.35,51.78,2.88,1.98,53.1,3.02,0.93,51.22,3.16
Cassidy,4.64,48.66,2.49,3.3,52.71,2.32,3.53,48.75,2.24,4.22,48.65,2.4,5.07,48.2,2.53,5.9,48.1,2.64,6.5,48.6,2.76,6.94,50,2.93,5.69,67.63,3.85
Zenyatta,2.01,53.83,4.81,2.44,54.04,4.03,2.22,53.49,4.33,2.06,53.99,4.76,1.97,54.34,5.15,1.76,53.45,5.42,1.5,52.75,5.64,1.16,50.63,5.76,0.55,75.42,8.04
Reaper,2.02,54.23,2.48,2.57,56.27,2.63,2.44,53.31,2.42,2.2,53.74,2.45,1.84,54.46,2.5,1.55,55.14,2.55,1.22,55.83,2.59,1.06,56.85,2.72,5.56,59.88,3.1
Juno,2.1,50.59,4.06,3.52,50.44,3.26,2.78,49.48,3.56,2.06,50.4,4.1,1.71,51.51,4.63,1.58,51.72,4.93,1.57,52.06,5.1,1.63,52.72,5.15,1.48,68.71,5.22
Ashe,2.44,52,2.93,1.79,52.48,2.65,2.07,51.06,2.69,2.37,51.59,2.88,2.62,52.19,3.01,2.75,52.46,3.07,2.92,53.33,3.14,3.24,54.38,3.26,2.79,54.6,3.37
Ramattra,1.56,47.28,3.13,2.24,50.69,3.18,2.3,47.61,3.05,1.78,46.48,3.1,1.23,46.67,3.21,0.87,46.5,3.29,0.67,46.23,3.34,0.58,46.58,3.52,0.48,54.3,4.6
Mercy,2.58,49.52,3.89,3.18,46.67,2.48,2.4,47.31,2.98,2.41,49.72,3.78,2.56,50.37,4.38,2.76,50.76,4.88,2.82,50.71,5.27,3.12,53.39,6.02,6.05,72.41,6.86
Zarya,1.14,48.1,4.1,0.8,52.04,3.82,0.95,48.87,3.71,1.1,47.45,3.89,1.18,47.17,4.16,1.28,47.54,4.44,1.6,49.23,4.75,2.34,50.83,5.12,3.29,54.42,5.72
Bastion,2.2,47.71,2.61,3.02,50.84,2.57,3.01,48.1,2.51,2.42,46.89,2.57,1.83,46.85,2.72,1.48,47.38,2.83,1.19,48.19,2.93,0.97,49.62,3.14,1.46,57.75,3.65
Lúcio,0.88,50.89,2.88,1.78,52.8,2.55,1.22,50.23,2.69,0.85,50.53,2.92,0.68,50.89,3.13,0.61,51.05,3.25,0.61,50.64,3.37,0.54,51.65,3.45,0.59,77.83,6.47
Mauga,1.07,48.51,3.84,1.45,48.43,3.6,1.31,47.12,3.57,1.13,47.84,3.77,0.98,49.51,4.04,0.83,50.81,4.25,0.71,51.37,4.43,0.71,54.08,4.73,3,65.59,5.84
Hanzo,1.92,49.99,2.86,2.15,52.86,2.67,1.86,49.07,2.56,1.83,49.57,2.79,1.91,49.81,2.96,2.04,50.26,3.08,2.12,51.02,3.22,2.13,51.79,3.39,0.68,49.78,3.74
Pharah,1.15,51.36,2.51,1.23,51.22,2.56,1.28,50.65,2.49,1.18,51.25,2.47,1.1,51.63,2.49,1.05,52.16,2.56,0.98,51.98,2.66,0.79,54.03,2.87,0.76,62.02,3.65
Illari,1.27,53.34,3.44,1.5,52.48,2.77,1.39,52.29,3.04,1.26,53.15,3.4,1.18,53.88,3.67,1.15,54.33,3.84,1.29,54.57,3.97,1.52,53.9,4.02,1.17,66.26,5.39
Doomfist,2.59,51.54,3.16,1.15,54.02,2.99,1.46,51.51,2.93,2.26,52.02,3.08,3.15,51.37,3.14,3.71,50.97,3.25,3.89,51.25,3.42,4.28,52.75,3.76,3.02,55.54,4.25
Venture,0.85,52.12,2.22,0.54,55.11,2.25,0.76,52.99,2.24,0.9,51.84,2.21,0.92,51.69,2.21,0.89,51.86,2.22,0.84,50.95,2.23,0.71,52.14,2.36,0.19,20.01,1.42
Junkrat,1.36,51.83,2.43,1.78,51.82,2.31,1.71,51.05,2.29,1.45,51.78,2.42,1.23,52.31,2.54,1.05,52.64,2.61,0.8,52.53,2.64,0.44,51.41,2.58,0.07,67.55,2.44
Sigma,1.96,51.66,3.7,1.86,53.66,3.58,2.13,51.58,3.52,2.09,51.17,3.64,1.87,51.43,3.79,1.75,51.88,3.92,1.78,52.44,4.06,2.24,53.79,4.3,3.53,55.97,4.98
Brigitte,0.91,49.38,3.6,0.87,50.92,2.78,0.94,49.87,3.11,0.93,48.82,3.45,0.9,49.08,3.86,0.87,49.49,4.22,0.87,49.73,4.45,0.81,49.72,4.65,0.41,79.57,6.95
Widowmaker,1.23,47.03,2.38,1.61,48.49,2.52,1.19,44.8,2.22,1.13,46.25,2.33,1.15,47.62,2.39,1.3,48.31,2.45,1.51,48.71,2.54,1.98,50.4,2.78,1.94,57.42,3.64
Lifeweaver,1.09,47.52,4.15,1.21,48.84,3.06,1.23,47.62,3.61,1.21,47.94,4.2,1.08,47.16,4.56,0.86,46.63,4.82,0.65,46.15,4.99,0.44,45.9,4.99,0.17,36.16,4.17
Sombra,1.12,48.7,3.12,0.91,49.04,2.68,1.04,48.31,2.85,1.09,48.59,3.09,1.17,48.84,3.26,1.24,49.16,3.31,1.21,48.37,3.31,1,48.6,3.43,0.33,37.8,2.8
D.VA,1.46,49.54,5.46,2.18,49.05,4.78,1.67,47.05,4.77,1.4,49.32,5.39,1.29,51.1,5.94,1.28,51.62,6.3,1.43,51.53,6.6,1.87,52.32,7.03,3.24,58.66,8.77
Torbjörn,0.64,56.5,2.65,0.81,59.67,2.77,0.83,57.46,2.63,0.71,56.47,2.63,0.56,55.79,2.69,0.47,54.79,2.65,0.4,52.32,2.62,0.3,50.78,2.54,0.07,76.23,3.71
Tracer,0.99,49.57,2.15,0.86,49.22,1.98,0.72,47.64,1.95,0.79,49.19,2.1,1.02,50.11,2.19,1.36,50.34,2.23,1.7,50.41,2.31,2.14,51.43,2.42,1.45,57.26,3.11
