Hero,All Pick Rate,All Win Rate,All KDA,Bronze Pick Rate,Bronze Win Rate,Bronze KDA,Silver Pick Rate,Silver Win Rate,Silver KDA,Gold Pick Rate,Gold Win Rate,Gold KDA,Platinum Pick Rate,Platinum Win Rate,Platinum KDA,Diamond Pick Rate,Diamond Win Rate,Diamond KDA,Master Pick Rate,Master Win Rate,Master KDA,Grandmaster Pick Rate,Grandmaster Win Rate,Grandmaster KDA,Champion Pick Rate,Champion Win Rate,Champion KDA
Ana,8.01,50.45,3.96,4.16,50.65,3.06,6.18,50.53,3.32,7.15,50.37,3.62,8.66,50.38,4.04,10.54,50.45,4.47,11.43,50.65,4.82,9.47,51.82,5,5.09,75.8,5.71
Kiriko,6.28,48.96,3.93,6.13,50.9,3.39,6.66,48.44,3.41,6.32,48.54,3.72,6.19,48.96,4.14,6.19,49.3,4.54,6.05,49.78,4.79,5.13,50.75,4.9,2.05,75.42,6.54
Genji,5.52,53.24,2.33,6.63,61.08,2.97,4.94,50.03,2.1,5.24,52.19,2.25,5.73,53.38,2.34,5.87,54.03,2.41,5.58,54.1,2.51,4.7,54.03,2.62,2.45,65.44,2.66
Moira,3.24,49.22,4.45,4.01,51.61,3.95,4.25,49.39,4,3.72,49.05,4.31,2.98,48.87,4.79,2.27,48.63,5.36,1.46,48.32,5.67,0.68,50.08,6.15,0.64,66.69,8.32
Sojourn,3.41,46.03,2.43,3.72,48.29,2.45,3.7,44.95,2.21,3.4,45.36,2.33,3.19,45.67,2.46,3.28,47.16,2.65,3.7,48.26,2.85,4.45,51.37,3.12,8.73,65.19,3.91
Soldier: 76,4.23,49.93,2.59,6.19,55.13,2.94,4.71,48.21,2.36,4.41,49.26,2.51,4.07,49.59,2.63,3.54,50.49,2.76,2.95,51.51,2.94,2.25,53.24,3.15,1.14,46.64,3.64
Cassidy,5.56,49.81,2.53,4.29,51.67,2.37,4.45,49.24,2.24,4.94,50.23,2.42,5.85,50.02,2.57,6.85,49.14,2.69,7.77,49.03,2.81,8.4,49.39,2.99,20.36,77.55,4.34
Zenyatta,3.42,52.52,4.52,2.3,50.41,3.68,3.43,52.63,3.99,3.47,53.1,4.3,3.56,52.91,4.73,3.62,51.91,5.16,3.28,50.18,5.4,2.39,49.32,5.65,0.91,77.46,6.58
Reaper,2.16,54.07,2.47,4.31,64.84,3.55,2.72,51.61,2.31,2.38,52.73,2.38,1.91,52.91,2.39,1.35,53.12,2.4,0.83,53.75,2.4,0.56,56.44,2.6,0.23,97.77,3.25
Juno,4.38,50.15,3.77,5.47,52.6,3.47,5.24,49.31,3.25,4.54,49.75,3.58,4.04,50.12,4.02,3.76,50.69,4.55,3.57,51.14,4.94,3.04,53.42,5.24,3,85.46,4.96
Ashe,2.7,51.47,2.79,1.52,44.23,2.21,2.25,50.57,2.57,2.59,51.6,2.72,2.91,52.14,2.87,3.16,51.94,2.94,3.31,52.1,3.01,3.44,53.53,3.2,2.5,59.02,3.62
Ramattra,2.43,50.33,3.49,2.63,53.87,3.71,2.95,49.89,3.32,2.92,49.72,3.43,2.27,50.11,3.55,1.65,51.14,3.68,1.25,52.65,3.87,1.16,52.64,4.07,0.36,89.66,6.95
Mercy,2.56,49.86,3.47,3.87,49.8,2.61,2.44,45.73,2.54,2.09,48.44,3.04,2.39,50.96,3.8,2.98,51.91,4.57,3.46,52.92,5.22,3.67,55.72,5.9,8.18,76.58,6.73
Zarya,1.91,51.18,4.2,1.34,55.49,4.19,1.62,51.95,3.88,1.93,51.23,4.03,2,50.29,4.23,1.97,50.33,4.48,2.31,51.43,4.77,3.38,53.93,5.18,0.82,56.42,5.35
Bastion,1.37,45.13,2.31,1.4,43.25,2.09,1.97,46.38,2.26,1.69,45.31,2.31,1.21,44.32,2.36,0.81,43.79,2.45,0.55,45.5,2.6,0.32,49.36,2.79,0.32,98.93,3.56
Lúcio,1.37,51.72,2.93,2.63,55.32,2.99,1.92,50.81,2.68,1.46,51.01,2.85,1.09,51.62,3.09,0.9,52.42,3.37,0.76,51.47,3.57,0.6,54.53,3.62,0.27,94.6,2.86
Mauga,1.55,48.5,3.77,2.18,51.3,4.04,1.79,46.61,3.46,1.68,47.69,3.67,1.46,49.09,3.87,1.18,49.67,4.04,0.98,50.94,4.25,1.24,54.82,4.84,0.68,55.88,5.58
Hanzo,1.61,48.48,2.62,2.15,45.74,2.15,1.79,46.71,2.32,1.55,48.4,2.52,1.52,49.24,2.76,1.56,50.26,2.95,1.6,50.55,3.11,1.29,50.78,3.17,0.73,61.97,3.91
Pharah,1.7,50.3,2.51,2.42,53.74,2.83,2.03,48.3,2.38,1.78,49.58,2.45,1.55,50.72,2.5,1.34,51.52,2.59,1.31,52.46,2.8,1.42,55.48,3.11,2.45,61.83,3.72
Illari,1.6,52.51,3.11,2.15,55.39,3.03,1.84,51.35,2.7,1.69,52.11,2.95,1.5,52.82,3.27,1.34,52.95,3.58,1.22,52.54,3.77,1.07,52.54,3.93,0.14,100,6
Doomfist,3.1,52.82,3.22,0.78,47.64,2.74,1.78,52.34,3.07,2.73,52.88,3.16,3.67,53.1,3.22,4.26,52.93,3.25,4.74,52.33,3.4,5.49,54.55,3.82,1.82,63.21,5.06
Venture,1.35,54.25,2.34,1.08,54.52,2.45,1.3,53.69,2.29,1.45,53.88,2.33,1.46,54.47,2.35,1.28,54.75,2.36,1.05,55.51,2.42,0.72,56.77,2.47,0.64,82.76,2.87
Junkrat,1.34,49.34,2.25,1.82,43.87,1.88,1.88,48.57,2.11,1.5,49.77,2.24,1.18,50.4,2.39,0.91,51.44,2.51,0.6,50.78,2.56,0.32,51.59,2.41,0.14,64.43,1.69
Sigma,1.9,51.24,3.82,1.06,47.7,3.34,1.9,51.11,3.62,2.16,51.01,3.75,1.99,51.56,3.93,1.7,51.92,4.06,1.52,52.17,4.2,1.72,54.48,4.46,0.59,23.89,4.43
Brigitte,2.28,51.77,3.75,1.06,50.58,2.92,1.99,52.76,3.22,2.29,52.06,3.47,2.44,51.48,3.86,2.58,51.26,4.34,2.66,51.59,4.71,2.21,50.96,4.97,1.59,88.64,7.97
Widowmaker,1.47,48.88,2.29,2.83,60.08,3.42,1.45,43.82,1.98,1.29,46.49,2.13,1.3,48.33,2.21,1.46,49.15,2.25,1.79,48.93,2.32,2.43,49.07,2.5,4.18,58.19,3.02
Lifeweaver,1.91,49.33,4.08,1.9,50.89,3.36,2.07,49.26,3.55,2.07,49.6,3.92,1.97,49.42,4.37,1.61,48.35,4.8,1.21,47.62,5.1,0.73,48.51,5.19,1,77.02,7.81
Sombra,2.08,50.55,3.28,0.98,44.69,2.58,1.82,50.12,3.07,2.09,51.03,3.25,2.27,50.78,3.36,2.37,50.74,3.42,2.2,50.4,3.48,1.89,49.96,3.64,1,65.13,4.51
D.VA,1.51,48.79,5.2,2.43,49.9,5.02,1.81,46.62,4.58,1.53,47.89,5.02,1.32,50.02,5.52,1.23,50.92,5.91,1.34,50.58,6.34,1.84,51.95,6.9,0.36,42.17,5.57
Torbjörn,1,54.62,2.54,1.43,56.03,2.78,1.27,54.99,2.44,1.1,55.22,2.51,0.89,54.02,2.56,0.71,53.35,2.61,0.59,51.41,2.6,0.44,50.81,2.59,0.18,2.18,1.92
Tracer,1.46,51.2,2.24,2.03,59.56,2.85,1.19,47.64,1.96,1.2,50.04,2.14,1.38,51.06,2.23,1.74,51.28,2.29,2.33,51.92,2.39,3.09,53.62,2.65,4.64,83.32,4.15
Orisa,1.77,46.92,3.6,1.85,48.68,3.52,1.97,46.73,3.34,1.96,46.61,3.5,1.73,46.32,3.69,1.43,47.43,3.9,1.25,49.17,4.24,1.75,54.31,4.81,0.82,79.01,6.24
Hazard,1.37,49.86,3.41,0.98,53.82,3.57,1.13,49.11,3.19,1.37,49.35,3.3,1.47,49.58,3.41,1.45,50.5,3.55,1.5,50.79,3.76,2.16,51.7,4.11,1.41,51.16,5.49
Winston,1.49,50.95,3.33,1.17,54.64,3.31,1.12,49.44,3,1.38,50.2,3.19,1.62,50.67,3.35,1.75,51.8,3.53,1.97,52.53,3.85,2.39,53.69,4.27,0.59,70.27,5.5
Reinhardt,0.97,51.33,2.43,1.45,53.6,2.46,1.08,49.05,2.2,1.02,50.81,2.36,0.93,51.73,2.52,0.78,52.88,2.64,0.64,53.88,2.76,0.59,53.4,2.8,N,N,N
Junker Queen,0.95,52.64,4.32,0.83,56.24,4.42,0.9,51.87,4,1.05,52.67,4.24,1.02,52.69,4.43,0.84,52.45,4.53,0.7,51.37,4.66,0.69,51.51,4.72,0.23,14.71,3.29
Baptiste,1.48,48.33,3.57,0.98,46.72,2.82,1.49,48.49,3.11,1.55,48.46,3.37,1.54,48.35,3.74,1.47,48.11,4.16,1.3,48.29,4.47,1.03,51.24,4.86,0.14,100,16
Mei,1.08,55.02,3.26,0.68,47.64,2.77,1.07,54.86,3.24,1.17,55.54,3.31,1.16,55.5,3.3,1.04,55.21,3.25,0.79,54.33,3.19,0.62,54.37,3.32,0.09,99.07,4.5
Roadhog,1.07,45.33,3.74,0.98,42.18,2.96,1.07,44.52,3.37,1.1,46.03,3.72,1.11,45.93,3.96,1.05,45.25,4.07,0.93,44.24,4.06,1.01,45.41,4.16,0.05,0,3.5
Echo,0.64,49.05,2.14,0.54,43.05,1.8,0.74,48.35,2.01,0.7,48.9,2.1,0.62,49.77,2.21,0.55,50.48,2.33,0.5,51.69,2.48,0.53,53.69,2.7,0.36,39.4,3.14
Symmetra,0.77,58.19,3.01,0.49,49.77,2.87,0.69,58.11,3.24,0.71,59.52,3.24,0.74,58.34,3.05,0.87,57.83,2.69,1.25,57.04,2.01,1.89,57.76,1.72,2.45,17.13,0.75
Wrecking Ball,0.48,52.66,4.13,0.21,45.53,2.97,0.35,51.73,3.69,0.44,53.02,3.96,0.52,53.21,4.22,0.61,52.91,4.42,0.69,52.38,4.65,0.77,54.15,5.02,0.18,34.71,8.75
Freja,3.54,49.19,2.32,2.93,52.33,2.48,3.01,47.91,2.08,3.2,49.19,2.22,3.57,49.09,2.32,4.15,49.24,2.45,5.09,49.34,2.59,7.02,51.29,2.84,16.5,62.61,3.89
AnaC,7.64,50.23,3.87,6.25,50.09,3.31,6.84,50.04,3.54,7.5,50.29,3.85,8.61,50.36,4.14,9.34,50.19,4.26,8.88,48.26,4.12,11.76,48.36,4.04,N,N,N
KirikoC,6.8,48.35,4.01,7.77,48.45,3.53,6.98,48.46,3.78,6.62,48.39,4.05,6.7,48.32,4.28,6.84,47.67,4.3,6.24,45.4,4.01,7.88,44.52,3.99,N,N,N
GenjiC,5.45,51.23,2.34,4.73,50.98,2.32,4.73,51.33,2.34,5.44,51.42,2.35,6.2,51.09,2.34,6.16,50.48,2.32,5.12,47.89,2.32,4.37,51.29,2.31,N,N,N
MoiraC,3.18,47.3,4.63,4.07,48.24,4.17,3.76,47.93,4.46,3.29,47.42,4.72,2.6,46,4.93,1.49,42.44,4.69,0.63,34.58,3.74,0.41,42.69,2.24,N,N,N
SojournC,3.97,45.6,2.5,4.22,44.85,2.32,3.97,44.45,2.4,3.77,45.31,2.49,4.01,46.75,2.6,5.01,48.32,2.69,6.3,46.5,2.65,3.39,68.07,3.19,N,N,N
Soldier: 76C,5.15,49.24,2.64,5.03,49.19,2.57,5.54,49.23,2.63,5.46,49.24,2.66,4.7,49.4,2.67,3.38,48.56,2.61,1.89,44.16,2.45,0.37,63.56,4.78,N,N,N
CassidyC,6.21,49.46,2.55,4.29,50.05,2.41,5,50.15,2.5,6.14,49.64,2.56,7.45,48.99,2.58,8.49,48.37,2.56,8.82,46.93,2.53,7.47,62.11,2.96,N,N,N
ZenyattaC,3.36,50.17,4.61,3.35,51.2,4.1,3.18,50.59,4.31,3.23,50.45,4.62,3.63,49.52,4.91,4.06,48.67,5.01,4.06,46.43,4.8,2.45,39.2,4.03,N,N,N
ReaperC,2.68,49.7,2.32,2.89,51.28,2.43,3.12,50.35,2.39,2.89,49.52,2.31,2.17,48.63,2.21,1.26,47.61,2.1,0.53,42.92,2,0.04,0,1,N,N,N
JunoC,3.86,49.77,3.88,5.32,49.78,3.43,4.29,49.69,3.67,3.67,49.79,3.93,3.51,49.87,4.18,3.53,49.87,4.29,3.79,46.65,4.13,8.33,54.35,4.29,N,N,N
AsheC,2.85,51.1,2.83,2.49,50.93,2.69,2.5,51.17,2.79,2.84,51.25,2.85,3.21,51.03,2.86,3.28,50.54,2.76,2.73,46.75,2.53,1.84,48.12,2.34,N,N,N
RamattraC,2.84,50.08,3.54,2.89,50.66,3.45,3.24,50.38,3.53,3.04,49.93,3.55,2.36,49.79,3.57,1.62,49.87,3.6,1.19,45.39,3.4,0.57,31.69,3.21,N,N,N
MercyC,2,50.55,3.57,2.44,48.21,2.89,1.98,49.16,3.15,1.88,50.62,3.55,2.08,51.96,4.09,2.3,52.71,4.6,1.93,49.98,4.5,5.96,63.7,4.1,N,N,N
ZaryaC,0.59,52.85,4.28,0.34,55.09,3.97,0.44,53.76,4.04,0.58,52.56,4.22,0.73,52.47,4.47,0.97,53.11,4.63,1.41,49.47,4.43,3.31,65.06,5.2,N,N,N
BastionC,1.64,43.92,2.4,2.26,44.44,2.31,2.06,43.92,2.37,1.68,43.81,2.43,1.23,44.04,2.45,0.81,43.31,2.38,0.52,29.22,1.94,0.37,34.15,2.21,N,N,N
LúcioC,1.26,47.55,2.75,1.87,47.48,2.66,1.54,48.23,2.77,1.18,47.72,2.8,1.02,46.14,2.66,1,43.98,2.4,1.12,41,2.32,0.9,10.98,1.4,N,N,N
MaugaC,1.58,47.21,3.8,1.64,47.45,3.64,1.74,47.43,3.74,1.67,47.24,3.82,1.38,46.97,3.87,1,45.89,3.91,0.77,41.83,3.94,0.57,21.96,2.41,N,N,N
HanzoC,1.23,46.48,2.7,1.41,46.45,2.54,1.18,46.16,2.6,1.16,46.54,2.72,1.32,46.78,2.81,1.34,46.27,2.78,1.29,45.57,2.87,1.1,38.95,2.04,N,N,N
