Hero,All Pick Rate,All Win Rate,All KDA,Bronze Pick Rate,Bronze Win Rate,Bronze KDA,Silver Pick Rate,Silver Win Rate,Silver KDA,Gold Pick Rate,Gold Win Rate,Gold KDA,Platinum Pick Rate,Platinum Win Rate,Platinum KDA,Diamond Pick Rate,Diamond Win Rate,Diamond KDA,Master Pick Rate,Master Win Rate,Master KDA,Grandmaster Pick Rate,Grandmaster Win Rate,Grandmaster KDA,Champion Pick Rate,Champion Win Rate,Champion KDA
Ana,7.36,49.93,3.94,4.2,51.94,3.1,5.94,50.25,3.33,6.79,49.89,3.65,7.87,49.75,4.03,9.03,49.8,4.41,9.32,49.75,4.67,8.25,50.78,4.87,6.19,70.92,5.39
Kiriko,6.04,48.88,3.98,6.25,52.2,3.41,6.58,48.72,3.47,6.1,48.49,3.79,5.86,48.64,4.18,5.82,49,4.51,5.77,48.99,4.67,5.3,50.38,4.88,2.06,56.76,5.26
Genji,5.61,52.37,2.32,6.43,62.68,2.93,4.99,50.54,2.13,5.32,51.44,2.24,5.82,52.07,2.31,6.06,52.29,2.38,5.8,52.23,2.47,5.06,52.75,2.66,3.5,64.67,2.92
Moira,3.83,50.2,4.79,4.57,52.66,4,4.75,50,4.17,4.23,49.8,4.57,3.64,50.18,5.13,3.05,50.37,5.72,2.38,50.22,6.11,1.61,49.91,6.48,2.03,82.64,9.2
Sojourn,2.88,45.65,2.43,3.18,52.52,2.55,3.09,45.47,2.22,2.87,44.42,2.3,2.7,44.9,2.45,2.77,45.82,2.62,3.16,47.1,2.81,3.6,48.73,3.07,4.88,61.22,3.74
Soldier: 76,3.79,49.24,2.56,5.63,57.53,2.96,4.26,48.4,2.36,3.97,48.03,2.46,3.63,48.36,2.58,3.21,49.3,2.73,2.72,49.94,2.91,2.22,52.51,3.16,0.96,51.74,3.21
Cassidy,6.21,48.98,2.48,4.5,55.51,2.44,5,49.66,2.22,5.58,49.23,2.37,6.49,48.55,2.51,7.48,47.92,2.63,8.4,47.99,2.76,9.26,49.08,2.96,11.94,67.54,3.68
Zenyatta,3.37,52.27,4.5,2.64,53.3,3.83,3.55,52.42,3.99,3.47,52.67,4.3,3.46,52.5,4.7,3.31,51.54,5.09,2.95,49.84,5.32,2.26,48.07,5.45,0.97,67.02,6.66
Reaper,2.64,55.88,2.56,4.38,65.75,3.47,3.11,54.34,2.45,2.9,54.67,2.48,2.52,55.14,2.51,1.96,55.78,2.55,1.38,56.48,2.62,1.08,57.6,2.83,1.01,63.61,3.27
Juno,2.84,49.57,3.72,4.31,53.06,3.31,3.67,48.79,3.24,2.97,49.05,3.58,2.5,49.59,4,2.26,49.76,4.41,2.21,50.09,4.58,2.09,50.85,4.79,2.46,87.74,9.6
Ashe,2.29,51.12,2.77,1.22,52.06,2.49,1.88,51.14,2.56,2.18,51.14,2.69,2.47,51.03,2.81,2.67,50.89,2.88,2.8,51.28,2.95,2.68,52.85,3.15,1.43,52.87,3.15
Ramattra,1.95,50.6,3.49,2.34,56.39,3.78,2.41,50.47,3.32,2.29,49.78,3.42,1.83,49.88,3.52,1.4,51.08,3.65,1.11,52.31,3.81,1.09,54.58,4.2,0.51,62.8,4.03
Mercy,2.17,49.17,3.45,3.63,49.55,2.56,2.24,45.97,2.6,1.91,48.19,3.13,1.99,49.8,3.79,2.25,50.77,4.44,2.52,52.06,5.04,2.78,54.33,5.63,7.87,83.28,8.68
Zarya,1.46,47.72,3.91,1.08,56.81,4.21,1.23,49.71,3.67,1.46,47.89,3.77,1.55,46.22,3.91,1.52,45.97,4.09,1.67,47.2,4.37,2.06,48.31,4.71,1.74,57.38,5.19
Bastion,1.44,47.32,2.52,1.52,50.89,2.49,2.12,48.33,2.45,1.77,46.69,2.48,1.26,46.15,2.57,0.89,46.95,2.73,0.63,49.12,2.92,0.43,49.12,3.07,0.15,94.99,4.82
