Hero,All Pick Rate,All Win Rate,All KDA,Bronze Pick Rate,Bronze Win Rate,Bronze KDA,Silver Pick Rate,Silver Win Rate,Silver KDA,Gold Pick Rate,Gold Win Rate,Gold KDA,Platinum Pick Rate,Platinum Win Rate,Platinum KDA,Diamond Pick Rate,Diamond Win Rate,Diamond KDA,Master Pick Rate,Master Win Rate,Master KDA,Grandmaster Pick Rate,Grandmaster Win Rate,Grandmaster KDA,Champion Pick Rate,Champion Win Rate,Champion KDA
Ana,8.04,50.49,3.97,4.14,50.52,3.05,6.19,50.49,3.33,7.18,50.41,3.63,8.71,50.42,4.06,10.58,50.53,4.48,11.44,50.73,4.82,9.5,51.76,4.98,6.8,80.42,6.58
Kiriko,6.25,48.96,3.94,6.04,50.91,3.39,6.65,48.41,3.41,6.29,48.56,3.74,6.16,48.96,4.15,6.17,49.32,4.54,6.02,49.73,4.77,5.14,50.67,4.87,1.98,68.46,5.62
Genji,5.66,53.39,2.35,6.75,61.38,3,5.04,50.02,2.11,5.37,52.36,2.26,5.9,53.56,2.35,6.04,54.14,2.43,5.73,54.07,2.51,4.82,54.17,2.65,1.9,63.26,2.6
Moira,3.23,49.14,4.45,4.01,51.53,3.94,4.26,49.25,3.99,3.7,48.96,4.3,2.96,48.82,4.79,2.26,48.62,5.37,1.47,48.21,5.64,0.68,50.08,6.1,0.66,79.01,10.13
Sojourn,3.36,46.07,2.43,3.66,48.41,2.45,3.65,44.95,2.2,3.35,45.35,2.32,3.13,45.74,2.47,3.22,47.2,2.65,3.62,48.31,2.84,4.33,51.23,3.13,9.07,62.25,3.69
Soldier: 76,4.2,49.91,2.59,6.17,55.2,2.94,4.66,48.11,2.36,4.37,49.22,2.51,4.05,49.59,2.62,3.51,50.44,2.75,2.93,51.45,2.93,2.28,53.08,3.16,1.08,54.19,3.62
Cassidy,5.71,49.87,2.53,4.38,51.81,2.37,4.57,49.18,2.24,5.09,50.26,2.42,6.01,50.02,2.57,7.01,49.31,2.69,7.94,49.21,2.82,8.62,49.71,2.99,17.45,75.15,4.26
Zenyatta,3.4,52.42,4.52,2.29,50.38,3.68,3.42,52.53,3.99,3.44,52.99,4.3,3.54,52.9,4.74,3.59,51.79,5.16,3.24,49.99,5.37,2.38,48.49,5.57,0.95,84.8,8.36
Reaper,2.12,54.03,2.46,4.33,65.15,3.58,2.68,51.44,2.3,2.34,52.62,2.36,1.86,52.72,2.37,1.31,52.76,2.38,0.79,53.53,2.39,0.55,56.04,2.59,1.16,61.8,3.14
Juno,4.19,50.1,3.76,5.32,52.43,3.44,5.07,49.17,3.24,4.35,49.71,3.57,3.83,50.09,4.02,3.57,50.73,4.54,3.43,51.28,4.91,2.95,53.39,5.18,2.95,86.48,6.8
Ashe,2.67,51.52,2.79,1.48,44.18,2.2,2.23,50.48,2.56,2.57,51.69,2.72,2.89,52.17,2.87,3.13,52.06,2.94,3.29,52.2,3.02,3.33,53.56,3.2,2.56,55.52,3.48
Ramattra,2.35,50.17,3.48,2.59,54.04,3.73,2.89,49.63,3.31,2.84,49.55,3.42,2.2,49.92,3.53,1.58,51.02,3.67,1.19,52.39,3.85,1.07,52.6,4.09,0.63,85.06,7.04
Mercy,2.63,49.91,3.49,3.88,49.66,2.6,2.52,45.9,2.56,2.17,48.57,3.07,2.46,50.93,3.82,3.05,51.99,4.59,3.56,53,5.23,3.77,55.54,5.85,7.7,75.22,6.96
