Hero,All Pick Rate,All Win Rate,All KDA,Bronze Pick Rate,Bronze Win Rate,Bronze KDA,Silver Pick Rate,Silver Win Rate,Silver KDA,Gold Pick Rate,Gold Win Rate,Gold KDA,Platinum Pick Rate,Platinum Win Rate,Platinum KDA,Diamond Pick Rate,Diamond Win Rate,Diamond KDA,Master Pick Rate,Master Win Rate,Master KDA,Grandmaster Pick Rate,Grandmaster Win Rate,Grandmaster KDA,Champion Pick Rate,Champion Win Rate,Champion KDA
Ana,6.78,49.19,3.82,3.9,51.44,3.05,5.11,49.43,3.33,6.78,49.07,3.74,8.33,48.82,4.02,9.13,48.88,4.2,9.02,49.08,4.34,8.11,50.06,4.54,9.49,70.31,5.62
Kiriko,6.69,49.7,4.07,7.42,49.97,3.3,7.28,49.21,3.66,6.57,49.58,4.16,6.31,49.93,4.54,6.16,50.1,4.71,5.94,50.58,4.8,5.44,51.32,5.01,5.16,59.9,5.56
Genji,4.02,51.52,2.15,4.2,55.87,2.4,3.54,49.53,1.95,3.92,51.37,2.12,4.42,51.71,2.19,4.46,51.25,2.22,4.18,50.97,2.29,3.14,51.33,2.44,1.95,65.01,2.96
Moira,3.16,49.59,4.29,5.07,50.46,3.73,4.37,49.3,4.01,3.12,49.33,4.45,2.26,49.88,5,1.7,49.39,5.3,1.12,48.74,5.48,0.59,49.13,5.76,0.34,72.08,7.91
Sojourn,1.93,45.51,2.35,1.72,48.77,2.29,1.81,45.32,2.18,1.85,44.57,2.28,1.92,44.56,2.4,2.15,45.57,2.53,2.73,46.89,2.67,3.45,48.03,2.88,2.7,57.03,3.68
Soldier: 76,3.17,49.91,2.45,3.81,53.09,2.59,3.65,49.06,2.33,3.34,49,2.4,2.77,49.76,2.49,2.4,50.49,2.6,2.22,51.12,2.71,1.78,52.23,2.81,1.66,57.87,3.29
Cassidy,4.57,48.52,2.38,3.13,53.62,2.38,3.6,48.87,2.18,4.45,48.22,2.32,5.23,47.54,2.41,5.9,47.56,2.52,6.7,48.02,2.62,7.24,49.97,2.81,5.34,54.54,3.13
Zenyatta,2.51,53.62,4.67,2.69,53.64,3.96,2.49,53.92,4.26,2.51,54.1,4.72,2.63,53.65,5.08,2.49,52.76,5.28,2.1,50.99,5.39,1.38,48.84,5.37,0.63,55.85,6.64
Reaper,2.94,54.68,2.45,3.46,56.9,2.73,3.4,53.86,2.39,3.08,54.13,2.4,2.6,54.81,2.43,2.27,55.29,2.48,2.01,55.24,2.51,2,58.11,2.76,1.3,58.69,2.72
Juno,1.88,50.62,3.81,2.77,50.77,3.19,2.21,49.77,3.46,1.72,50.95,4,1.58,51.09,4.42,1.53,51.24,4.49,1.49,50.97,4.41,1.65,51.6,4.74,3.12,60.94,5.28
Ashe,1.96,51.16,2.74,1.44,52.23,2.57,1.7,50.77,2.56,2.04,50.82,2.72,2.18,50.91,2.82,2.19,51.51,2.88,2.33,52.45,2.95,2.54,54.05,3.12,1.72,61.83,3.81
Ramattra,2.02,49.22,3.22,2.76,51.92,3.3,2.78,49.04,3.15,2.16,48.27,3.19,1.46,48.73,3.29,1.06,48.68,3.36,0.82,49.29,3.45,0.75,49.6,3.6,0.96,56.5,4.56
Mercy,2.57,49.06,3.56,3.17,46.09,2.4,2.33,47.25,2.86,2.36,49.92,3.67,2.64,50.12,4.24,2.77,50.08,4.61,2.87,51.4,5.06,2.96,53.58,5.55,5.39,70.97,6.78
Zarya,1.29,50.25,4.24,0.83,53.62,3.98,1.07,50.57,3.88,1.31,49.32,4.07,1.41,49.28,4.35,1.52,50.16,4.64,1.91,51.2,4.93,2.74,54.06,5.35,3.78,55.12,5.81
Bastion,1.96,48.03,2.54,2.81,51,2.61,2.67,48.06,2.46,2.01,46.73,2.51,1.42,47.04,2.62,1.11,47.29,2.69,0.98,47.02,2.78,0.85,50.91,3,0.58,55.09,2.75
Lúcio,0.99,51.34,2.74,1.82,54.41,2.44,1.16,50.52,2.59,0.84,50.75,2.84,0.75,50.29,3.03,0.76,50.16,3.15,0.77,47.96,3.22,0.69,49.01,3.46,0.28,91.56,5.14
Mauga,1.47,48.67,3.89,1.66,49.55,3.83,1.56,47.12,3.65,1.44,48.08,3.83,1.4,49.71,4.04,1.35,50.06,4.21,1.32,51.12,4.36,1.5,52.79,4.71,6.53,66.56,6.25
Hanzo,1.81,49.4,2.73,2.15,52.98,2.71,1.79,48.15,2.43,1.73,48.86,2.7,1.77,49.12,2.87,1.77,49.4,3,1.98,49.98,3.12,1.77,51.74,3.34,0.76,47.28,4.06
Pharah,1.31,52.42,2.6,1.21,52.71,2.67,1.29,51.2,2.51,1.3,52.31,2.52,1.29,52.67,2.58,1.36,53.59,2.7,1.48,54.05,2.88,1.53,54.83,3.14,1.3,51.9,2.91
Illari,1.62,51.84,3.21,1.62,51.77,2.68,1.58,51.49,2.91,1.53,51.97,3.24,1.59,52.17,3.46,1.75,52.19,3.54,1.89,50.97,3.57,2.16,51.39,3.68,1.63,59.26,3.99
Doomfist,2.77,51.6,3.13,1.4,54.56,3.15,1.9,51.52,2.99,2.72,51.95,3.07,3.57,51.33,3.11,3.98,50.98,3.21,3.86,50.83,3.35,4.13,52.16,3.63,3.67,56.43,4.17
Venture,0.72,52.96,2.17,0.44,55.37,2.29,0.64,53.8,2.2,0.82,52.88,2.16,0.82,51.99,2.12,0.77,52.3,2.13,0.69,51.36,2.13,0.59,54.01,2.27,0.15,47.28,2.27
Junkrat,1.18,51.71,2.32,1.54,52.77,2.31,1.44,51.07,2.21,1.22,51.47,2.32,1.01,52.02,2.42,0.82,52.71,2.48,0.61,51.31,2.53,0.4,52.22,2.49,0.38,48.29,1.86
Sigma,2.5,52.92,3.74,2.32,54.03,3.61,2.64,52.37,3.56,2.66,52.88,3.73,2.41,52.82,3.88,2.21,53.03,3.97,2.23,53.38,4.08,2.64,55.77,4.4,3.37,54.26,4.73
Brigitte,1.3,52.2,3.67,1.09,51.55,2.83,1.21,52.63,3.21,1.3,52.1,3.6,1.38,52.08,4.02,1.44,52.11,4.32,1.44,52.41,4.59,1.26,52.88,4.8,0.73,58.51,4.51
Widowmaker,1.36,47.23,2.39,1.59,50.1,2.72,1.27,44.89,2.22,1.26,46.8,2.33,1.32,47.39,2.36,1.42,47.84,2.41,1.77,48.83,2.55,2.32,50,2.78,3.57,58.95,3.56
Lifeweaver,2.02,50.69,4.34,1.78,49.44,3.21,2.07,50.77,3.86,2.22,51.16,4.46,2.13,50.86,4.88,1.83,50.35,5.06,1.42,49.14,5.12,0.89,48.83,5.3,0.39,80.05,5.51
Sombra,0.96,48.03,2.88,0.83,49.23,2.68,0.93,48.74,2.75,0.98,48.26,2.91,1.02,47.27,2.99,1,46.83,3.01,0.96,46.82,3.05,0.71,46.72,3.04,0.45,63,3.23
D.VA,1.5,48.2,5.13,2.04,49.72,4.97,1.63,46.23,4.6,1.39,47.67,5.09,1.3,49.54,5.59,1.32,49.93,5.88,1.43,48.92,6.12,1.85,51.81,6.54,3.22,50.42,7.33
Torbjörn,0.57,56.31,2.56,0.68,60.19,2.77,0.67,57,2.51,0.61,56.07,2.54,0.49,55.2,2.56,0.42,53.26,2.5,0.38,51.25,2.5,0.28,50.4,2.42,0.12,36.04,2.61
Tracer,1.41,49.86,2.11,0.99,52.11,2.14,0.96,48.3,1.91,1.19,50.15,2.08,1.62,49.7,2.13,2.16,49.76,2.18,2.78,49.91,2.25,3.46,52.63,2.48,3.11,62.7,3.18
Orisa,1.52,46.15,3.38,1.89,48.75,3.3,1.85,46.26,3.24,1.59,44.89,3.35,1.25,45.13,3.54,1.06,46.4,3.75,0.96,47.91,3.96,1.09,49.72,4.22,1.25,48.16,4.44
Hazard,0.91,52.79,3.68,0.51,53.93,3.41,0.69,52.08,3.4,0.91,51.95,3.54,1.05,52.47,3.72,1.17,53.45,3.93,1.42,54.8,4.22,2.03,57.39,4.54,3.32,63.58,5.51
Winston,1.42,51.6,3.54,0.91,52.08,3.16,1.14,51.17,3.25,1.48,51.37,3.46,1.65,51.8,3.66,1.72,51.72,3.87,1.76,52.06,4.04,1.97,53.36,4.51,2.22,54.51,5.83
Reinhardt,1.26,50.88,2.35,1.4,51.8,2.22,1.43,51.03,2.27,1.37,51.28,2.39,1.16,50.08,2.4,0.96,49.73,2.47,0.77,50.11,2.54,0.63,49.2,2.58,1.63,46.45,2.44
Junker Queen,0.6,52.38,4.21,0.54,50.92,3.89,0.61,52.09,3.95,0.65,52.32,4.19,0.61,52.53,4.39,0.54,53.52,4.54,0.49,53.5,4.68,0.52,57.8,5.04,0.51,64.37,6.05
Baptiste,1.3,47.19,3.49,1.31,46.11,2.76,1.24,47.28,3.08,1.28,47.27,3.5,1.35,47.45,3.83,1.37,47.13,4.06,1.31,47.77,4.23,1.08,46.3,4.41,0.47,62.1,5.64
Mei,0.76,54.34,3.15,0.63,56.57,3.28,0.76,55.81,3.23,0.84,54.24,3.17,0.81,53.19,3.09,0.71,52.19,3,0.57,51.51,2.94,0.42,53.23,3.14,0.07,44.07,2.85
Roadhog,1.34,45.11,3.71,1.28,47.77,3.5,1.27,44.48,3.39,1.38,45.03,3.74,1.43,44.77,3.94,1.4,44.95,4.02,1.24,44.31,4.04,1.17,44.7,4.1,0.79,37.85,3.88
Echo,0.96,50.56,2.27,0.87,50.77,2.14,0.91,49.43,2.1,0.94,50.3,2.21,0.97,51,2.35,1.04,51.12,2.47,1.16,52.23,2.6,1.5,53.97,2.83,1.21,62.99,3.69
Symmetra,0.85,55.15,2.41,0.42,57.47,3.29,0.47,56.37,2.88,0.68,55.41,2.7,0.97,54.06,2.35,1.47,53.79,1.86,2.17,52.84,1.32,3.02,54.43,1.01,3.18,64.36,0.99
Wrecking Ball,0.42,50.01,3.84,0.37,49.71,3.22,0.34,48.42,3.27,0.38,50.03,3.73,0.46,50.31,4.03,0.57,51.06,4.38,0.63,50.97,4.65,0.67,51.81,5,1.37,53.04,6.4
Freja,0.81,46.75,2.16,0.75,49.75,2.11,0.78,46.87,2.01,0.79,45.82,2.12,0.8,46.25,2.24,0.88,46.59,2.31,1.04,46.76,2.42,1.29,48.65,2.59,0.66,59.48,2.59
AnaC,6.01,49.14,3.68,4.46,48.85,3.24,5.48,49.19,3.55,6.47,49.16,3.79,7.25,49.26,3.89,7.44,48.56,3.79,6.85,47.96,3.71,7.45,65.53,4.27,N,N,N
KirikoC,7.5,49.31,4.15,8.13,48.68,3.66,7.42,49.38,4.07,7.28,49.45,4.34,7.54,49.51,4.44,8.44,49.25,4.35,8.25,46.53,4.16,1.82,58.91,5.07,N,N,N
GenjiC,3.47,49.77,2.18,2.92,49.66,2.13,3.16,50.03,2.19,3.77,49.87,2.19,3.98,49.32,2.17,3.18,48.85,2.2,2.75,43.17,2.16,1.67,14.4,2.38,N,N,N
MoiraC,3.21,46.01,4.33,4.79,46.54,3.97,3.74,46.45,4.32,2.82,45.44,4.57,1.93,44.64,4.62,1.1,42.7,4.35,0.46,42.13,4.05,0.08,0,0,N,N,N
SojournC,2.45,45.52,2.36,2.52,44,2.22,2.35,44.98,2.31,2.36,45.89,2.4,2.68,46.77,2.48,3.33,47.78,2.48,3.51,45.32,2.52,1.51,82.86,3.71,N,N,N
Soldier: 76C,3.7,48.42,2.46,4.11,48.01,2.43,4.14,48.37,2.47,3.61,48.61,2.47,2.87,48.66,2.45,2.04,48.37,2.37,1.44,38.74,2.2,5.31,46.6,3.86,N,N,N
