Hero,All Pick Rate,All Win Rate,All KDA,Bronze Pick Rate,Bronze Win Rate,Bronze KDA,Silver Pick Rate,Silver Win Rate,Silver KDA,Gold Pick Rate,Gold Win Rate,Gold KDA,Platinum Pick Rate,Platinum Win Rate,Platinum KDA,Diamond Pick Rate,Diamond Win Rate,Diamond KDA,Master Pick Rate,Master Win Rate,Master KDA,Grandmaster Pick Rate,Grandmaster Win Rate,Grandmaster KDA,Champion Pick Rate,Champion Win Rate,Champion KDA
Ana,6.78,49.19,3.81,3.9,51.44,3.05,5.1,49.45,3.33,6.78,49.07,3.74,8.33,48.83,4.02,9.13,48.89,4.2,9.01,49.08,4.34,8.12,50.11,4.54,9.38,69.78,5.6
Kiriko,6.68,49.69,4.06,7.41,49.94,3.29,7.26,49.2,3.66,6.56,49.58,4.16,6.3,49.92,4.54,6.16,50.1,4.71,5.93,50.58,4.8,5.47,51.21,5,5.15,59.63,5.5
Genji,4.02,51.53,2.15,4.2,55.88,2.4,3.54,49.55,1.95,3.92,51.35,2.12,4.41,51.72,2.19,4.44,51.28,2.23,4.17,50.93,2.29,3.14,51.39,2.44,1.95,65.4,2.99
Moira,3.16,49.58,4.29,5.06,50.42,3.72,4.36,49.29,4,3.11,49.33,4.45,2.26,49.84,5,1.69,49.44,5.3,1.12,48.71,5.47,0.59,48.96,5.77,0.34,73.83,8.12
Sojourn,1.94,45.56,2.35,1.73,48.78,2.29,1.81,45.39,2.19,1.85,44.61,2.28,1.93,44.61,2.4,2.16,45.59,2.53,2.75,46.92,2.67,3.45,48.05,2.88,2.67,56.57,3.65
Soldier: 76,3.16,49.91,2.45,3.79,53.11,2.6,3.64,49.05,2.33,3.33,49.01,2.4,2.76,49.78,2.49,2.4,50.47,2.6,2.21,51.1,2.71,1.79,52.24,2.81,1.61,57.87,3.29
Cassidy,4.59,48.53,2.38,3.14,53.63,2.38,3.62,48.91,2.18,4.47,48.24,2.32,5.25,47.54,2.41,5.92,47.57,2.52,6.73,48.03,2.63,7.27,49.97,2.81,5.3,55.05,3.18
Zenyatta,2.52,53.62,4.67,2.69,53.64,3.95,2.49,53.94,4.26,2.51,54.09,4.72,2.63,53.66,5.09,2.5,52.72,5.28,2.11,51.03,5.38,1.38,48.72,5.38,0.64,58.16,6.77
Reaper,2.94,54.66,2.45,3.46,56.88,2.73,3.4,53.84,2.39,3.08,54.12,2.4,2.59,54.79,2.43,2.27,55.27,2.48,2.01,55.22,2.51,2,58.08,2.76,1.3,60.47,2.73
Juno,1.89,50.63,3.81,2.77,50.77,3.18,2.21,49.8,3.46,1.73,50.96,4,1.59,51.07,4.42,1.54,51.24,4.49,1.49,51.01,4.41,1.65,51.53,4.74,3.18,61.09,5.32
Ashe,1.96,51.18,2.74,1.44,52.24,2.57,1.7,50.78,2.56,2.04,50.84,2.72,2.17,50.93,2.82,2.18,51.55,2.88,2.33,52.52,2.95,2.54,54.12,3.12,1.68,60.94,3.82
Ramattra,2.02,49.21,3.22,2.76,51.87,3.3,2.78,49.02,3.15,2.15,48.29,3.19,1.45,48.71,3.29,1.06,48.71,3.36,0.82,49.26,3.45,0.75,49.36,3.59,0.99,54.58,4.44
Mercy,2.57,49.07,3.56,3.17,46.11,2.4,2.33,47.24,2.86,2.36,49.93,3.67,2.64,50.13,4.24,2.77,50.12,4.62,2.87,51.44,5.06,2.95,53.53,5.54,5.32,70.95,6.79
Zarya,1.29,50.3,4.24,0.83,53.75,3.98,1.07,50.62,3.88,1.31,49.4,4.07,1.41,49.3,4.35,1.52,50.17,4.64,1.91,51.24,4.94,2.74,54.16,5.35,3.99,54.02,5.78
Bastion,1.96,48.02,2.54,2.81,50.94,2.61,2.66,48.05,2.46,2.01,46.72,2.51,1.41,47.01,2.62,1.1,47.22,2.69,0.98,47.04,2.77,0.85,51.18,3.01,0.57,55.09,2.75
Lúcio,0.99,51.33,2.74,1.82,54.49,2.44,1.16,50.47,2.59,0.84,50.73,2.83,0.75,50.3,3.03,0.76,50.02,3.15,0.77,47.79,3.21,0.7,49.2,3.45,0.27,91.56,5.14
Mauga,1.48,48.68,3.89,1.67,49.65,3.83,1.57,47.13,3.65,1.45,48.06,3.83,1.4,49.71,4.05,1.36,50.08,4.21,1.33,51.14,4.37,1.5,52.71,4.71,6.42,66.52,6.23
Hanzo,1.82,49.42,2.73,2.14,52.97,2.71,1.79,48.12,2.43,1.74,48.88,2.7,1.78,49.2,2.87,1.77,49.46,3,1.99,50.01,3.13,1.78,51.76,3.34,0.74,47.28,4.06
Pharah,1.31,52.39,2.59,1.21,52.71,2.67,1.29,51.17,2.51,1.3,52.26,2.52,1.3,52.64,2.58,1.36,53.62,2.7,1.47,54.02,2.87,1.52,54.9,3.14,1.27,51.73,2.91
Illari,1.61,51.83,3.21,1.62,51.79,2.68,1.58,51.5,2.9,1.52,51.97,3.23,1.58,52.16,3.46,1.74,52.18,3.54,1.87,50.88,3.56,2.14,51.34,3.67,1.6,59.74,3.98
Doomfist,2.79,51.63,3.13,1.41,54.57,3.15,1.92,51.56,2.99,2.75,51.97,3.07,3.59,51.35,3.11,4,51.03,3.21,3.88,50.81,3.35,4.14,52.21,3.63,3.79,57.27,4.19
Venture,0.72,52.94,2.17,0.44,55.34,2.29,0.64,53.83,2.2,0.82,52.85,2.16,0.82,51.94,2.12,0.77,52.24,2.13,0.69,51.38,2.14,0.59,53.83,2.27,0.14,47.28,2.27
