Hero,All Pick Rate,All Win Rate,All KDA,Bronze Pick Rate,Bronze Win Rate,Bronze KDA,Silver Pick Rate,Silver Win Rate,Silver KDA,Gold Pick Rate,Gold Win Rate,Gold KDA,Platinum Pick Rate,Platinum Win Rate,Platinum KDA,Diamond Pick Rate,Diamond Win Rate,Diamond KDA,Master Pick Rate,Master Win Rate,Master KDA,Grandmaster Pick Rate,Grandmaster Win Rate,Grandmaster KDA,Champion Pick Rate,Champion Win Rate,Champion KDA
Ana,7.38,49.95,3.95,4.18,51.94,3.09,5.92,50.25,3.33,6.79,49.9,3.65,7.9,49.78,4.04,9.08,49.84,4.42,9.38,49.77,4.67,8.32,50.77,4.86,5.96,70.96,5.35
Kiriko,6.04,48.9,3.98,6.23,52.18,3.41,6.56,48.76,3.47,6.09,48.51,3.8,5.86,48.67,4.19,5.85,48.97,4.51,5.8,49.01,4.67,5.36,50.43,4.89,1.98,54.95,5.11
Genji,5.64,52.39,2.32,6.48,62.79,2.94,5.02,50.57,2.14,5.36,51.47,2.24,5.86,52.1,2.31,6.07,52.3,2.38,5.8,52.17,2.47,5.05,52.65,2.65,3.44,65.59,2.96
Moira,3.79,50.13,4.78,4.55,52.65,3.99,4.73,49.93,4.17,4.2,49.73,4.56,3.59,50.09,5.12,3,50.28,5.71,2.33,50.06,6.09,1.54,49.82,6.46,1.89,81.89,9.22
Sojourn,2.91,45.73,2.43,3.19,52.64,2.56,3.1,45.47,2.22,2.89,44.55,2.31,2.73,44.96,2.46,2.81,45.91,2.63,3.22,47.12,2.81,3.71,49.03,3.07,4.6,60.46,3.69
Soldier: 76,3.77,49.24,2.56,5.62,57.57,2.96,4.25,48.4,2.36,3.96,48.04,2.46,3.62,48.37,2.58,3.2,49.25,2.72,2.71,49.96,2.9,2.21,52.63,3.16,0.94,53.98,3.27
Cassidy,6.24,49,2.49,4.51,55.46,2.44,5.02,49.69,2.23,5.61,49.24,2.37,6.52,48.58,2.51,7.52,47.94,2.63,8.43,48.04,2.76,9.26,49.17,2.96,11.71,68.78,3.74
Zenyatta,3.37,52.37,4.52,2.63,53.39,3.83,3.54,52.48,4,3.47,52.78,4.31,3.46,52.56,4.71,3.33,51.73,5.11,2.97,50.08,5.33,2.27,48.15,5.45,0.94,66.08,6.62
Reaper,2.6,55.79,2.56,4.37,65.92,3.48,3.08,54.26,2.45,2.86,54.52,2.48,2.48,55,2.5,1.92,55.7,2.55,1.34,56.39,2.61,1.04,57.65,2.82,1.09,60.77,3.12
Juno,2.81,49.58,3.72,4.27,53.03,3.3,3.64,48.8,3.24,2.94,49.02,3.57,2.46,49.62,4,2.24,49.8,4.41,2.18,50.13,4.58,2.05,50.95,4.76,2.21,88.05,9.48
Ashe,2.27,51.09,2.76,1.22,52.03,2.49,1.87,51.11,2.56,2.17,51.1,2.69,2.45,51.02,2.81,2.64,50.84,2.88,2.75,51.32,2.95,2.62,52.75,3.13,1.31,54.13,3.13
Ramattra,1.99,50.69,3.49,2.35,56.45,3.79,2.45,50.53,3.33,2.33,49.83,3.42,1.87,49.98,3.53,1.44,51.16,3.66,1.18,52.54,3.83,1.22,54.93,4.23,0.62,63.24,3.88
Mercy,2.21,49.22,3.47,3.65,49.57,2.56,2.26,46,2.61,1.94,48.29,3.15,2.03,49.84,3.8,2.3,50.75,4.45,2.58,52.04,5.05,2.84,54.62,5.66,7.61,82.64,8.52
Zarya,1.45,47.81,3.92,1.08,56.83,4.21,1.23,49.68,3.67,1.45,48,3.77,1.54,46.3,3.91,1.5,46.09,4.1,1.64,47.4,4.39,2.05,48.62,4.74,1.73,55.76,5.16
Bastion,1.44,47.29,2.52,1.51,50.87,2.49,2.11,48.32,2.45,1.76,46.66,2.48,1.26,46.09,2.57,0.88,46.98,2.73,0.62,49.09,2.92,0.42,49.22,3.06,0.14,79.45,4.26
Lúcio,2.33,54.82,3.33,3.33,56.71,2.98,2.9,54.02,2.97,2.47,54.59,3.21,2.09,54.99,3.49,1.9,55.4,3.82,1.78,54.71,4.06,1.51,53.93,4.38,0.3,89.09,8.01
Mauga,1.29,48.63,3.75,1.95,53.06,4.03,1.54,47.17,3.47,1.39,47.74,3.65,1.21,48.56,3.82,0.98,49.55,3.99,0.82,50.6,4.22,0.87,52.74,4.57,5.37,63.92,5.67
Hanzo,2.12,49.52,2.77,2.36,51.41,2.41,2.22,48.96,2.49,2.04,49.37,2.67,2.04,49.36,2.86,2.17,49.68,3.03,2.29,50.03,3.19,2.15,51.28,3.37,3.37,69.41,3.88
