Hero,All Pick Rate,All Win Rate,All KDA,Bronze Pick Rate,Bronze Win Rate,Bronze KDA,Silver Pick Rate,Silver Win Rate,Silver KDA,Gold Pick Rate,Gold Win Rate,Gold KDA,Platinum Pick Rate,Platinum Win Rate,Platinum KDA,Diamond Pick Rate,Diamond Win Rate,Diamond KDA,Master Pick Rate,Master Win Rate,Master KDA,Grandmaster Pick Rate,Grandmaster Win Rate,Grandmaster KDA,Champion Pick Rate,Champion Win Rate,Champion KDA
Ana,7.4,49.5,3.96,3.81,55.18,3.4,5.4,49.8,3.35,6.78,49.62,3.72,8.01,49.23,4,9,49.08,4.25,9.51,49.23,4.48,8.23,50.12,4.61,2.99,58.01,4.87
Kiriko,7.46,49.94,4.19,6.07,52.2,3.4,7.72,49.88,3.67,7.71,49.7,4.03,7.5,49.81,4.35,7.35,49.98,4.56,7.35,49.84,4.69,6.52,51.03,4.87,5.87,69.46,6.56
Genji,5.58,52.89,2.32,6.26,64.07,3.08,4.73,50.93,2.11,5.19,52.02,2.23,5.86,52.48,2.3,6.14,52.56,2.36,5.91,52.74,2.47,4.89,52.6,2.61,2.29,47.34,2.43
Moira,2.62,48.35,4.39,3.71,51.27,3.66,3.93,48.44,3.9,3.09,47.93,4.3,2.39,48.13,4.76,1.77,48.12,5.19,1.2,47.13,5.29,0.55,48.38,5.62,0.13,21.75,3.57
Sojourn,2.61,45.64,2.32,2.57,51.53,2.39,2.92,44.95,2.1,2.6,44.13,2.18,2.44,45.27,2.34,2.51,45.83,2.47,2.74,47.49,2.64,3.28,50.33,2.93,2.21,50.8,3.15
Soldier: 76,3.47,49.62,2.49,5.07,56.4,2.76,4.24,48.61,2.31,3.72,48.44,2.4,3.32,48.88,2.49,2.88,50.13,2.63,2.39,50.84,2.79,1.83,52.2,3.02,0.73,67.47,4.17
Cassidy,6.18,47.97,2.35,4.64,58.69,2.63,4.77,49,2.11,5.55,48.04,2.23,6.44,47.19,2.33,7.34,46.69,2.44,7.83,47.06,2.56,8.49,48.57,2.75,6.19,61.39,3.38
Zenyatta,2.31,52.71,4.6,2.84,55.25,4,2.61,53.44,4.12,2.38,52.87,4.42,2.31,52.75,4.8,2.15,51.66,5.08,1.8,50.44,5.3,1.24,47.04,5.4,0.36,63.78,4.3
Reaper,2.93,54.6,2.44,3.61,62.53,3.13,3.31,53.85,2.38,3.2,53.85,2.39,2.91,53.87,2.39,2.55,54.55,2.43,2.09,54.86,2.47,1.94,56.61,2.63,4.21,58.59,3.03
Juno,1.8,49.94,3.67,3.02,51.51,3.1,2.63,49.29,3.3,1.98,49.68,3.64,1.49,49.96,3.99,1.29,50.35,4.24,1.25,50.53,4.22,1.18,52.6,3.87,1.4,71.72,4.63
