Hero,All Pick Rate,All Win Rate,All KDA,Bronze Pick Rate,Bronze Win Rate,Bronze KDA,Silver Pick Rate,Silver Win Rate,Silver KDA,Gold Pick Rate,Gold Win Rate,Gold KDA,Platinum Pick Rate,Platinum Win Rate,Platinum KDA,Diamond Pick Rate,Diamond Win Rate,Diamond KDA,Master Pick Rate,Master Win Rate,Master KDA,Grandmaster Pick Rate,Grandmaster Win Rate,Grandmaster KDA,Champion Pick Rate,Champion Win Rate,Champion KDA
Ana,7.41,49.49,3.97,3.81,55.08,3.41,5.39,49.81,3.35,6.79,49.64,3.72,8.03,49.22,4,9,49.08,4.25,9.51,49.17,4.47,8.19,50.1,4.6,3.02,57.59,4.92
Kiriko,7.45,49.92,4.19,6.07,52.07,3.4,7.71,49.87,3.67,7.7,49.68,4.03,7.49,49.81,4.35,7.34,49.94,4.56,7.33,49.8,4.68,6.49,51.1,4.86,6,69.58,6.46
Genji,5.52,52.83,2.32,6.23,64.1,3.08,4.69,50.87,2.1,5.14,51.96,2.23,5.79,52.41,2.3,6.08,52.47,2.35,5.84,52.68,2.46,4.82,52.44,2.6,2.17,46.8,2.42
Moira,2.62,48.38,4.39,3.73,51.26,3.66,3.93,48.51,3.9,3.09,47.94,4.29,2.38,48.15,4.75,1.76,48.18,5.19,1.19,47.03,5.28,0.55,48,5.64,0.12,21.75,3.57
Sojourn,2.62,45.68,2.32,2.58,51.62,2.39,2.93,45.03,2.11,2.61,44.17,2.18,2.44,45.28,2.34,2.52,45.92,2.47,2.76,47.51,2.64,3.29,50.42,2.93,2.15,51.52,3.23
Soldier: 76,3.46,49.6,2.48,5.07,56.29,2.75,4.23,48.6,2.31,3.72,48.4,2.39,3.31,48.89,2.49,2.88,50.12,2.63,2.38,50.83,2.79,1.83,52.18,3.02,0.71,69.23,4.26
Cassidy,6.18,47.98,2.35,4.63,58.74,2.62,4.77,48.99,2.11,5.55,48.07,2.23,6.44,47.25,2.33,7.33,46.62,2.44,7.82,47.07,2.56,8.44,48.64,2.75,5.9,61.86,3.37
Zenyatta,2.31,52.68,4.6,2.84,55.22,4.01,2.6,53.38,4.12,2.38,52.84,4.43,2.31,52.75,4.8,2.15,51.67,5.07,1.81,50.34,5.28,1.24,46.87,5.39,0.34,63.78,4.3
Reaper,2.92,54.6,2.44,3.61,62.36,3.12,3.3,53.84,2.38,3.19,53.85,2.39,2.9,53.89,2.39,2.54,54.59,2.43,2.08,54.99,2.47,1.91,56.47,2.64,5.12,59.81,3.04
Juno,1.79,49.9,3.67,3.01,51.29,3.08,2.62,49.23,3.29,1.97,49.65,3.64,1.49,50,3.99,1.29,50.32,4.23,1.25,50.36,4.2,1.19,52.66,3.86,1.34,70.69,4.57
