Hero,All Pick Rate,All Win Rate,All KDA,Bronze Pick Rate,Bronze Win Rate,Bronze KDA,Silver Pick Rate,Silver Win Rate,Silver KDA,Gold Pick Rate,Gold Win Rate,Gold KDA,Platinum Pick Rate,Platinum Win Rate,Platinum KDA,Diamond Pick Rate,Diamond Win Rate,Diamond KDA,Master Pick Rate,Master Win Rate,Master KDA,Grandmaster Pick Rate,Grandmaster Win Rate,Grandmaster KDA,Champion Pick Rate,Champion Win Rate,Champion KDA
Ana,7.34,49.61,4,3.99,52.8,3.23,5.27,49.95,3.39,6.71,49.64,3.76,8.25,49.39,4.1,9.2,49.42,4.35,9.33,49.27,4.52,7.85,50.11,4.67,7.67,69.5,5.39
Kiriko,5.8,48.35,4.03,5.66,50.02,3.18,5.99,48.25,3.49,5.82,48.24,3.91,5.77,48.27,4.28,5.78,48.26,4.48,5.67,47.96,4.59,5.48,49.73,4.77,3.65,64.61,5.71
Genji,3.43,50.08,2.17,4.45,58.57,2.53,3.22,47.75,1.96,3.22,49.64,2.13,3.49,50.05,2.2,3.66,49.78,2.22,3.41,49.53,2.28,2.78,49.91,2.41,0.87,60.03,2.79
Moira,3.32,49.63,4.58,4.63,51.13,3.75,4.7,49.65,4.07,3.89,49.6,4.56,2.97,49.59,5.02,2.13,49,5.37,1.45,48.32,5.59,0.79,48.64,5.78,0.74,54,6.58
Sojourn,2.67,45.92,2.42,2.76,49.21,2.3,2.84,45.5,2.21,2.56,44.89,2.31,2.43,45.28,2.46,2.68,46.43,2.6,3.26,47.47,2.72,4.06,49.93,3.01,3.69,54.29,3.33
Soldier: 76,3.15,49.02,2.48,4.31,52.46,2.53,3.87,48.36,2.35,3.44,48.13,2.43,2.92,48.75,2.52,2.46,49.87,2.64,2.22,50.8,2.79,1.7,53.04,3.02,1.03,51.48,3.19
Cassidy,5.39,47.56,2.42,3.95,54.33,2.37,4.19,47.99,2.18,4.88,47.75,2.33,5.71,46.89,2.44,6.46,46.61,2.53,7.1,47.16,2.65,7.28,49.08,2.85,4.91,57.98,3.22
Zenyatta,2.72,53.6,4.8,2.93,54.31,3.94,2.83,53.44,4.23,2.79,53.9,4.66,2.79,54.04,5.1,2.61,53.24,5.34,2.24,51.24,5.44,1.7,50.89,5.64,0.64,61.66,5.46
Reaper,2.38,53.02,2.38,3.05,57.27,2.64,2.98,52.24,2.34,2.72,52.76,2.36,2.24,52.71,2.37,1.8,53.17,2.39,1.38,53.76,2.4,1.1,54.33,2.51,3.69,56.66,3.45
Juno,2.76,50.45,3.95,3.87,50.73,3.08,3.38,49.47,3.4,2.81,50.4,3.88,2.48,50.88,4.32,2.39,51.03,4.64,2.38,51.04,4.74,2.13,50.35,4.78,1.03,62.47,5.41
Ashe,3.29,51.96,2.92,2.19,53.32,2.71,2.66,51.59,2.7,3.09,51.52,2.86,3.44,51.9,2.96,3.79,52.02,3.02,4.27,52.58,3.06,4.96,54.61,3.23,4.23,61.2,3.62
Ramattra,1.7,48.16,3.31,2.33,51.85,3.32,2.4,48.77,3.24,2.03,47.74,3.29,1.46,47.14,3.35,1.07,47.48,3.4,0.85,47.24,3.47,0.84,48.12,3.59,1.07,45.14,3.17
Mercy,2.78,49.8,3.84,3.69,47.13,2.4,2.61,47.75,2.88,2.55,49.69,3.6,2.76,50.34,4.24,2.91,50.75,4.79,3.08,50.99,5.3,3.41,54.42,6.14,4.49,78.41,7.71
Zarya,1.74,50.78,4.28,1.14,54.42,3.96,1.32,50.98,3.81,1.6,50.03,4.02,1.78,49.69,4.28,1.97,51.06,4.57,2.54,51.94,4.83,3.71,54.42,5.25,5.42,60.68,5.81
Bastion,2.98,50.44,2.86,3.44,52.64,2.67,3.81,50.39,2.68,3.35,49.91,2.8,2.68,49.93,2.94,2.3,51.06,3.11,2.12,51.71,3.24,2.08,52.42,3.41,2.39,69.14,4.4
Lúcio,1.37,52.22,3.09,2.36,54.15,2.64,1.87,51.45,2.82,1.44,52.11,3.07,1.15,52.17,3.29,1.03,53.05,3.51,0.92,51.45,3.66,0.88,52.98,3.8,0.39,66.32,5.76
Mauga,1.23,48.01,3.81,1.75,48.56,3.59,1.54,46.51,3.54,1.36,47.59,3.76,1.15,48.78,3.97,0.89,49.14,4.1,0.76,49.88,4.25,0.74,50.76,4.36,9.34,60.86,5.11
Hanzo,2.17,49.04,2.84,2.57,55.05,2.76,2.13,48.5,2.52,2.02,48.45,2.73,2.13,48.45,2.91,2.28,48.56,3.03,2.49,49.86,3.18,2.35,51.89,3.38,1.44,44.1,2.69
Pharah,1.21,50.85,2.56,1.4,50.64,2.55,1.39,49.58,2.49,1.23,50.84,2.51,1.15,51.56,2.58,1.13,51.21,2.62,1.09,51.36,2.74,0.98,53.44,3.07,0.23,48.08,2.71
Illari,1.49,52.43,3.27,1.77,51.92,2.57,1.61,51.54,2.84,1.51,52.7,3.2,1.42,52.85,3.46,1.4,52.47,3.61,1.4,51.97,3.65,1.57,54.08,3.87,0.7,60.56,4.47
Doomfist,3.9,50.9,3.07,1.87,54.17,3,2.33,51.56,2.93,3.48,51.5,3.02,4.6,50.57,3.04,5.14,50.37,3.11,4.97,50.28,3.25,5.39,50.78,3.55,3.65,53.18,4.26
Venture,1.34,52.6,2.25,0.78,55.76,2.32,1.16,53.57,2.29,1.41,52.56,2.25,1.43,51.99,2.23,1.44,52.52,2.23,1.34,52.28,2.25,1.25,50.36,2.3,0.64,45.78,1.95
Junkrat,1.4,51.41,2.45,1.91,52.44,2.3,1.83,50.62,2.27,1.53,51.38,2.43,1.31,51.45,2.56,1.07,52.21,2.65,0.8,52.07,2.71,0.52,49.89,2.56,0.08,87.43,4.5
Sigma,3.05,54.83,4.08,2.42,56.43,3.86,3.06,54.07,3.83,3.28,54.4,3.99,3.12,55.11,4.18,2.83,55.43,4.28,2.79,54.96,4.36,3.45,56.49,4.63,4.87,64.94,6.06
Brigitte,1.58,51.18,3.82,1.13,53.75,2.92,1.42,51.68,3.26,1.61,51.07,3.61,1.66,51,3.98,1.69,50.78,4.32,1.64,50.97,4.55,1.43,51.91,4.76,0.47,54.58,5.34
Widowmaker,1.32,45.77,2.28,1.97,50.28,2.53,1.45,43.79,2.15,1.22,45.01,2.21,1.18,45.55,2.27,1.26,46.4,2.33,1.48,47.1,2.41,1.94,47.59,2.61,1.61,47.8,2.59
Lifeweaver,1.82,47.83,4.06,1.84,48.73,3.07,2.1,48.77,3.58,2.08,48.27,4.01,1.84,47.45,4.38,1.45,46.54,4.59,1.13,45.91,4.76,0.67,44.46,4.76,0.08,100,15.4
Sombra,1.71,48.44,3.06,1.4,50.93,2.7,1.65,48.31,2.81,1.71,48.41,3.03,1.77,48.45,3.15,1.81,48.19,3.18,1.67,47.79,3.22,1.41,48.71,3.36,0.66,60.42,3.77
D.VA,1.63,49.71,5.31,2.58,50.64,4.91,1.94,47.68,4.75,1.61,49.23,5.19,1.44,50.25,5.55,1.39,51.24,5.89,1.44,51.73,6.17,1.96,53.65,6.71,2.5,66.4,8.7
Torbjörn,0.74,55.53,2.67,0.88,60.38,2.91,0.94,56.9,2.65,0.84,55.92,2.66,0.66,54.53,2.66,0.58,52.78,2.65,0.51,52.85,2.6,0.36,51.29,2.61,0.17,42.96,2.56
Tracer,0.91,47.01,1.95,1.03,51.21,1.91,0.7,44.59,1.7,0.7,46.83,1.91,0.88,46.95,1.99,1.14,46.77,2,1.47,47.26,2.07,1.92,51.57,2.35,1.67,59.76,3
Orisa,1.65,45.17,3.34,1.99,48.04,3.18,2.07,45.89,3.18,1.88,44.46,3.29,1.54,44.29,3.41,1.22,44.63,3.56,1.06,47.18,3.8,1.04,49.43,4.14,0.83,49.98,4.58
Hazard,0.65,48.35,3.26,0.58,50.36,2.96,0.61,47.8,3.04,0.68,47.74,3.16,0.67,47.83,3.28,0.63,49.1,3.49,0.62,50.39,3.64,0.73,51.93,4.11,0.62,72.26,5.5
Winston,1.15,49.75,3.23,0.93,51.31,2.74,0.93,48.66,2.93,1.11,49.46,3.12,1.24,49.75,3.27,1.25,50.5,3.45,1.36,49.83,3.67,1.42,51.49,4.02,2.29,56.82,4.16
Reinhardt,1.22,51.36,2.45,1.36,51.53,2.19,1.33,51.46,2.31,1.34,51.39,2.45,1.23,51.4,2.5,1.03,51.38,2.57,0.86,50.41,2.6,0.72,50.82,2.68,6.02,55.62,2.4
Junker Queen,0.8,53.61,4.56,0.67,54.64,4.08,0.78,53.22,4.23,0.87,53.04,4.47,0.85,53.62,4.68,0.73,54.31,4.79,0.66,54.72,4.92,0.62,56.03,5.27,0.41,80.01,7.42
Baptiste,2.29,48.24,3.78,1.94,49.45,2.99,2.17,48.01,3.2,2.33,47.92,3.59,2.36,48.29,3.98,2.4,48.42,4.28,2.27,48.51,4.51,2.1,49.64,4.73,0.41,68.05,6.26
Mei,0.79,53.38,3.16,0.79,55.01,3.14,0.84,54.02,3.21,0.84,53.61,3.22,0.81,53.04,3.15,0.76,52.83,3.07,0.56,51.35,3.04,0.43,51.29,3.11,0.08,54.06,3.39
Roadhog,1.16,42.83,3.42,1.33,46.99,3.02,1.07,43.08,3.06,1.16,42.39,3.34,1.22,42.37,3.58,1.15,42.45,3.66,1.04,42.98,3.79,0.9,42.24,3.79,0.47,36.28,3.56
Echo,1.18,49.86,2.34,1.18,50.32,2.11,1.18,48.58,2.13,1.14,49.25,2.26,1.14,49.89,2.38,1.22,50.53,2.5,1.24,51.84,2.61,1.62,54.15,2.88,0.93,42.98,3.03
Symmetra,1.26,55.61,2.73,0.69,57.35,3.22,0.82,56.96,3.07,1.04,56.1,2.96,1.28,55.03,2.76,1.66,54.77,2.46,2.25,54.45,2.07,2.92,55.04,1.87,3.17,53.37,1.2
