Hero,All Pick Rate,All Win Rate,All KDA,Bronze Pick Rate,Bronze Win Rate,Bronze KDA,Silver Pick Rate,Silver Win Rate,Silver KDA,Gold Pick Rate,Gold Win Rate,Gold KDA,Platinum Pick Rate,Platinum Win Rate,Platinum KDA,Diamond Pick Rate,Diamond Win Rate,Diamond KDA,Master Pick Rate,Master Win Rate,Master KDA,Grandmaster Pick Rate,Grandmaster Win Rate,Grandmaster KDA,Champion Pick Rate,Champion Win Rate,Champion KDA
Ana,5.27,48.55,3.85,3.2,51.16,3.11,3.94,48.55,3.29,4.98,48.28,3.67,6.03,48.28,3.98,6.54,48.6,4.23,6.77,48.89,4.46,6.02,49.7,4.61,6.95,75.34,6.22
Kiriko,4.28,47.67,4.03,5.04,48.8,3.24,4.84,47.38,3.56,4.36,47.4,4.01,4,47.59,4.36,3.79,47.88,4.59,3.71,48.36,4.75,3.49,49.51,4.87,3.81,67.98,6.47
Genji,2.76,50.96,2.17,3.38,53.89,2.24,2.49,48.45,1.95,2.57,50.69,2.14,2.87,51.49,2.23,3.06,51.77,2.28,2.93,51.19,2.34,2.28,52.23,2.44,0.96,51.99,2.64
Moira,2.22,48.81,4.5,3.68,49.93,3.77,3.35,48.58,4.06,2.44,48.34,4.55,1.73,49.04,5.11,1.23,49.44,5.56,0.83,48.8,5.72,0.5,50.12,6.03,0.53,50,5.72
Sojourn,2.24,45.85,2.46,2.19,48.16,2.32,2.2,44.97,2.24,2.08,44.93,2.36,2.11,45.66,2.53,2.42,46.79,2.67,2.98,47.31,2.78,3.52,49.36,2.96,3.21,55.87,3.15
Soldier: 76,3.23,49.49,2.54,4.14,51.84,2.51,3.75,48.46,2.38,3.42,48.62,2.48,2.97,49.69,2.61,2.65,50.82,2.74,2.34,51.84,2.89,1.97,53.25,3.04,1.02,49.97,3.16
Cassidy,4.62,48.67,2.5,3.29,52.65,2.32,3.51,48.75,2.24,4.2,48.66,2.41,5.03,48.23,2.54,5.87,48.15,2.65,6.46,48.64,2.77,6.91,50.07,2.94,5.9,67.66,3.9
Zenyatta,1.98,53.83,4.81,2.42,54.03,4.04,2.2,53.49,4.33,2.04,53.96,4.76,1.93,54.35,5.16,1.72,53.48,5.44,1.47,52.78,5.67,1.13,50.75,5.81,0.5,81.35,9
Reaper,2.01,54.29,2.49,2.56,56.21,2.63,2.43,53.36,2.42,2.19,53.76,2.45,1.84,54.58,2.51,1.54,55.3,2.56,1.22,56.01,2.6,1.04,57.19,2.73,5.91,59.91,3.08
Juno,2.11,50.56,4.07,3.55,50.44,3.26,2.8,49.39,3.56,2.07,50.4,4.1,1.71,51.49,4.64,1.58,51.74,4.95,1.56,52.09,5.11,1.62,52.58,5.18,1.54,68.11,5.24
Ashe,2.42,52.03,2.94,1.78,52.47,2.66,2.05,51.08,2.69,2.35,51.6,2.89,2.6,52.24,3.03,2.73,52.49,3.08,2.9,53.43,3.16,3.23,54.45,3.27,2.92,54.67,3.33
Ramattra,1.55,47.27,3.14,2.21,50.6,3.17,2.26,47.65,3.06,1.77,46.49,3.1,1.22,46.63,3.22,0.87,46.45,3.3,0.67,46.36,3.35,0.58,46.59,3.52,0.44,58.32,4.87
Mercy,2.55,49.5,3.89,3.15,46.45,2.48,2.38,47.25,2.98,2.38,49.72,3.78,2.53,50.38,4.38,2.73,50.74,4.89,2.79,50.7,5.27,3.08,53.35,6.03,6.22,72.55,6.78
Zarya,1.12,48.01,4.1,0.79,51.92,3.81,0.94,48.79,3.71,1.08,47.36,3.9,1.16,47.08,4.16,1.26,47.5,4.43,1.58,49.18,4.75,2.3,50.65,5.11,3.12,52.97,5.57
Bastion,2.22,47.69,2.62,3.03,50.89,2.57,3.02,48.08,2.51,2.44,46.86,2.58,1.85,46.85,2.72,1.49,47.38,2.83,1.2,48.2,2.94,0.99,49.58,3.15,1.57,57.12,3.75
Lúcio,0.88,50.82,2.89,1.78,52.48,2.56,1.22,50.14,2.69,0.85,50.47,2.92,0.68,50.92,3.14,0.6,51.14,3.25,0.61,51.24,3.39,0.54,51.54,3.44,0.55,79.09,6.83
Mauga,1.06,48.48,3.84,1.44,48.25,3.6,1.3,47.09,3.57,1.12,47.84,3.77,0.97,49.48,4.05,0.82,50.82,4.26,0.71,51.26,4.44,0.72,54.42,4.75,2.75,63.89,5.78
Hanzo,1.91,49.98,2.86,2.14,52.74,2.66,1.84,49.08,2.57,1.81,49.53,2.79,1.89,49.88,2.97,2.02,50.29,3.09,2.1,50.95,3.22,2.1,51.93,3.4,0.75,50.01,3.79
Pharah,1.15,51.38,2.51,1.23,51.21,2.56,1.28,50.69,2.5,1.18,51.29,2.47,1.1,51.69,2.49,1.04,52.12,2.56,0.98,51.84,2.66,0.79,54.26,2.87,0.71,63.06,3.7
Illari,1.22,53.27,3.44,1.46,52.22,2.76,1.35,52.14,3.04,1.22,53.15,3.4,1.13,53.79,3.68,1.1,54.32,3.86,1.24,54.64,3.99,1.45,53.42,4.01,1.15,67.82,5.19
Doomfist,2.55,51.54,3.17,1.14,53.76,2.98,1.44,51.53,2.94,2.23,52.04,3.09,3.11,51.4,3.15,3.67,50.96,3.25,3.85,51.23,3.42,4.27,52.74,3.77,2.76,54.88,4.3
Venture,0.85,52.11,2.23,0.54,55.09,2.25,0.76,52.97,2.24,0.9,51.79,2.22,0.92,51.67,2.22,0.89,51.96,2.22,0.84,50.96,2.25,0.72,52.55,2.38,0.21,20.08,1.44
Junkrat,1.36,51.84,2.44,1.79,51.9,2.31,1.71,51.04,2.29,1.45,51.78,2.42,1.23,52.32,2.55,1.05,52.68,2.62,0.8,52.56,2.64,0.44,51.44,2.59,0.07,67.52,2.59
Sigma,1.93,51.55,3.7,1.83,53.57,3.58,2.1,51.49,3.51,2.05,51.06,3.64,1.84,51.3,3.79,1.72,51.74,3.91,1.74,52.33,4.07,2.18,53.57,4.29,3.25,57.2,5
Brigitte,0.9,49.32,3.61,0.86,50.67,2.79,0.94,49.7,3.11,0.93,48.83,3.46,0.89,49.04,3.87,0.86,49.39,4.22,0.86,49.84,4.47,0.79,50.02,4.68,0.43,81.81,7.28
Widowmaker,1.23,47.01,2.39,1.61,48.44,2.52,1.19,44.74,2.22,1.12,46.24,2.33,1.14,47.57,2.4,1.29,48.35,2.46,1.49,48.91,2.55,1.96,50.41,2.79,2,55.74,3.58
Lifeweaver,1.07,47.5,4.16,1.19,48.53,3.07,1.22,47.62,3.62,1.19,47.92,4.2,1.06,47.21,4.57,0.85,46.55,4.83,0.64,46.28,5,0.43,45.99,5.03,0.19,30.36,3.91
Sombra,1.11,48.74,3.13,0.9,49.04,2.68,1.03,48.33,2.86,1.08,48.62,3.1,1.17,48.92,3.27,1.23,49.25,3.32,1.2,48.37,3.32,1,48.41,3.44,0.34,40.57,2.93
D.VA,1.44,49.54,5.48,2.16,49.08,4.78,1.65,47.05,4.79,1.38,49.33,5.41,1.27,51.11,5.97,1.27,51.6,6.32,1.4,51.49,6.62,1.82,52.03,7.01,2.89,57.53,8.79
Torbjörn,0.64,56.41,2.65,0.81,59.55,2.77,0.82,57.38,2.62,0.71,56.42,2.63,0.55,55.69,2.69,0.46,54.61,2.65,0.39,52.2,2.62,0.29,50.18,2.53,0.08,76.23,3.71
