Hero,All Pick Rate,All Win Rate,All KDA,Bronze Pick Rate,Bronze Win Rate,Bronze KDA,Silver Pick Rate,Silver Win Rate,Silver KDA,Gold Pick Rate,Gold Win Rate,Gold KDA,Platinum Pick Rate,Platinum Win Rate,Platinum KDA,Diamond Pick Rate,Diamond Win Rate,Diamond KDA,Master Pick Rate,Master Win Rate,Master KDA,Grandmaster Pick Rate,Grandmaster Win Rate,Grandmaster KDA,Champion Pick Rate,Champion Win Rate,Champion KDA
Ana,8.08,50.52,3.96,4.09,50.65,3.03,6.21,50.54,3.31,7.15,50.4,3.61,8.73,50.49,4.03,10.74,50.51,4.47,11.57,50.8,4.81,9.57,51.45,4.99,4.95,78.46,5.17
Kiriko,6.32,48.93,3.91,5.96,51.81,3.42,6.69,48.06,3.36,6.35,48.42,3.68,6.25,48.95,4.12,6.28,49.34,4.55,6.16,49.79,4.79,5.32,51.15,4.88,3.61,75.03,6.22
Genji,5.5,53.4,2.33,7.18,62.91,3.11,5.07,49.5,2.07,5.24,52.1,2.23,5.58,53.38,2.32,5.69,54.09,2.4,5.35,54.03,2.49,4.68,54.74,2.69,2.01,75.56,3.05
Moira,3.34,49.28,4.43,4.03,52.47,3.98,4.38,49.32,3.96,3.88,49.16,4.27,3.09,48.76,4.75,2.34,48.64,5.33,1.49,47.98,5.66,0.65,50.75,6.36,N,N,N
Sojourn,3.57,46.58,2.45,3.7,49.8,2.53,3.75,45.43,2.21,3.52,45.51,2.32,3.34,46.18,2.47,3.52,47.85,2.68,4.13,48.61,2.87,5.18,52.26,3.19,15.37,63.25,3.67
Soldier: 76,4.25,50.17,2.6,6.27,56.48,3.02,4.79,48.24,2.35,4.42,49.34,2.51,4.07,49.82,2.63,3.52,50.34,2.75,2.99,51.29,2.92,2.3,53.33,3.16,0.94,29.39,3.71
Cassidy,5.46,49.97,2.53,4.23,52.9,2.45,4.34,49.08,2.23,4.82,50.33,2.42,5.75,50.28,2.57,6.74,49.29,2.69,7.65,48.8,2.79,8.28,49.87,3.03,24.73,78.7,4.67
Zenyatta,3.33,52.58,4.52,2.13,50.02,3.64,3.3,52.66,3.97,3.37,53.07,4.28,3.48,53.13,4.72,3.55,51.97,5.15,3.28,50.73,5.42,2.48,49.64,5.68,1.07,58.6,4.92
Reaper,2.31,54.73,2.5,4.77,66.35,3.73,2.94,51.76,2.31,2.53,53.19,2.39,2.03,53.35,2.4,1.43,53.11,2.38,0.93,54.45,2.4,0.6,54.44,2.54,0.27,95.62,2
Juno,4.5,50.36,3.8,5.11,53.55,3.54,5.24,49.73,3.26,4.58,49.76,3.57,4.27,50.16,4.02,4.07,50.9,4.58,3.92,51.37,4.94,3.2,52.3,5.22,2.14,98.31,4.48
