Hero,All Pick Rate,All Win Rate,All KDA,Bronze Pick Rate,Bronze Win Rate,Bronze KDA,Silver Pick Rate,Silver Win Rate,Silver KDA,Gold Pick Rate,Gold Win Rate,Gold KDA,Platinum Pick Rate,Platinum Win Rate,Platinum KDA,Diamond Pick Rate,Diamond Win Rate,Diamond KDA,Master Pick Rate,Master Win Rate,Master KDA,Grandmaster Pick Rate,Grandmaster Win Rate,Grandmaster KDA,Champion Pick Rate,Champion Win Rate,Champion KDA
Ana,8.04,50.5,3.98,4.13,50.49,3.04,6.18,50.5,3.33,7.18,50.42,3.63,8.71,50.43,4.06,10.6,50.54,4.49,11.46,50.74,4.82,9.51,51.77,4.98,7.02,80.47,6.78
Kiriko,6.25,48.96,3.94,6.03,50.92,3.39,6.64,48.4,3.41,6.29,48.57,3.74,6.16,48.96,4.15,6.16,49.33,4.55,6.02,49.74,4.77,5.14,50.69,4.88,1.9,67.08,5.67
Genji,5.67,53.4,2.35,6.77,61.42,3,5.05,50.01,2.11,5.38,52.36,2.26,5.92,53.57,2.35,6.05,54.15,2.42,5.73,54.06,2.51,4.81,54.18,2.65,2,65.4,2.71
Moira,3.24,49.14,4.45,4.02,51.53,3.94,4.27,49.25,3.99,3.71,48.95,4.3,2.96,48.81,4.79,2.27,48.66,5.37,1.47,48.22,5.64,0.68,50.06,6.09,0.82,77.18,10.24
Sojourn,3.35,46.09,2.43,3.65,48.52,2.45,3.64,44.93,2.2,3.35,45.38,2.32,3.13,45.75,2.47,3.21,47.21,2.65,3.61,48.33,2.84,4.31,51.27,3.13,8.77,62.68,3.71
Soldier: 76,4.2,49.92,2.59,6.18,55.25,2.95,4.66,48.11,2.36,4.37,49.22,2.5,4.05,49.59,2.62,3.51,50.43,2.75,2.93,51.48,2.93,2.27,52.92,3.17,1.12,49.56,3.49
Cassidy,5.72,49.88,2.53,4.39,51.87,2.37,4.59,49.15,2.23,5.11,50.29,2.42,6.03,50.03,2.57,7.03,49.35,2.69,7.96,49.24,2.82,8.65,49.7,2.99,17.61,76.13,4.31
Zenyatta,3.4,52.41,4.52,2.29,50.39,3.68,3.42,52.48,3.98,3.44,52.97,4.3,3.54,52.91,4.74,3.59,51.78,5.16,3.24,50.03,5.37,2.38,48.3,5.56,0.97,81.67,8.24
Reaper,2.12,54.03,2.46,4.34,65.22,3.58,2.68,51.44,2.3,2.34,52.6,2.36,1.86,52.7,2.37,1.3,52.68,2.37,0.79,53.47,2.39,0.54,56.03,2.59,1.25,56.35,2.92
Juno,4.18,50.09,3.76,5.29,52.42,3.44,5.05,49.14,3.24,4.33,49.69,3.57,3.81,50.08,4.02,3.55,50.74,4.54,3.42,51.23,4.91,2.94,53.44,5.18,2.8,86.48,6.8
Ashe,2.67,51.54,2.79,1.47,44.2,2.2,2.22,50.46,2.55,2.56,51.7,2.72,2.89,52.18,2.87,3.12,52.08,2.94,3.28,52.25,3.02,3.32,53.53,3.19,2.5,55.08,3.45
Ramattra,2.35,50.16,3.48,2.58,54.08,3.73,2.88,49.63,3.31,2.84,49.54,3.42,2.19,49.89,3.53,1.57,51.01,3.67,1.18,52.32,3.85,1.07,52.68,4.09,0.62,84.45,6.93
Mercy,2.64,49.92,3.49,3.88,49.65,2.6,2.52,45.9,2.56,2.17,48.58,3.07,2.47,50.92,3.82,3.05,52,4.59,3.57,53.02,5.23,3.78,55.49,5.85,7.72,75.46,7.02
Zarya,1.88,51.24,4.2,1.3,55.52,4.22,1.59,51.95,3.87,1.91,51.32,4.03,1.98,50.4,4.23,1.94,50.27,4.47,2.27,51.45,4.76,3.29,53.7,5.16,1.37,63.47,6.14
Bastion,1.38,45.16,2.31,1.39,43.09,2.08,1.98,46.27,2.26,1.7,45.46,2.31,1.21,44.23,2.36,0.81,44.16,2.46,0.54,45.64,2.6,0.34,50.9,2.85,0.2,91.63,3.42
Lúcio,1.35,51.61,2.92,2.62,55.38,2.99,1.89,50.6,2.67,1.43,50.79,2.84,1.07,51.52,3.09,0.89,52.47,3.37,0.76,51.55,3.53,0.62,55.19,3.73,0.22,98.01,6
Mauga,1.51,48.46,3.76,2.15,51.64,4.08,1.76,46.37,3.44,1.64,47.56,3.66,1.42,49.05,3.85,1.13,49.73,4.02,0.94,51.18,4.26,1.2,54.72,4.79,0.6,68.26,6.73
Hanzo,1.73,48.8,2.64,2.24,45.81,2.16,1.9,46.96,2.35,1.65,48.74,2.55,1.63,49.62,2.78,1.69,50.49,2.98,1.73,50.83,3.12,1.41,52.12,3.24,0.7,62.8,3.7
Pharah,1.66,50.17,2.49,2.44,53.98,2.85,2,48.18,2.36,1.75,49.4,2.44,1.5,50.45,2.48,1.29,51.41,2.57,1.23,52.46,2.79,1.28,55.3,3.1,1.82,57.49,3.58
Illari,1.71,52.75,3.13,2.21,55.39,3.04,1.94,51.52,2.7,1.79,52.37,2.98,1.61,53.04,3.3,1.47,53.36,3.6,1.38,52.8,3.76,1.21,52.85,3.96,0.3,66.6,5.48
Doomfist,3.11,52.89,3.22,0.79,47.56,2.73,1.8,52.25,3.07,2.77,52.94,3.17,3.69,53.23,3.22,4.25,52.95,3.25,4.65,52.55,3.41,5.34,54.59,3.83,1.47,65.56,5.16
Venture,1.33,54.27,2.34,1.07,54.45,2.45,1.28,53.58,2.29,1.43,54.02,2.33,1.43,54.45,2.34,1.26,54.75,2.35,1.04,55.54,2.4,0.71,56.81,2.48,0.52,83.5,2.65
Junkrat,1.37,49.41,2.25,1.86,44.01,1.88,1.93,48.54,2.11,1.53,49.89,2.24,1.21,50.54,2.39,0.93,51.5,2.51,0.61,50.92,2.57,0.33,50.91,2.41,0.07,64.43,1.69
