Hero,All Pick Rate,All Win Rate,All KDA,Bronze Pick Rate,Bronze Win Rate,Bronze KDA,Silver Pick Rate,Silver Win Rate,Silver KDA,Gold Pick Rate,Gold Win Rate,Gold KDA,Platinum Pick Rate,Platinum Win Rate,Platinum KDA,Diamond Pick Rate,Diamond Win Rate,Diamond KDA,Master Pick Rate,Master Win Rate,Master KDA,Grandmaster Pick Rate,Grandmaster Win Rate,Grandmaster KDA,Champion Pick Rate,Champion Win Rate,Champion KDA
Ana,6.46,49.08,3.85,3.6,50.79,3.03,4.93,49.51,3.41,6.63,48.96,3.8,8.04,48.73,4.07,8.55,48.78,4.23,8.32,48.78,4.37,7.1,50,4.56,2.71,54.32,4.66
Kiriko,6.95,49.53,4.08,7.46,49.93,3.27,7.42,49.07,3.7,6.85,49.44,4.2,6.64,49.63,4.54,6.54,49.85,4.7,6.33,50.34,4.82,6.06,51.53,5.02,4.33,70.65,6.03
Genji,3.61,52.23,2.17,3.77,55.85,2.39,3.3,50.68,2,3.67,52.04,2.14,3.87,52.17,2.21,3.68,52.26,2.25,3.42,52.12,2.32,2.5,51.7,2.44,0.66,67.06,3.6
Moira,4,51.18,4.52,5.46,50.77,3.7,4.93,50.87,4.12,3.98,51.39,4.71,3.33,51.79,5.26,2.73,51.52,5.56,2.12,50.39,5.67,1.54,51.05,6,0.87,60.88,6.68
Sojourn,2.03,46.09,2.37,1.7,48.98,2.3,1.87,46.01,2.21,1.97,45.26,2.31,2.08,45.47,2.45,2.32,45.69,2.54,2.85,47.19,2.69,3.4,48.88,2.91,2.01,61.28,3.69
Soldier: 76,2.62,49.72,2.44,3.08,52.2,2.54,2.97,48.9,2.32,2.75,48.73,2.41,2.31,49.86,2.51,2.01,50.87,2.62,1.85,51.3,2.72,1.41,52.32,2.87,0.09,56.97,4
Cassidy,4.59,48.62,2.38,2.99,53.4,2.37,3.57,49.47,2.21,4.51,48.35,2.32,5.33,47.49,2.41,6.03,47.52,2.51,6.91,47.92,2.6,7.5,49.11,2.81,4.07,52.94,3.21
Zenyatta,2.35,53.6,4.73,2.36,52.93,3.87,2.27,53.67,4.28,2.36,54.44,4.8,2.54,53.76,5.16,2.4,52.71,5.37,2.05,50.96,5.46,1.45,50.27,5.66,0.49,57.01,6
Reaper,1.98,51.59,2.21,2.59,54.39,2.47,2.23,51,2.15,2.02,51.06,2.16,1.72,50.99,2.18,1.48,50.78,2.21,1.32,51.26,2.27,1.39,55.82,2.44,1.36,65.76,2.98
Juno,2.07,50.7,3.99,2.89,50.01,3.21,2.29,50.07,3.63,1.89,51.07,4.22,1.84,51.41,4.63,1.82,51.22,4.7,1.7,51.48,4.66,1.96,52.49,4.89,2.39,60.66,6.14
Ashe,1.78,51.72,2.75,1.22,52.4,2.57,1.52,51.42,2.58,1.88,51.55,2.75,2.01,51.78,2.84,2.03,51.65,2.88,2.19,52.23,2.95,2.29,53.45,3.14,1.05,66.76,3.64
Ramattra,1.89,48.22,3.14,2.79,51.05,3.19,2.7,47.95,3.05,1.91,47.07,3.13,1.22,47.56,3.25,0.92,47.76,3.34,0.76,48.01,3.43,0.8,48.07,3.66,1.05,40.02,3.5
Mercy,2.48,48.64,3.55,2.99,46.44,2.37,2.27,47.55,2.94,2.29,49.46,3.71,2.55,49.28,4.22,2.64,49.29,4.54,2.69,49.91,4.94,2.66,52.67,5.47,2.39,75.45,7.43
Zarya,1.45,52.63,4.5,0.92,55.04,4.11,1.22,52.27,4.05,1.49,51.83,4.34,1.52,52.01,4.66,1.72,53.02,5,2.23,54.17,5.25,3.3,55.85,5.61,6.83,62.41,6.01
