Hero,All Pick Rate,All Win Rate,All KDA,Bronze Pick Rate,Bronze Win Rate,Bronze KDA,Silver Pick Rate,Silver Win Rate,Silver KDA,Gold Pick Rate,Gold Win Rate,Gold KDA,Platinum Pick Rate,Platinum Win Rate,Platinum KDA,Diamond Pick Rate,Diamond Win Rate,Diamond KDA,Master Pick Rate,Master Win Rate,Master KDA,Grandmaster Pick Rate,Grandmaster Win Rate,Grandmaster KDA,Champion Pick Rate,Champion Win Rate,Champion KDA
Ana,6.17,48.51,3.97,3.6,50.61,3.11,4.74,48.79,3.3,5.46,48.3,3.63,6.51,48.3,4.02,7.57,48.31,4.4,8.1,49.26,4.71,7.22,50.25,4.91,4.16,90.31,4.27
Kiriko,5.01,48.02,4.09,5.59,49.32,3.31,5.73,47.53,3.51,5.23,47.93,3.93,4.81,48.13,4.31,4.56,48.23,4.58,4.45,47.94,4.74,4.52,47.68,4.94,1.66,82.8,10.2
Genji,5.58,53.47,2.36,5.48,59.53,2.63,4.49,52.09,2.18,5.15,52.54,2.27,5.87,53.57,2.36,6.38,54.16,2.44,6.28,53.41,2.52,5.37,55.83,2.75,3.88,63.92,3.93
Moira,2.32,47.78,4.56,3.44,51.2,3.84,3.37,47.95,4.04,2.72,47.95,4.4,2.09,47.18,4.9,1.6,47.09,5.38,1.09,45.68,5.63,0.66,48.2,5.65,0.83,70.33,9.86
Sojourn,3.29,45.62,2.39,2.92,50.13,2.3,3.22,46.04,2.2,3.17,45.49,2.28,3.17,44.9,2.39,3.38,45.67,2.53,4.03,44.98,2.65,5.15,49.69,2.93,6.65,43.71,2.44
Soldier: 76,3.32,49.15,2.56,4.85,53.64,2.6,3.93,48.5,2.37,3.64,48.49,2.5,3.16,49.04,2.59,2.77,49.68,2.74,2.34,49.49,2.85,1.88,50.62,3.04,0.83,45.25,3.5
Cassidy,8.54,48.98,2.35,5.41,54.71,2.38,6.24,49.78,2.13,7.67,49.17,2.23,9.04,48.72,2.35,10.36,48.52,2.46,11.11,48.2,2.55,11.17,48.74,2.7,25.21,80.52,3.82
Zenyatta,3.1,53.56,4.81,2.96,53.68,4.03,3.21,53.52,4.19,3.2,53.54,4.55,3.19,54.04,5.04,3.02,53.32,5.37,2.56,52.24,5.69,2.02,49.24,5.84,N,N,N
Reaper,2.03,56,2.57,3.11,59.62,2.89,2.55,54.43,2.47,2.38,55.55,2.52,1.93,56.13,2.57,1.47,56.35,2.63,0.95,59.7,2.76,0.76,65.68,3.07,3.05,45.45,3.41
Juno,2.48,49.17,3.94,3.28,50.36,3.1,3.01,49.07,3.39,2.61,49.06,3.77,2.33,48.92,4.17,2.14,49.99,4.6,2.12,48.36,4.72,1.78,47.88,4.6,0.28,100,0
