Hero,All Pick Rate,All Win Rate,All KDA,Bronze Pick Rate,Bronze Win Rate,Bronze KDA,Silver Pick Rate,Silver Win Rate,Silver KDA,Gold Pick Rate,Gold Win Rate,Gold KDA,Platinum Pick Rate,Platinum Win Rate,Platinum KDA,Diamond Pick Rate,Diamond Win Rate,Diamond KDA,Master Pick Rate,Master Win Rate,Master KDA,Grandmaster Pick Rate,Grandmaster Win Rate,Grandmaster KDA,Champion Pick Rate,Champion Win Rate,Champion KDA
Ana,8.01,50.46,3.96,4.16,50.62,3.06,6.18,50.52,3.32,7.15,50.36,3.62,8.66,50.39,4.04,10.54,50.46,4.47,11.42,50.65,4.82,9.47,51.79,4.99,4.92,75.8,5.71
Kiriko,6.28,48.96,3.93,6.13,50.89,3.39,6.66,48.43,3.41,6.32,48.55,3.73,6.19,48.96,4.14,6.19,49.32,4.54,6.05,49.75,4.79,5.15,50.71,4.9,2.02,76.02,6.42
Genji,5.53,53.26,2.34,6.64,61.16,2.98,4.95,50.04,2.1,5.25,52.21,2.25,5.74,53.4,2.34,5.88,54.03,2.41,5.59,54.08,2.51,4.69,54.07,2.62,2.42,64.37,2.69
Moira,3.24,49.22,4.45,4,51.62,3.94,4.25,49.4,4,3.72,49.04,4.31,2.97,48.87,4.79,2.27,48.63,5.36,1.46,48.31,5.67,0.68,50.08,6.13,0.66,63.22,7.92
Sojourn,3.41,46.03,2.43,3.72,48.33,2.45,3.7,44.91,2.21,3.4,45.36,2.33,3.18,45.68,2.46,3.27,47.16,2.65,3.69,48.23,2.84,4.44,51.4,3.12,8.61,65.21,3.88
Soldier: 76,4.23,49.92,2.59,6.19,55.19,2.95,4.71,48.19,2.36,4.4,49.25,2.51,4.07,49.58,2.63,3.53,50.48,2.76,2.95,51.49,2.93,2.24,53.35,3.16,1.1,46.64,3.64
Cassidy,5.56,49.82,2.53,4.29,51.72,2.37,4.46,49.24,2.24,4.95,50.23,2.42,5.86,50.01,2.57,6.86,49.16,2.69,7.78,49.04,2.81,8.41,49.45,2.99,20.04,76.66,4.34
Zenyatta,3.42,52.51,4.52,2.3,50.4,3.68,3.42,52.62,4,3.46,53.11,4.3,3.56,52.9,4.73,3.62,51.89,5.16,3.27,50.21,5.4,2.38,49.23,5.64,0.88,77.46,6.58
Reaper,2.16,54.07,2.47,4.31,64.9,3.55,2.72,51.59,2.31,2.38,52.72,2.37,1.91,52.89,2.39,1.35,53.06,2.39,0.83,53.74,2.4,0.55,56.48,2.6,0.22,97.77,3.25
Juno,4.38,50.15,3.77,5.48,52.57,3.47,5.23,49.31,3.25,4.54,49.75,3.58,4.03,50.11,4.02,3.75,50.71,4.55,3.56,51.12,4.94,3.04,53.48,5.23,2.94,85.46,4.92
Ashe,2.7,51.47,2.79,1.52,44.17,2.21,2.25,50.55,2.57,2.59,51.6,2.72,2.91,52.12,2.87,3.15,51.97,2.95,3.31,52.11,3.01,3.42,53.55,3.2,2.55,57.32,3.59
Ramattra,2.42,50.33,3.49,2.63,53.93,3.71,2.95,49.87,3.32,2.91,49.71,3.43,2.27,50.09,3.55,1.64,51.16,3.68,1.24,52.6,3.86,1.15,52.6,4.07,0.35,89.66,6.95
Mercy,2.56,49.86,3.47,3.87,49.75,2.61,2.45,45.74,2.54,2.1,48.45,3.05,2.4,50.96,3.8,2.99,51.91,4.57,3.48,52.89,5.22,3.7,55.75,5.91,8.04,76.54,6.73
Zarya,1.91,51.2,4.2,1.34,55.59,4.2,1.62,51.95,3.88,1.93,51.25,4.02,2,50.32,4.23,1.96,50.31,4.48,2.31,51.42,4.77,3.38,53.96,5.18,0.92,58.22,5.54
Bastion,1.37,45.13,2.31,1.39,43.23,2.08,1.97,46.35,2.26,1.69,45.33,2.31,1.21,44.32,2.36,0.81,43.86,2.45,0.55,45.45,2.6,0.32,49.19,2.78,0.31,98.93,3.56
Lúcio,1.37,51.71,2.93,2.63,55.37,2.99,1.91,50.8,2.68,1.46,50.96,2.85,1.09,51.58,3.09,0.9,52.5,3.37,0.77,51.45,3.56,0.61,54.34,3.61,0.26,94.6,2.86
Mauga,1.54,48.5,3.77,2.18,51.34,4.04,1.79,46.64,3.46,1.68,47.67,3.67,1.46,49.08,3.87,1.18,49.63,4.04,0.97,50.99,4.25,1.24,54.79,4.83,0.66,55.88,5.58
Hanzo,1.62,48.49,2.62,2.16,45.79,2.15,1.8,46.72,2.32,1.55,48.39,2.53,1.52,49.23,2.76,1.56,50.28,2.96,1.61,50.66,3.11,1.29,50.78,3.17,0.7,61.97,3.91
Pharah,1.69,50.28,2.51,2.43,53.73,2.83,2.03,48.29,2.37,1.78,49.56,2.45,1.54,50.69,2.5,1.34,51.48,2.59,1.3,52.49,2.81,1.41,55.49,3.11,2.46,61.27,3.65
Illari,1.61,52.54,3.11,2.16,55.46,3.04,1.85,51.33,2.7,1.7,52.12,2.95,1.51,52.88,3.28,1.35,53.02,3.59,1.23,52.68,3.77,1.09,52.45,3.93,0.13,100,6
Doomfist,3.1,52.83,3.22,0.78,47.61,2.74,1.79,52.3,3.07,2.73,52.89,3.16,3.67,53.11,3.22,4.27,52.93,3.25,4.73,52.35,3.4,5.46,54.52,3.81,1.76,63.21,5.06
Venture,1.35,54.26,2.34,1.08,54.54,2.46,1.3,53.7,2.29,1.45,53.87,2.33,1.46,54.5,2.35,1.28,54.79,2.36,1.05,55.46,2.41,0.72,56.89,2.47,0.62,82.76,2.87
