Hero,All Pick Rate,All Win Rate,All KDA,Bronze Pick Rate,Bronze Win Rate,Bronze KDA,Silver Pick Rate,Silver Win Rate,Silver KDA,Gold Pick Rate,Gold Win Rate,Gold KDA,Platinum Pick Rate,Platinum Win Rate,Platinum KDA,Diamond Pick Rate,Diamond Win Rate,Diamond KDA,Master Pick Rate,Master Win Rate,Master KDA,Grandmaster Pick Rate,Grandmaster Win Rate,Grandmaster KDA,Champion Pick Rate,Champion Win Rate,Champion KDA
Ana,7.26,49.31,3.96,3.89,55.28,3.42,5.36,49.55,3.34,6.67,49.48,3.71,7.75,49.01,4,8.8,48.85,4.26,9.47,49.07,4.52,8.39,50.1,4.67,3.33,50.73,5.35
Kiriko,7.75,50.1,4.21,6.22,52.02,3.41,8.02,50.06,3.69,8.1,49.76,4.05,7.77,50.05,4.37,7.54,50.26,4.59,7.53,50.25,4.76,6.84,50.06,4.9,5.16,79.39,8.31
Genji,5.66,53.01,2.35,6.07,63.79,3.05,4.77,51.13,2.12,5.26,52.02,2.25,5.96,52.66,2.32,6.31,52.93,2.4,6.1,53.21,2.55,4.97,52.6,2.68,3.91,45.14,2.29
Moira,2.53,48.42,4.4,3.73,51.62,3.68,3.81,48.51,3.92,2.97,47.75,4.31,2.28,48.33,4.79,1.65,48.09,5.21,1.11,47.68,5.38,0.56,50.7,5.67,0.08,100,3.5
Sojourn,2.57,45.27,2.3,2.67,50.57,2.33,2.98,44.4,2.09,2.6,43.82,2.17,2.37,44.82,2.33,2.42,45.71,2.47,2.57,47.65,2.64,3.06,51.85,2.97,3.41,48.42,3.32
Soldier: 76,3.48,49.63,2.5,5.27,56.5,2.75,4.32,48.51,2.32,3.75,48.47,2.41,3.29,48.86,2.51,2.84,49.96,2.65,2.37,51.86,2.84,1.84,51.45,3.06,1,63.75,4.13
Cassidy,6.1,47.81,2.34,4.54,57.78,2.56,4.66,49.05,2.11,5.46,47.86,2.22,6.4,46.94,2.32,7.25,46.57,2.44,7.87,47.26,2.57,8.29,48.83,2.75,8.83,58.61,3.29
Zenyatta,2.21,52.82,4.59,2.78,55.25,3.95,2.56,53.62,4.13,2.27,52.47,4.39,2.19,53.32,4.82,2.01,51.78,5.12,1.73,50.77,5.35,1.22,45.2,5.32,0.08,0,2.5
Reaper,3.13,54.94,2.45,3.6,62.48,3.12,3.39,54.19,2.41,3.37,54.4,2.41,3.15,54.43,2.41,2.79,54.72,2.44,2.33,54.76,2.48,2.14,57.52,2.66,5.5,61.02,2.79
Juno,1.85,50.29,3.7,3.21,51.68,3.1,2.87,49.8,3.34,2.09,49.74,3.66,1.45,50.29,4,1.26,50.98,4.32,1.2,52.45,4.45,1.29,53.38,4.21,1.75,63.86,4.18
Ashe,2.24,51.2,2.76,1.93,54.95,2.7,2.13,50.93,2.54,2.24,51.29,2.7,2.32,50.65,2.79,2.32,51.22,2.86,2.25,51.38,2.92,1.93,51.26,3.04,1.92,61.06,2.83
Ramattra,1.36,48.42,3.26,2.04,54.44,3.48,2.04,47.99,3.15,1.69,47.77,3.24,1.2,47.73,3.29,0.79,49.01,3.35,0.62,45.87,3.32,0.54,48.42,3.61,N,N,N
Mercy,2.65,50.42,3.91,3.45,49.53,2.52,2.45,48.16,2.92,2.5,50.69,3.63,2.62,50.62,4.22,2.71,51.05,4.78,2.85,50.77,5.22,3.21,54.6,5.9,0.92,79.8,8.23
Zarya,1.71,51.24,4.24,1.16,54.52,4.02,1.45,51.57,3.83,1.59,50.22,3.95,1.74,50.04,4.2,1.77,51.56,4.51,2.26,53.31,4.91,3.74,55.45,5.37,5.75,52.95,5.18
Bastion,1.51,47.56,2.53,2.55,52.93,2.7,2.41,47.43,2.38,1.84,46.88,2.47,1.23,45.76,2.6,0.9,47.78,2.73,0.64,51.09,3.01,0.42,51.57,2.95,N,N,N
Lúcio,1.16,53.26,3.1,2.26,54.2,2.63,1.71,53,2.86,1.24,53.34,3.09,0.94,53.3,3.24,0.82,52.61,3.48,0.8,53.19,3.63,0.72,52.65,3.89,0.42,99.3,3.73
Mauga,1.29,48.81,3.87,1.73,49.4,3.74,1.5,47.19,3.49,1.37,47.74,3.73,1.26,48.94,3.96,1.07,50.41,4.24,0.96,53.22,4.45,0.98,53.4,4.92,5.91,53.36,5.07
Hanzo,2.85,50.1,2.85,3.22,58.37,3.05,2.7,49.37,2.52,2.69,49.54,2.72,2.76,49.31,2.86,3.03,49.74,3.01,3.25,49.86,3.15,3.33,54.03,3.46,2.58,61.04,3.4
Pharah,1.42,50.79,2.49,1.85,53.72,2.67,1.7,50.28,2.4,1.48,49.97,2.41,1.33,51.08,2.49,1.27,51.2,2.54,1.15,50.39,2.71,0.96,51.01,2.83,2.83,64.49,3.02
Illari,1.04,51.98,3.1,1.61,54.82,2.67,1.37,51.51,2.73,1.11,51.78,3.03,0.92,51.8,3.23,0.83,52.59,3.49,0.77,50.18,3.58,0.81,52.36,3.73,0.33,77.31,5
Doomfist,3.97,51.72,3.09,1.74,58.88,3.32,2.27,53.01,2.96,3.44,52.16,3.03,4.57,51.29,3.03,5.1,50.88,3.1,5.31,51.36,3.33,5.31,53.1,3.6,3.66,53.38,3.76
Venture,1.72,54.21,2.28,0.95,58.08,2.62,1.54,56.01,2.31,1.82,53.9,2.26,1.85,53.62,2.25,1.77,53.84,2.29,1.6,53.32,2.3,1.39,55.54,2.57,0.58,73.42,3.3
Junkrat,1.24,50.65,2.33,1.88,55.24,2.43,1.76,49.87,2.14,1.38,49.96,2.26,1.13,50.71,2.41,0.93,50.53,2.51,0.63,51.89,2.6,0.39,46.79,2.5,N,N,N
Sigma,1.9,53.08,3.95,1.63,57.12,3.93,2.12,52.96,3.71,2.13,52.75,3.87,1.93,53.11,4.04,1.63,52.76,4.12,1.46,52.64,4.27,1.57,52.58,4.51,2.66,51.54,4.16
Brigitte,1.36,50.08,3.66,1.04,52.2,2.67,1.31,51.73,3.17,1.4,50.61,3.44,1.41,49.66,3.79,1.39,49.1,4.14,1.31,48.25,4.3,1.16,48.15,4.58,0.42,85.66,8.57
Widowmaker,1.47,47.28,2.33,2.3,55.11,2.92,1.45,45.36,2.16,1.32,46.03,2.22,1.36,46.76,2.28,1.45,47.72,2.32,1.68,45.83,2.42,2.45,48.5,2.78,4.58,46.04,2.6
