Hero,All Pick Rate,All Win Rate,All KDA,Bronze Pick Rate,Bronze Win Rate,Bronze KDA,Silver Pick Rate,Silver Win Rate,Silver KDA,Gold Pick Rate,Gold Win Rate,Gold KDA,Platinum Pick Rate,Platinum Win Rate,Platinum KDA,Diamond Pick Rate,Diamond Win Rate,Diamond KDA,Master Pick Rate,Master Win Rate,Master KDA,Grandmaster Pick Rate,Grandmaster Win Rate,Grandmaster KDA,Champion Pick Rate,Champion Win Rate,Champion KDA
Ana,7.35,49.66,4.01,4,52.62,3.22,5.29,49.98,3.4,6.7,49.7,3.76,8.23,49.46,4.1,9.21,49.47,4.36,9.3,49.33,4.54,7.86,50.27,4.68,6.41,66.8,5.05
Kiriko,5.84,48.35,4.05,5.65,50.14,3.21,6,48.23,3.5,5.85,48.23,3.92,5.81,48.28,4.28,5.86,48.28,4.49,5.75,47.98,4.61,5.62,49.82,4.79,2.84,60.14,5.56
Genji,3.34,49.79,2.17,4.42,58.54,2.53,3.13,47.42,1.95,3.11,49.31,2.12,3.41,49.77,2.2,3.57,49.54,2.21,3.35,48.98,2.27,2.66,49.66,2.4,0.62,65.61,3.1
Moira,3.34,49.65,4.61,4.64,51.12,3.78,4.71,49.7,4.1,3.94,49.67,4.59,3.02,49.58,5.03,2.14,48.9,5.38,1.46,48.56,5.63,0.78,48,5.78,0.77,56.07,6.8
Sojourn,2.66,45.77,2.43,2.75,49.09,2.32,2.81,45.39,2.21,2.55,44.77,2.31,2.41,45.03,2.46,2.7,46.34,2.6,3.27,47.33,2.72,4.05,49.86,3.01,3.59,58.12,3.35
Soldier: 76,3.09,48.88,2.48,4.3,52.38,2.53,3.83,48.27,2.35,3.37,47.92,2.43,2.87,48.69,2.52,2.42,49.69,2.65,2.18,50.49,2.78,1.64,52.77,3.02,1.02,60.79,3.03
Cassidy,5.37,47.52,2.42,3.92,54.24,2.38,4.17,47.87,2.18,4.85,47.74,2.34,5.69,46.9,2.44,6.45,46.58,2.53,7.11,47.25,2.65,7.23,48.63,2.84,4.94,57.74,3.27
Zenyatta,2.66,53.46,4.8,2.9,54.11,3.94,2.8,53.3,4.23,2.74,53.8,4.66,2.72,53.9,5.09,2.55,53.1,5.35,2.16,50.94,5.43,1.64,50.69,5.62,0.7,60.12,5.1
Reaper,2.36,52.83,2.38,2.99,57.19,2.64,2.93,52.09,2.34,2.68,52.7,2.36,2.23,52.43,2.37,1.79,52.87,2.38,1.38,53.18,2.39,1.12,54.08,2.49,3.27,56.91,3.36
Juno,2.83,50.59,3.98,3.9,51.04,3.12,3.42,49.64,3.43,2.87,50.5,3.9,2.56,51.01,4.34,2.49,51.16,4.66,2.46,51,4.74,2.25,50.38,4.83,1.07,63.89,4.97
Ashe,3.31,51.96,2.93,2.2,53.19,2.71,2.68,51.54,2.71,3.1,51.49,2.87,3.46,51.92,2.97,3.8,52.06,3.03,4.3,52.74,3.06,4.97,54.46,3.24,3.99,61.96,3.63
Ramattra,1.72,48.2,3.32,2.3,51.93,3.33,2.4,48.84,3.25,2.05,47.85,3.3,1.49,47.27,3.36,1.11,47.37,3.4,0.88,47.12,3.48,0.88,48.03,3.6,1.15,48.57,3.35
Mercy,2.76,49.8,3.85,3.72,47.17,2.41,2.61,47.82,2.89,2.52,49.65,3.59,2.72,50.39,4.23,2.89,50.74,4.79,3.05,50.84,5.31,3.39,54.5,6.14,3.12,75.44,7.01
