Hero,All Pick Rate,All Win Rate,All KDA,Bronze Pick Rate,Bronze Win Rate,Bronze KDA,Silver Pick Rate,Silver Win Rate,Silver KDA,Gold Pick Rate,Gold Win Rate,Gold KDA,Platinum Pick Rate,Platinum Win Rate,Platinum KDA,Diamond Pick Rate,Diamond Win Rate,Diamond KDA,Master Pick Rate,Master Win Rate,Master KDA,Grandmaster Pick Rate,Grandmaster Win Rate,Grandmaster KDA,Champion Pick Rate,Champion Win Rate,Champion KDA
Ana,8.08,50.52,3.96,4.08,50.75,3.04,6.21,50.51,3.31,7.14,50.38,3.6,8.74,50.51,4.03,10.74,50.5,4.47,11.54,50.76,4.81,9.56,51.45,5,5.47,78.46,5.17
Kiriko,6.32,48.93,3.91,5.95,51.82,3.43,6.7,48.07,3.36,6.36,48.41,3.68,6.25,48.95,4.12,6.28,49.34,4.55,6.15,49.79,4.79,5.3,51.12,4.87,3.4,68.92,5.9
Genji,5.49,53.41,2.33,7.19,62.9,3.11,5.08,49.49,2.06,5.24,52.07,2.23,5.56,53.46,2.32,5.68,54.07,2.4,5.34,54.01,2.49,4.7,54.89,2.69,2.07,73.19,3.02
Moira,3.35,49.26,4.42,4.04,52.5,3.98,4.38,49.31,3.96,3.89,49.16,4.27,3.09,48.71,4.74,2.35,48.6,5.33,1.49,48,5.67,0.65,50.55,6.33,N,N,N
Sojourn,3.58,46.61,2.45,3.7,49.96,2.54,3.76,45.48,2.21,3.52,45.56,2.32,3.35,46.18,2.47,3.54,47.82,2.68,4.14,48.6,2.87,5.18,52.15,3.19,15.38,62.7,3.69
Soldier: 76,4.25,50.17,2.6,6.28,56.42,3.02,4.8,48.24,2.35,4.42,49.33,2.5,4.07,49.83,2.63,3.52,50.36,2.75,2.98,51.26,2.91,2.3,53.44,3.18,1.04,29.39,3.71
Cassidy,5.45,49.98,2.53,4.23,52.99,2.46,4.33,49.17,2.23,4.82,50.34,2.42,5.74,50.24,2.57,6.72,49.3,2.69,7.65,48.81,2.8,8.24,49.78,3.02,23.37,75.64,4.34
Zenyatta,3.32,52.59,4.52,2.13,50.23,3.65,3.3,52.7,3.97,3.36,53.09,4.28,3.48,53.11,4.72,3.55,51.97,5.15,3.28,50.66,5.43,2.47,50.05,5.73,1.18,58.6,4.92
Reaper,2.32,54.75,2.5,4.79,66.4,3.73,2.95,51.78,2.31,2.54,53.23,2.39,2.03,53.34,2.4,1.44,53.07,2.39,0.93,54.3,2.4,0.62,54.59,2.55,0.3,95.62,2
Juno,4.5,50.37,3.8,5.1,53.53,3.53,5.23,49.71,3.26,4.58,49.8,3.57,4.27,50.15,4.02,4.08,50.91,4.58,3.95,51.33,4.94,3.2,52.51,5.24,2.37,98.31,4.48
Ashe,2.65,51.51,2.8,1.4,44.11,2.21,2.16,50.38,2.56,2.54,51.87,2.73,2.89,52.2,2.87,3.13,51.56,2.93,3.35,52.18,3,3.66,54.46,3.24,2.96,45.06,3.58
Ramattra,2.55,50.5,3.49,2.73,54.81,3.81,3.07,49.7,3.31,3.1,49.9,3.41,2.42,50.16,3.54,1.74,51.56,3.68,1.34,52.76,3.88,1.25,53.83,4.13,0.59,80.21,7.1
Mercy,2.64,49.93,3.45,4.01,50.61,2.62,2.54,45.49,2.49,2.15,48.47,3.02,2.43,50.81,3.75,3.07,52.08,4.56,3.5,53.13,5.25,3.71,55.58,5.92,0.89,19.02,2.22
Zarya,1.96,51.52,4.23,1.36,56.85,4.35,1.69,52.36,3.92,2,51.39,4.04,2.05,50.63,4.25,2.02,50.5,4.51,2.35,51.83,4.79,3.41,54.22,5.2,0.3,100,3
Bastion,1.31,44.86,2.29,1.22,42.99,2.07,1.85,46.13,2.23,1.62,45,2.28,1.18,43.97,2.35,0.79,43.98,2.42,0.56,45.49,2.59,0.32,51.84,2.73,0.3,88.68,0
Lúcio,1.42,51.89,2.94,2.75,56.08,3.03,1.97,50.85,2.65,1.52,50.88,2.84,1.14,51.91,3.13,0.93,51.97,3.42,0.8,52.61,3.57,0.63,54.67,3.48,0.3,100,0
Mauga,1.57,48.73,3.78,2.28,52.25,4.19,1.83,46.67,3.45,1.72,47.75,3.67,1.45,48.95,3.83,1.18,50.35,4.03,0.99,51.33,4.28,1.32,54.91,4.83,1.63,67.15,6.51
Hanzo,1.59,48.19,2.57,2.16,45.75,2.12,1.81,45.85,2.25,1.51,48.01,2.48,1.47,49.13,2.72,1.51,50.49,2.93,1.57,50.33,3.11,1.24,49.28,3.16,0.89,82.4,6.43
Pharah,1.73,50.62,2.53,2.55,54.36,2.89,2.03,48.1,2.35,1.81,49.64,2.46,1.56,50.96,2.51,1.4,52.11,2.61,1.44,53.39,2.88,1.7,58.3,3.21,3.99,53.43,3.57
Illari,1.44,51.87,3.02,2.14,55.65,3.01,1.73,50.99,2.64,1.55,51.4,2.87,1.33,52.04,3.19,1.08,51.77,3.49,0.89,51.01,3.71,0.71,52.35,3.87,N,N,N
Doomfist,3.09,52.88,3.2,0.73,47.08,2.76,1.76,52.06,3.05,2.73,52.92,3.15,3.68,53.3,3.2,4.24,52.97,3.23,4.67,52.28,3.35,5.31,54.81,3.85,2.37,57.06,5.24
Venture,1.35,54.53,2.34,1.09,54.62,2.46,1.29,54.02,2.29,1.44,54.46,2.35,1.46,54.36,2.34,1.29,55.26,2.35,1.08,54.99,2.39,0.76,59.99,2.63,1.04,82.62,2.81
Junkrat,1.28,49.25,2.24,1.71,43.92,1.88,1.8,47.87,2.08,1.43,49.88,2.22,1.13,50.38,2.38,0.89,51.99,2.52,0.59,50.55,2.55,0.31,46.64,2.28,0.3,50,1.78
Sigma,1.81,51.13,3.79,0.97,48.22,3.3,1.83,50.92,3.58,2.07,50.7,3.71,1.92,51.59,3.9,1.61,51.73,4.04,1.45,52.29,4.15,1.69,55.47,4.49,0.59,19.46,4.45
Brigitte,2.29,51.87,3.77,0.95,50.9,2.9,1.94,52.81,3.22,2.3,52.26,3.47,2.48,51.66,3.86,2.67,51.23,4.37,2.71,51.43,4.73,2.32,51.85,5.05,2.22,70.51,5.18
Widowmaker,1.5,49.55,2.3,3.05,61.86,3.55,1.45,44.22,1.94,1.28,46.34,2.1,1.3,48.38,2.19,1.48,49.43,2.24,1.83,49.01,2.32,2.48,50.42,2.5,4.14,57.44,2.7
Lifeweaver,1.78,49.21,4.04,1.82,51.3,3.33,1.93,48.91,3.48,1.94,49.45,3.89,1.85,49.37,4.33,1.51,48.4,4.78,1.14,47.31,5.03,0.66,46.03,4.86,N,N,N
Sombra,2.15,51.04,3.33,0.93,45.25,2.64,1.84,50.75,3.13,2.17,51.42,3.29,2.38,51.41,3.39,2.48,51.09,3.44,2.31,50.69,3.51,1.93,49.72,3.68,0.59,42.42,4.22
D.VA,1.53,48.78,5.16,2.43,51.17,5.2,1.84,46.14,4.52,1.55,47.67,4.94,1.33,49.6,5.41,1.23,51.48,5.91,1.35,51.13,6.34,1.83,51.35,6.87,0.44,83.1,4.33
Torbjörn,0.94,54.92,2.57,1.36,57.65,2.94,1.16,54.93,2.42,1.03,55.6,2.52,0.85,54.04,2.6,0.72,53.68,2.66,0.62,52.95,2.69,0.45,49.9,2.5,0.15,100,0
Tracer,1.46,51.52,2.25,2.16,61.24,2.98,1.2,47.69,1.95,1.18,50.04,2.12,1.36,51.05,2.22,1.71,51.38,2.3,2.31,52.14,2.41,3.06,53.66,2.68,5.47,68.41,3.28
Orisa,1.56,46.62,3.53,1.7,50.14,3.62,1.79,46.49,3.28,1.76,46.35,3.45,1.51,45.81,3.61,1.2,46.5,3.8,0.96,47.37,4.09,1.2,54.8,4.75,0.3,44.93,2
Hazard,1.36,50.09,3.4,0.96,55.22,3.69,1.13,49.7,3.21,1.38,49.39,3.28,1.48,49.7,3.39,1.44,50.88,3.54,1.44,50.88,3.75,2.14,49.63,4.07,2.07,64.43,5.83
Winston,1.5,50.91,3.3,1.19,56.37,3.45,1.15,49.24,2.98,1.39,50.25,3.15,1.62,50.6,3.3,1.7,51.5,3.49,1.96,51.76,3.77,2.37,52.83,4.34,1.18,79.32,6.52
Reinhardt,0.98,50.84,2.39,1.53,54.86,2.54,1.11,48.41,2.15,1.03,49.76,2.31,0.93,50.95,2.46,0.78,53.01,2.59,0.63,53.29,2.71,0.66,51.87,2.73,N,N,N
Junker Queen,1,52.84,4.34,0.84,57.23,4.57,0.95,51.61,3.99,1.11,52.82,4.26,1.07,52.78,4.43,0.89,53,4.54,0.76,52.14,4.69,0.74,52.9,4.71,N,N,N
Baptiste,1.36,48.66,3.6,0.82,46.66,2.77,1.33,48.94,3.12,1.41,48.62,3.38,1.44,48.76,3.75,1.41,48.53,4.18,1.27,48.81,4.49,1.01,52.77,4.87,N,N,N
Mei,1.09,55.21,3.29,0.63,48.16,2.76,1.07,55.26,3.29,1.18,55.76,3.33,1.18,55.42,3.32,1.05,55.4,3.27,0.85,55.34,3.25,0.7,53.27,3.29,N,N,N
