Hero,All Pick Rate,All Win Rate,All KDA,Bronze Pick Rate,Bronze Win Rate,Bronze KDA,Silver Pick Rate,Silver Win Rate,Silver KDA,Gold Pick Rate,Gold Win Rate,Gold KDA,Platinum Pick Rate,Platinum Win Rate,Platinum KDA,Diamond Pick Rate,Diamond Win Rate,Diamond KDA,Master Pick Rate,Master Win Rate,Master KDA,Grandmaster Pick Rate,Grandmaster Win Rate,Grandmaster KDA,Champion Pick Rate,Champion Win Rate,Champion KDA
Ana,4.9,48.42,3.88,3.07,50.96,3.08,3.65,48.52,3.31,4.61,48.24,3.69,5.54,48.07,3.99,6.07,48.33,4.25,6.25,48.81,4.45,5.6,49.57,4.61,4.32,74.59,5.72
Kiriko,4.03,47.76,4.05,4.83,49,3.24,4.65,47.36,3.54,4.12,47.35,4.03,3.71,47.71,4.37,3.59,47.88,4.6,3.46,49.29,4.76,3.32,50.28,4.94,2.85,70.16,6.67
Genji,2.71,51.02,2.17,3.61,55.85,2.35,2.57,48.54,1.94,2.51,50.41,2.11,2.74,51.54,2.22,2.9,51.42,2.28,2.72,50.85,2.34,2.13,52.51,2.52,0.62,58.08,3.52
Moira,2.02,48.92,4.49,3.42,49.91,3.72,3.11,48.72,4.05,2.22,48.59,4.54,1.59,49.05,5.12,1.09,48.91,5.51,0.77,49.93,5.7,0.47,48.19,5.98,0.28,24.94,2.25
Sojourn,2.17,46.23,2.49,2.06,48.73,2.33,2.13,45.27,2.25,2.01,44.98,2.38,2.02,46.13,2.53,2.33,47.4,2.7,2.95,47.38,2.83,3.41,50.54,2.98,1.61,49.69,2.85
Soldier: 76,3.14,49.58,2.54,4,52.52,2.55,3.7,48.34,2.38,3.36,48.73,2.48,2.91,49.86,2.61,2.55,50.61,2.73,2.25,51.43,2.88,1.95,52.99,3.03,0.81,63.54,3.4
Cassidy,4.63,49.05,2.53,3.37,53.8,2.4,3.51,49.04,2.26,4.19,48.87,2.43,5.02,48.66,2.58,5.83,48.64,2.67,6.37,48.95,2.78,6.71,49.42,2.94,6.51,72.42,4.45
Zenyatta,1.73,53.42,4.79,2.31,53.39,4,1.98,52.93,4.29,1.78,53.75,4.75,1.65,53.93,5.14,1.46,52.92,5.41,1.24,52.7,5.62,0.98,51.17,5.89,0.24,84.58,9.86
Reaper,1.85,54.2,2.49,2.56,56.45,2.68,2.33,52.78,2.41,2.02,53.48,2.43,1.67,54.63,2.5,1.35,55.36,2.58,1.07,57.92,2.66,0.89,60.08,2.84,6.79,62.15,3.43
Juno,2.17,50.57,4.09,3.64,50.64,3.28,2.87,49.46,3.55,2.12,50.03,4.09,1.77,51.69,4.63,1.7,51.77,4.98,1.63,51.91,5.07,1.77,53.37,5.37,1.33,87.26,8.59
Ashe,2.38,52.42,2.97,1.76,52.69,2.7,1.99,51.09,2.72,2.31,52.19,2.93,2.55,52.65,3.04,2.7,52.88,3.09,2.85,53.56,3.18,3.08,54.55,3.34,2.28,40.5,3.31
Ramattra,1.43,47.31,3.14,2.04,50.19,3.2,2.14,47.46,3.05,1.67,46.85,3.09,1.12,46.74,3.23,0.8,46.59,3.33,0.62,46.16,3.44,0.5,46.19,3.71,0.33,14.13,3.84
Mercy,2.7,49.97,3.98,3.26,46.33,2.46,2.44,47.74,2.98,2.47,49.73,3.83,2.71,51.04,4.48,2.99,51.51,4.95,3.05,50.93,5.34,3.33,54.39,6.1,6.08,72.68,7.23
Zarya,1.07,48,4.12,0.8,51.11,3.81,0.92,48.41,3.71,1.02,47.24,3.87,1.08,47.18,4.17,1.16,48.02,4.49,1.47,48.64,4.75,2.1,51.46,5.15,3.56,59.93,5.72
Bastion,2.14,48.07,2.64,2.8,51.28,2.62,2.89,48.37,2.53,2.36,47.25,2.59,1.85,47.19,2.74,1.49,48.14,2.84,1.22,48.37,2.95,1.01,52.43,3.22,1.42,56.32,3.98
Lúcio,0.83,50.57,2.86,1.78,52.05,2.5,1.19,49.28,2.64,0.78,50.49,2.91,0.63,50.74,3.12,0.55,52.15,3.27,0.58,52,3.47,0.56,48.43,3.28,0.47,99.84,9.55
