Hero,All Pick Rate,All Win Rate,All KDA,Bronze Pick Rate,Bronze Win Rate,Bronze KDA,Silver Pick Rate,Silver Win Rate,Silver KDA,Gold Pick Rate,Gold Win Rate,Gold KDA,Platinum Pick Rate,Platinum Win Rate,Platinum KDA,Diamond Pick Rate,Diamond Win Rate,Diamond KDA,Master Pick Rate,Master Win Rate,Master KDA,Grandmaster Pick Rate,Grandmaster Win Rate,Grandmaster KDA,Champion Pick Rate,Champion Win Rate,Champion KDA
Ana,6.46,49.11,3.85,3.6,50.86,3.03,4.94,49.56,3.41,6.63,49,3.8,8.04,48.74,4.07,8.56,48.8,4.23,8.33,48.76,4.37,7.12,50.06,4.56,2.68,53.75,4.63
Kiriko,6.93,49.51,4.08,7.42,49.9,3.26,7.4,49.05,3.7,6.82,49.42,4.2,6.62,49.6,4.54,6.52,49.83,4.69,6.32,50.33,4.82,6.04,51.57,5.03,4.31,69.97,5.95
Genji,3.61,52.21,2.17,3.78,55.84,2.39,3.3,50.66,2,3.67,52.02,2.14,3.88,52.19,2.21,3.68,52.22,2.25,3.43,52,2.32,2.51,51.66,2.44,0.66,68.92,3.76
Moira,4,51.16,4.51,5.47,50.8,3.7,4.94,50.86,4.12,3.98,51.36,4.71,3.33,51.78,5.25,2.73,51.49,5.56,2.13,50.3,5.67,1.53,51.14,6,0.92,64.35,7.16
Sojourn,2.03,46.1,2.37,1.7,49,2.3,1.86,46.01,2.21,1.97,45.29,2.31,2.08,45.47,2.45,2.32,45.69,2.54,2.85,47.23,2.69,3.41,49,2.92,2.06,63.89,3.75
Soldier: 76,2.63,49.72,2.44,3.1,52.32,2.55,2.99,48.85,2.32,2.76,48.69,2.4,2.32,49.88,2.51,2.03,50.79,2.62,1.86,51.38,2.72,1.42,52.41,2.88,0.11,68.84,3.65
Cassidy,4.59,48.61,2.38,2.99,53.44,2.37,3.57,49.46,2.21,4.52,48.33,2.32,5.34,47.48,2.41,6.04,47.48,2.51,6.91,47.91,2.6,7.52,49.12,2.81,4.1,52.63,3.23
Zenyatta,2.36,53.6,4.72,2.37,53.11,3.87,2.28,53.66,4.28,2.37,54.38,4.8,2.54,53.76,5.16,2.41,52.72,5.37,2.05,51,5.46,1.45,50.25,5.67,0.48,57.01,6
Reaper,1.99,51.62,2.21,2.6,54.46,2.48,2.24,51.01,2.15,2.03,51.1,2.16,1.72,50.99,2.18,1.49,50.88,2.22,1.32,51.24,2.27,1.38,55.71,2.43,1.37,64.98,2.98
Juno,2.07,50.69,4.01,2.89,50.03,3.23,2.29,50.07,3.65,1.88,51.07,4.23,1.84,51.39,4.64,1.82,51.19,4.71,1.69,51.42,4.67,1.96,52.35,4.9,2.34,60.66,6.14
Ashe,1.79,51.74,2.75,1.23,52.47,2.57,1.53,51.41,2.58,1.89,51.6,2.74,2.02,51.79,2.83,2.04,51.64,2.87,2.19,52.31,2.94,2.31,53.56,3.13,1.05,67.94,3.51
Ramattra,1.89,48.25,3.14,2.79,51.15,3.2,2.7,47.98,3.05,1.91,47.07,3.13,1.21,47.63,3.25,0.92,47.68,3.34,0.77,47.94,3.43,0.79,48.01,3.66,1.08,40.4,3.54
Mercy,2.48,48.66,3.54,2.99,46.44,2.37,2.27,47.57,2.94,2.29,49.51,3.72,2.55,49.29,4.22,2.64,49.33,4.54,2.7,49.85,4.94,2.67,52.86,5.47,2.34,75.45,7.43
Zarya,1.45,52.65,4.5,0.91,54.93,4.11,1.22,52.32,4.06,1.49,51.85,4.34,1.53,52.03,4.66,1.72,53.08,5,2.23,54.17,5.25,3.29,55.9,5.61,6.8,63.02,6.05
Bastion,1.8,47.2,2.5,2.7,49.75,2.5,2.43,47.36,2.42,1.84,45.89,2.5,1.24,45.83,2.59,0.96,45.58,2.67,0.79,47.68,2.77,0.72,48.45,3.01,0.32,60.78,3.91
Lúcio,0.71,50.72,2.63,1.44,53.1,2.27,0.82,50,2.52,0.58,50.26,2.79,0.53,49.13,2.92,0.54,49.19,3.06,0.54,47.79,3.07,0.5,51.16,3.35,0.14,5.33,0
Mauga,1.72,49.26,3.91,1.92,48.45,3.6,1.81,47.7,3.67,1.73,49.16,3.92,1.62,50.39,4.15,1.54,51.77,4.3,1.53,52.04,4.45,1.65,52.38,4.73,14.96,67.76,6.11
Hanzo,2.16,50.25,2.82,2.03,53.47,2.72,1.95,50,2.6,2.13,49.94,2.79,2.32,49.61,2.92,2.34,49.51,3.03,2.51,50.4,3.15,2.23,52.42,3.36,0.98,65.28,3.61
Pharah,1.34,52.37,2.59,1.19,52.79,2.64,1.33,51.9,2.53,1.35,52.16,2.53,1.36,52.73,2.6,1.4,52.66,2.68,1.41,52.46,2.86,1.5,54.39,3.15,1.4,57.06,3.7
Illari,1.07,50.42,3.15,1.32,50.26,2.58,1.16,50.57,2.93,1.01,51.1,3.26,0.99,49.94,3.41,1.01,49.81,3.47,1,49.77,3.51,0.99,48.09,3.59,0.48,50.5,3.85
Doomfist,3.09,51.85,3.15,1.58,54,3.06,2.17,51.84,2.98,3.07,52.05,3.07,3.99,51.61,3.15,4.4,51.36,3.27,4.39,51.43,3.44,4.46,52.63,3.73,4.81,62.76,4.34
Venture,0.65,53.24,2.16,0.44,54.44,2.23,0.61,53.59,2.16,0.73,53.02,2.15,0.71,52.84,2.14,0.66,53.13,2.16,0.58,52.02,2.17,0.47,55.64,2.23,0.11,64.07,2.5
Junkrat,1.23,52.77,2.37,1.48,53.43,2.32,1.47,52.37,2.26,1.29,52.82,2.38,1.08,52.95,2.47,0.9,52.81,2.54,0.66,52.01,2.56,0.45,52.17,2.56,0.05,46.18,3.4
Sigma,2.43,52.44,3.75,2.23,53.57,3.56,2.59,51.8,3.54,2.53,52.23,3.74,2.3,52.48,3.94,2.23,53.05,4.05,2.3,52.8,4.13,3.04,55.12,4.37,5.06,61.76,4.75
