Hero,All Pick Rate,All Win Rate,All KDA,Bronze Pick Rate,Bronze Win Rate,Bronze KDA,Silver Pick Rate,Silver Win Rate,Silver KDA,Gold Pick Rate,Gold Win Rate,Gold KDA,Platinum Pick Rate,Platinum Win Rate,Platinum KDA,Diamond Pick Rate,Diamond Win Rate,Diamond KDA,Master Pick Rate,Master Win Rate,Master KDA,Grandmaster Pick Rate,Grandmaster Win Rate,Grandmaster KDA,Champion Pick Rate,Champion Win Rate,Champion KDA
Ana,7.36,49.61,4,4,53.09,3.22,5.27,49.97,3.39,6.73,49.62,3.76,8.28,49.39,4.1,9.23,49.4,4.34,9.34,49.29,4.52,7.85,49.97,4.66,8.68,67.76,5.4
Kiriko,5.77,48.31,4.02,5.65,49.97,3.16,5.97,48.23,3.48,5.79,48.23,3.91,5.73,48.2,4.27,5.74,48.21,4.48,5.63,48.02,4.59,5.36,49.56,4.76,4.02,61.76,5.58
Genji,3.48,50.22,2.18,4.48,58.62,2.53,3.26,47.99,1.96,3.28,49.77,2.13,3.55,50.17,2.2,3.71,49.86,2.22,3.45,49.75,2.29,2.85,50.12,2.42,0.82,57.9,2.75
Moira,3.28,49.56,4.56,4.64,51.11,3.73,4.66,49.54,4.05,3.84,49.5,4.54,2.94,49.55,5.01,2.11,48.98,5.35,1.43,48.23,5.55,0.77,48.44,5.74,0.7,57.22,6.8
Sojourn,2.68,45.93,2.42,2.74,49.24,2.3,2.84,45.39,2.2,2.56,44.93,2.3,2.43,45.35,2.46,2.69,46.44,2.59,3.27,47.41,2.71,4.07,49.88,3,3.59,55.2,3.41
Soldier: 76,3.18,49.09,2.48,4.32,52.63,2.53,3.9,48.4,2.35,3.48,48.15,2.42,2.96,48.82,2.52,2.5,50.04,2.65,2.25,50.94,2.79,1.73,52.97,3.03,1.06,49.09,3.15
Cassidy,5.4,47.6,2.42,3.96,54.43,2.38,4.19,48.12,2.18,4.9,47.74,2.33,5.73,46.95,2.44,6.48,46.65,2.52,7.1,47.1,2.65,7.34,49.11,2.84,4.87,56.65,3.19
Zenyatta,2.76,53.62,4.8,2.96,54.42,3.94,2.86,53.42,4.23,2.83,53.94,4.66,2.83,54,5.1,2.66,53.27,5.34,2.28,51.34,5.45,1.73,50.95,5.66,0.6,65.02,5.86
Reaper,2.39,53.09,2.38,3.07,57.37,2.64,2.99,52.27,2.33,2.72,52.81,2.35,2.24,52.73,2.37,1.79,53.33,2.39,1.38,53.8,2.4,1.12,54.83,2.53,4.19,63.64,3.65
Juno,2.72,50.4,3.93,3.86,50.77,3.05,3.36,49.4,3.37,2.77,50.38,3.87,2.44,50.79,4.31,2.34,50.98,4.62,2.34,50.98,4.73,2.07,50.43,4.76,1.39,67.76,5.23
Ashe,3.29,51.97,2.92,2.18,53.45,2.71,2.67,51.59,2.69,3.09,51.49,2.85,3.44,51.95,2.96,3.78,52.02,3.01,4.22,52.64,3.06,4.96,54.48,3.23,4.1,60.68,3.61
Ramattra,1.7,48.18,3.3,2.35,51.88,3.31,2.42,48.73,3.23,2.02,47.73,3.28,1.44,47.19,3.35,1.06,47.56,3.39,0.85,47.31,3.46,0.84,48.03,3.56,0.98,43.58,3.26
Mercy,2.81,49.84,3.85,3.71,47.35,2.39,2.62,47.77,2.88,2.57,49.71,3.6,2.79,50.48,4.25,2.94,50.7,4.79,3.11,50.96,5.29,3.38,54.27,6.12,5.59,75.55,7.7
Zarya,1.73,50.75,4.28,1.14,54.43,3.96,1.32,50.9,3.81,1.59,50.03,4.02,1.77,49.63,4.28,1.95,51.06,4.57,2.53,51.95,4.83,3.71,54.3,5.22,5.06,60.94,5.84
Bastion,2.95,50.29,2.84,3.42,52.71,2.67,3.81,50.27,2.67,3.32,49.67,2.78,2.64,49.83,2.93,2.26,50.88,3.09,2.08,51.57,3.22,2,52.21,3.39,2.16,68.28,4.35
Lúcio,1.36,52.17,3.07,2.37,54.26,2.62,1.86,51.41,2.8,1.42,51.99,3.06,1.13,52.16,3.28,1.02,52.9,3.5,0.92,51.46,3.63,0.87,52.43,3.75,0.36,67.86,5.69
Mauga,1.22,48.03,3.8,1.74,48.65,3.56,1.54,46.49,3.53,1.35,47.53,3.75,1.14,48.85,3.96,0.89,49.35,4.11,0.76,50.05,4.25,0.75,50.48,4.38,8.6,61.44,5.14
Hanzo,2.2,49.16,2.84,2.57,54.94,2.76,2.16,48.7,2.52,2.05,48.61,2.73,2.16,48.52,2.91,2.31,48.73,3.03,2.53,49.85,3.17,2.4,52.18,3.39,1.36,45.2,2.8
Pharah,1.22,50.91,2.56,1.4,50.96,2.56,1.4,49.7,2.49,1.24,50.8,2.51,1.16,51.59,2.56,1.13,51.22,2.62,1.1,51.57,2.74,0.97,53.56,3.06,0.26,44.32,2.81
Illari,1.57,52.75,3.29,1.83,52.31,2.58,1.68,51.87,2.86,1.57,52.99,3.22,1.5,53.13,3.48,1.51,52.92,3.63,1.51,52.41,3.68,1.67,53.43,3.85,1.18,60.62,3.78
Doomfist,3.94,50.93,3.07,1.88,54.66,3.02,2.34,51.62,2.92,3.53,51.58,3.02,4.65,50.56,3.03,5.19,50.35,3.1,5.02,50.29,3.24,5.48,50.96,3.55,3.31,53.31,4.26
Venture,1.33,52.57,2.24,0.77,56.21,2.32,1.15,53.58,2.28,1.4,52.51,2.24,1.42,51.88,2.22,1.42,52.54,2.23,1.33,52.24,2.25,1.25,50.28,2.28,0.57,45.78,1.95
Junkrat,1.41,51.55,2.45,1.91,52.51,2.29,1.82,50.7,2.26,1.54,51.55,2.43,1.32,51.56,2.55,1.08,52.38,2.64,0.8,52.35,2.7,0.51,50.04,2.55,0.07,87.43,4.5
Sigma,3.05,54.81,4.07,2.43,56.39,3.85,3.07,53.99,3.82,3.27,54.34,3.98,3.1,55.11,4.17,2.82,55.41,4.28,2.81,55.09,4.36,3.47,56.58,4.64,4.68,64.33,5.97
Brigitte,1.58,51.21,3.82,1.14,53.83,2.89,1.41,51.78,3.25,1.61,51.05,3.61,1.66,51.06,3.98,1.69,50.77,4.32,1.63,50.87,4.53,1.39,52.08,4.77,0.43,57.39,5.42
Widowmaker,1.33,45.83,2.28,1.98,50.43,2.53,1.46,43.73,2.14,1.24,45.12,2.22,1.19,45.65,2.28,1.27,46.44,2.33,1.49,47,2.41,1.96,47.72,2.62,1.72,48.07,2.72
Lifeweaver,1.82,47.86,4.06,1.86,49.04,3.04,2.1,48.74,3.57,2.07,48.31,4,1.84,47.44,4.38,1.46,46.61,4.6,1.13,45.74,4.76,0.67,44.68,4.78,0.12,99.8,12.5
Sombra,1.72,48.5,3.05,1.39,50.8,2.69,1.67,48.32,2.81,1.72,48.5,3.03,1.78,48.57,3.15,1.83,48.19,3.18,1.7,47.95,3.22,1.41,48.5,3.37,0.62,59.5,3.68
D.VA,1.62,49.58,5.29,2.58,50.47,4.89,1.94,47.51,4.74,1.6,49.11,5.17,1.43,50.07,5.53,1.36,51.25,5.9,1.42,51.62,6.16,1.97,53.67,6.68,2.25,66.29,8.69
Torbjörn,0.74,55.6,2.67,0.87,60.06,2.91,0.93,57.01,2.64,0.84,55.99,2.65,0.67,54.65,2.67,0.58,53.05,2.66,0.51,52.63,2.6,0.37,51.36,2.6,0.15,42.96,2.56
Tracer,0.92,47.12,1.95,1.04,51.49,1.92,0.71,44.73,1.71,0.71,46.82,1.9,0.89,47.09,1.99,1.16,46.98,2,1.48,47.39,2.08,1.95,51,2.33,1.54,60.33,3.03
Orisa,1.63,45.11,3.33,1.97,48.2,3.18,2.05,45.73,3.16,1.85,44.41,3.28,1.52,44.18,3.4,1.19,44.63,3.56,1.04,47.09,3.79,1.03,49.67,4.14,0.75,51.93,4.69
Hazard,0.65,48.48,3.26,0.58,50.35,2.95,0.61,47.88,3.03,0.67,47.73,3.15,0.67,48.03,3.28,0.62,49.38,3.49,0.62,50.53,3.67,0.72,52.46,4.1,0.67,71.15,5.59
Winston,1.15,49.83,3.23,0.93,51.02,2.73,0.94,48.77,2.92,1.11,49.64,3.11,1.24,49.86,3.28,1.25,50.37,3.44,1.35,50.01,3.67,1.45,51.32,4.04,2.14,57.13,4.17
Reinhardt,1.21,51.3,2.44,1.35,51.44,2.17,1.33,51.25,2.3,1.33,51.35,2.44,1.22,51.3,2.5,1.02,51.36,2.57,0.86,50.69,2.6,0.73,50.91,2.67,5.65,56.25,2.4
Junker Queen,0.8,53.71,4.56,0.68,54.94,4.1,0.78,53.42,4.24,0.87,53.04,4.47,0.85,53.78,4.68,0.73,54.38,4.8,0.67,54.81,4.92,0.62,55.48,5.27,0.45,76.03,6.48
Baptiste,2.28,48.27,3.78,1.94,49.82,2.97,2.15,48.11,3.2,2.31,47.97,3.6,2.34,48.19,3.98,2.38,48.49,4.28,2.24,48.42,4.49,2.06,49.71,4.73,0.51,72.14,6.85
