Hero,All Pick Rate,All Win Rate,All KDA,Bronze Pick Rate,Bronze Win Rate,Bronze KDA,Silver Pick Rate,Silver Win Rate,Silver KDA,Gold Pick Rate,Gold Win Rate,Gold KDA,Platinum Pick Rate,Platinum Win Rate,Platinum KDA,Diamond Pick Rate,Diamond Win Rate,Diamond KDA,Master Pick Rate,Master Win Rate,Master KDA,Grandmaster Pick Rate,Grandmaster Win Rate,Grandmaster KDA,Champion Pick Rate,Champion Win Rate,Champion KDA
Ana,6.68,49.83,3.79,3.95,51.53,3.03,5.36,50.04,3.41,6.93,49.69,3.75,8.03,49.51,4,8.57,49.5,4.17,8.55,49.5,4.32,7.54,52.95,4.62,5,72.1,5.7
Kiriko,6.13,48.76,3.91,7.17,49.12,3.17,6.71,48.7,3.61,5.93,48.5,4.05,5.58,48.62,4.32,5.52,48.59,4.47,5.55,49.63,4.64,5.38,52.66,4.94,5.65,78.67,6.7
Genji,3.9,52.11,2.11,3.85,55.03,2.21,3.62,50.7,1.97,3.97,51.93,2.09,4.26,52.3,2.15,4.02,52.16,2.19,3.59,51.9,2.26,2.49,54.74,2.48,1.04,65.77,2.92
Moira,4.12,50.8,4.47,6.07,50.16,3.71,5.23,50.74,4.18,4.03,51.06,4.68,3.24,51.28,5.14,2.59,50.77,5.4,1.97,50.46,5.56,1.31,52.62,6.14,0.51,64.56,6.45
Sojourn,2.64,46.48,2.34,2.01,48.5,2.21,2.29,46.16,2.22,2.62,46.1,2.31,2.86,45.62,2.38,3.17,46.56,2.48,3.61,47.69,2.62,4.06,51.56,2.97,2.2,66.76,3.88
Soldier: 76,2.95,50.24,2.42,3.31,51.85,2.41,3.37,49.54,2.33,3.07,49.65,2.4,2.66,50.41,2.49,2.3,51.05,2.6,2.04,51.33,2.7,1.63,54.23,2.98,0.65,55.75,3.53
Cassidy,4.9,48.78,2.32,3.19,52.49,2.22,3.98,49.41,2.16,4.9,48.29,2.27,5.64,47.76,2.35,6.3,47.94,2.45,6.93,48.61,2.58,7.56,52.25,2.86,5.64,65.96,3.69
Zenyatta,2.43,53.94,4.59,2.5,53.93,3.83,2.46,54.39,4.26,2.48,54.34,4.67,2.48,53.9,4.98,2.37,52.7,5.16,2.01,51.58,5.33,1.43,52.58,5.59,0.31,86.3,9.05
Reaper,2.21,53.13,2.28,2.78,55.41,2.48,2.55,52.16,2.21,2.28,52.65,2.23,1.91,53.25,2.28,1.61,53.43,2.3,1.42,53.57,2.39,1.37,56.6,2.6,0.65,70.69,2.8
Juno,2.17,51.41,4.61,2.99,50.38,3.75,2.41,51.19,4.28,2,51.83,4.88,1.9,52.02,5.24,1.88,51.2,5.28,1.86,51.44,5.33,1.98,54.82,5.69,1.98,78.75,9.13
Ashe,1.95,52.01,2.5,1.4,51.9,2.3,1.74,51.48,2.38,2.03,51.76,2.51,2.22,52.22,2.56,2.2,52.49,2.6,2.18,52.63,2.67,2.34,57.04,3.01,1.3,68.06,3.61
Ramattra,1.69,48.57,3.17,2.46,50.4,3.17,2.28,47.98,3.09,1.69,48,3.18,1.2,48.59,3.28,0.91,48.81,3.31,0.77,49.24,3.45,0.7,51.06,3.68,0.91,51.33,3.92
Mercy,2.22,48.65,3.44,2.76,46.36,2.35,2.13,48.03,2.94,2.07,49.28,3.62,2.21,49.22,4.08,2.23,48.96,4.41,2.28,50.6,4.76,2.3,53.41,5.53,2.51,82.15,7.35
