Hero,All Pick Rate,All Win Rate,All KDA,Bronze Pick Rate,Bronze Win Rate,Bronze KDA,Silver Pick Rate,Silver Win Rate,Silver KDA,Gold Pick Rate,Gold Win Rate,Gold KDA,Platinum Pick Rate,Platinum Win Rate,Platinum KDA,Diamond Pick Rate,Diamond Win Rate,Diamond KDA,Master Pick Rate,Master Win Rate,Master KDA,Grandmaster Pick Rate,Grandmaster Win Rate,Grandmaster KDA,Champion Pick Rate,Champion Win Rate,Champion KDA
Ana,6.64,49.6,3.78,3.76,52.07,3.03,5.27,49.66,3.38,6.8,49.65,3.74,7.92,48.65,3.92,8.28,50.3,4.13,8.37,49.72,4.28,6.71,48.24,4.42,4.23,41.42,4.86
Kiriko,6.2,48.51,3.96,7.29,49.53,3.29,6.83,48.47,3.62,6.09,47.65,4.04,5.74,48.64,4.32,5.5,49.04,4.47,5.69,48.74,4.6,5.4,51.75,4.83,1.88,68.71,6.1
Genji,4.46,51.89,2.07,4.22,55,2.19,3.99,50.75,1.94,4.46,51.22,2.04,4.98,52.39,2.12,4.82,52.6,2.12,4.34,50.47,2.18,3.17,50.15,2.39,1.88,76.78,2.54
Moira,4.59,52.02,4.7,5.93,51.98,3.91,5.69,51.6,4.31,4.78,52.18,4.85,4.07,52.71,5.28,3.17,51.94,5.48,2.35,50.68,5.57,1.62,50.34,6.35,0.7,80.52,6.62
Sojourn,3.29,46.37,2.36,2.2,49.98,2.34,2.64,45.98,2.22,3.15,45.91,2.33,3.64,46.23,2.35,4.26,46.02,2.43,4.86,46.14,2.56,5.49,48.34,2.88,3.29,72.74,3.65
Soldier: 76,2.98,50.4,2.43,3.37,51.56,2.4,3.51,49.54,2.33,3.21,50.3,2.41,2.66,50.94,2.5,2.28,50.08,2.58,1.95,51.1,2.63,1.4,56.35,2.92,N,N,N
Cassidy,4.75,48.54,2.29,3.09,52.87,2.29,3.78,49.3,2.13,4.75,47.84,2.23,5.31,47.96,2.29,6.01,47.37,2.4,6.44,48.66,2.51,7.01,51.05,2.8,6.81,70.51,3.61
Zenyatta,2.39,54.26,4.62,2.51,54.71,3.81,2.35,55.05,4.3,2.52,54.22,4.64,2.45,54.63,4.93,2.24,52.93,5.16,1.93,51.3,5.3,1.31,48.7,5.44,0.23,100,11
Reaper,2.16,54.2,2.31,2.79,57.91,2.67,2.46,52.32,2.23,2.31,53.8,2.22,1.89,54.62,2.3,1.64,53.91,2.37,1.41,56.09,2.47,1.4,53.6,2.48,2.58,63.59,2.82
Juno,2.16,51.18,4.66,3.09,51.61,3.8,2.37,50.68,4.3,2.03,51.05,4.83,1.9,52.29,5.28,1.84,49.8,5.18,1.95,50.92,5.26,2.15,53.52,5.91,1.17,94.4,7.9
