Hero,All Pick Rate,All Win Rate,All KDA,Bronze Pick Rate,Bronze Win Rate,Bronze KDA,Silver Pick Rate,Silver Win Rate,Silver KDA,Gold Pick Rate,Gold Win Rate,Gold KDA,Platinum Pick Rate,Platinum Win Rate,Platinum KDA,Diamond Pick Rate,Diamond Win Rate,Diamond KDA,Master Pick Rate,Master Win Rate,Master KDA,Grandmaster Pick Rate,Grandmaster Win Rate,Grandmaster KDA,Champion Pick Rate,Champion Win Rate,Champion KDA
Ana,7.34,49.48,3.96,3.83,55.19,3.41,5.41,49.86,3.35,6.74,49.58,3.71,7.89,49.14,4,8.9,49.1,4.26,9.55,49.25,4.49,8.29,49.87,4.61,3.56,57.52,5.04
Kiriko,7.56,49.95,4.19,6.08,51.97,3.39,7.84,49.74,3.67,7.85,49.75,4.04,7.59,49.91,4.36,7.41,50.01,4.58,7.45,49.89,4.71,6.52,50.63,4.88,5.96,72.89,7.05
Genji,5.68,53.06,2.34,6.29,64.24,3.11,4.8,50.99,2.12,5.27,52.05,2.25,5.97,52.72,2.32,6.31,52.79,2.39,6.03,53.16,2.51,4.97,53.23,2.64,2.4,46.84,2.29
Moira,2.6,48.41,4.41,3.71,51.48,3.66,3.9,48.59,3.92,3.07,47.92,4.31,2.37,48.1,4.79,1.73,48.06,5.22,1.19,47.63,5.35,0.55,48.93,5.67,0.04,100,3.5
Sojourn,2.58,45.48,2.31,2.6,51.3,2.38,2.91,45.05,2.1,2.58,43.84,2.17,2.4,44.94,2.33,2.46,45.92,2.47,2.68,47.39,2.64,3.22,50.45,2.93,2.11,51.79,3.35
Soldier: 76,3.48,49.67,2.49,5.12,56.56,2.76,4.29,48.67,2.32,3.74,48.45,2.4,3.33,48.97,2.5,2.87,50.16,2.65,2.37,50.83,2.81,1.86,52.53,3.06,0.7,61.93,4.02
Cassidy,6.15,47.93,2.34,4.58,58.6,2.61,4.71,49.13,2.11,5.52,47.93,2.23,6.42,47.13,2.32,7.34,46.68,2.44,7.83,47.07,2.56,8.43,48.54,2.75,6.37,61.77,3.31
Zenyatta,2.28,52.79,4.6,2.82,55.57,4.02,2.61,53.51,4.12,2.35,52.91,4.41,2.28,52.98,4.81,2.08,51.33,5.08,1.78,50.85,5.35,1.22,46.18,5.39,0.29,56.01,3.27
Reaper,3.01,54.73,2.45,3.6,62.8,3.15,3.36,54.03,2.39,3.25,53.99,2.4,3,54.04,2.4,2.65,54.64,2.44,2.2,54.96,2.48,2.06,56.84,2.64,4.92,57.99,2.93
Juno,1.82,50.11,3.68,3.1,51.54,3.12,2.73,49.61,3.32,2.02,49.77,3.65,1.48,49.95,3.99,1.28,50.74,4.24,1.23,51.29,4.34,1.21,53.32,4,1.08,64.62,4.58
Ashe,2.23,51.51,2.76,1.9,55.54,2.72,2.13,51.17,2.54,2.2,51.3,2.69,2.31,50.89,2.79,2.32,51.81,2.87,2.24,51.99,2.93,1.99,53.47,3.1,1.37,54.92,2.78
Ramattra,1.37,48.31,3.24,2.02,54.37,3.47,2.06,48.26,3.13,1.7,47.71,3.21,1.19,47.15,3.24,0.8,48.78,3.34,0.62,46.2,3.35,0.58,46.69,3.53,0.41,58.18,3.4
Mercy,2.71,50.47,3.92,3.51,49.63,2.53,2.52,48.32,2.93,2.55,50.61,3.63,2.69,50.91,4.22,2.8,50.93,4.78,2.94,50.72,5.19,3.05,54.06,5.98,1.32,76.65,7.41
Zarya,1.71,51.33,4.24,1.13,55.43,4.1,1.46,52.01,3.85,1.61,50.44,3.94,1.73,49.73,4.16,1.77,51.47,4.51,2.28,53.39,4.89,3.63,55.72,5.37,6.99,59.52,5.25
Bastion,1.51,47.48,2.54,2.56,53.35,2.72,2.43,47.32,2.4,1.83,46.72,2.48,1.25,45.62,2.57,0.9,47.8,2.73,0.63,50.24,2.95,0.44,49.8,2.97,0.04,100,13
Lúcio,1.2,53.15,3.1,2.34,54.8,2.62,1.71,53.15,2.86,1.29,52.96,3.09,0.99,53.18,3.27,0.88,52.06,3.47,0.87,52.48,3.59,0.77,53.96,3.88,0.25,99.36,4.17
Mauga,1.26,48.66,3.83,1.75,50.27,3.75,1.51,47.08,3.49,1.36,47.71,3.71,1.22,48.89,3.92,1.01,49.96,4.16,0.88,51.43,4.39,0.88,53.08,4.7,7.74,59.9,5.26
Hanzo,2.85,50.07,2.84,3.24,58.86,3.07,2.77,49.2,2.52,2.68,49.54,2.72,2.76,49.26,2.86,3,49.62,2.99,3.19,49.95,3.14,3.2,52.48,3.42,1.9,70.34,4.09
Pharah,1.4,50.88,2.49,1.82,54.34,2.73,1.68,50.21,2.39,1.46,50.17,2.42,1.32,50.93,2.48,1.24,51.3,2.54,1.12,50.76,2.72,0.99,50.37,2.81,2.23,64.69,3.35
Illari,1.11,51.97,3.11,1.69,56.13,2.74,1.43,51.06,2.72,1.19,51.82,3.04,0.99,51.94,3.25,0.9,51.92,3.47,0.86,50.85,3.54,0.83,51.46,3.68,0.83,58.42,4.8
Doomfist,3.96,51.86,3.09,1.79,58.47,3.34,2.28,53.19,2.97,3.44,52.28,3.02,4.55,51.57,3.04,5.08,50.98,3.1,5.25,51.31,3.3,5.45,52.64,3.61,5.54,63.15,4.39
Venture,1.66,54.2,2.28,0.92,58.14,2.63,1.51,55.96,2.33,1.77,54.11,2.27,1.78,53.39,2.24,1.72,53.66,2.27,1.59,53.96,2.3,1.35,54.42,2.49,0.46,80.55,3.39
Junkrat,1.23,50.73,2.32,1.88,54.25,2.36,1.75,50.1,2.14,1.37,49.95,2.25,1.14,50.95,2.41,0.91,50.93,2.49,0.62,51.62,2.57,0.37,47.09,2.43,N,N,N
Sigma,1.89,52.95,3.93,1.62,56.76,3.91,2.12,52.88,3.7,2.14,52.44,3.83,1.92,53.02,4.03,1.58,52.76,4.1,1.43,52.63,4.24,1.6,53.98,4.53,2.07,54.06,4.46
Brigitte,1.38,50.05,3.66,1.05,53.09,2.7,1.29,51.61,3.15,1.42,50.17,3.42,1.43,49.47,3.79,1.43,49.61,4.14,1.4,48.65,4.28,1.16,49.69,4.61,2.48,55.54,5
