Hero,All Pick Rate,All Win Rate,All KDA,Bronze Pick Rate,Bronze Win Rate,Bronze KDA,Silver Pick Rate,Silver Win Rate,Silver KDA,Gold Pick Rate,Gold Win Rate,Gold KDA,Platinum Pick Rate,Platinum Win Rate,Platinum KDA,Diamond Pick Rate,Diamond Win Rate,Diamond KDA,Master Pick Rate,Master Win Rate,Master KDA,Grandmaster Pick Rate,Grandmaster Win Rate,Grandmaster KDA,Champion Pick Rate,Champion Win Rate,Champion KDA
Ana,8.03,50.48,3.97,4.14,50.53,3.05,6.18,50.48,3.33,7.17,50.4,3.63,8.69,50.4,4.05,10.57,50.51,4.48,11.44,50.7,4.82,9.51,51.74,4.99,6.05,78.07,6.16
Kiriko,6.26,48.96,3.93,6.07,50.94,3.4,6.66,48.42,3.41,6.3,48.57,3.73,6.17,48.95,4.15,6.17,49.3,4.54,6.03,49.73,4.77,5.13,50.69,4.88,2.06,69.21,5.77
Genji,5.63,53.37,2.35,6.72,61.35,2.99,5.01,50.04,2.11,5.34,52.32,2.26,5.86,53.53,2.35,6.01,54.13,2.42,5.69,54.11,2.51,4.79,54.23,2.64,2.06,63.38,2.67
Moira,3.23,49.16,4.45,4,51.56,3.94,4.25,49.32,4,3.69,48.97,4.3,2.95,48.83,4.79,2.25,48.62,5.37,1.46,48.23,5.65,0.68,49.94,6.12,0.73,77.8,10.14
Sojourn,3.37,46.06,2.43,3.68,48.36,2.45,3.66,44.92,2.2,3.36,45.36,2.33,3.14,45.74,2.47,3.24,47.23,2.65,3.64,48.26,2.84,4.36,51.3,3.13,9.1,60.8,3.68
Soldier: 76,4.21,49.91,2.59,6.17,55.2,2.95,4.67,48.13,2.36,4.38,49.22,2.51,4.05,49.58,2.62,3.52,50.44,2.75,2.94,51.46,2.93,2.26,53.05,3.16,1,46.67,3.52
Cassidy,5.67,49.85,2.53,4.35,51.8,2.37,4.54,49.23,2.24,5.06,50.25,2.42,5.97,50.01,2.57,6.97,49.25,2.69,7.9,49.2,2.82,8.54,49.7,3,18.02,75.34,4.22
Zenyatta,3.4,52.44,4.52,2.29,50.43,3.68,3.42,52.56,3.99,3.44,53,4.3,3.55,52.94,4.74,3.6,51.77,5.16,3.24,50.02,5.37,2.39,48.68,5.6,0.97,82.03,7.55
Reaper,2.13,54.06,2.47,4.32,65.11,3.58,2.68,51.52,2.3,2.35,52.67,2.37,1.87,52.76,2.37,1.31,52.82,2.38,0.8,53.57,2.4,0.55,56.22,2.59,1.3,60.87,3.12
Juno,4.24,50.12,3.76,5.36,52.47,3.45,5.11,49.22,3.25,4.4,49.71,3.58,3.88,50.1,4.02,3.61,50.72,4.54,3.46,51.32,4.93,2.98,53.37,5.2,2.84,88.26,6.47
Ashe,2.68,51.53,2.79,1.49,44.2,2.2,2.24,50.55,2.56,2.58,51.66,2.72,2.9,52.17,2.87,3.14,52.09,2.94,3.3,52.18,3.02,3.36,53.65,3.2,2.66,55.22,3.54
Ramattra,2.37,50.22,3.48,2.6,54.01,3.73,2.9,49.71,3.32,2.86,49.62,3.42,2.21,49.97,3.54,1.59,51.03,3.67,1.2,52.44,3.86,1.09,52.68,4.09,0.67,90.21,7.88
Mercy,2.62,49.89,3.49,3.88,49.7,2.6,2.5,45.88,2.56,2.15,48.56,3.07,2.45,50.9,3.81,3.05,51.96,4.58,3.54,52.92,5.22,3.79,55.6,5.87,7.56,74.63,6.86
Zarya,1.89,51.22,4.2,1.31,55.5,4.21,1.6,51.93,3.88,1.92,51.28,4.03,1.98,50.38,4.23,1.95,50.31,4.47,2.29,51.45,4.76,3.31,53.72,5.15,1.42,61.28,6.05
Bastion,1.38,45.14,2.31,1.4,43.01,2.08,1.97,46.29,2.26,1.69,45.41,2.32,1.21,44.26,2.36,0.81,44.12,2.46,0.54,45.54,2.59,0.33,50.09,2.82,0.21,98.93,3.56
Lúcio,1.35,51.67,2.93,2.62,55.36,2.99,1.9,50.72,2.67,1.44,50.89,2.84,1.07,51.55,3.09,0.89,52.4,3.36,0.76,51.66,3.54,0.62,54.97,3.68,0.21,95.7,3.25
Mauga,1.52,48.49,3.76,2.16,51.67,4.07,1.76,46.49,3.45,1.65,47.59,3.66,1.43,49.05,3.86,1.15,49.73,4.03,0.95,51.09,4.25,1.21,54.55,4.79,0.67,64.07,6.44
