Hero,All Pick Rate,All Win Rate,All KDA,Bronze Pick Rate,Bronze Win Rate,Bronze KDA,Silver Pick Rate,Silver Win Rate,Silver KDA,Gold Pick Rate,Gold Win Rate,Gold KDA,Platinum Pick Rate,Platinum Win Rate,Platinum KDA,Diamond Pick Rate,Diamond Win Rate,Diamond KDA,Master Pick Rate,Master Win Rate,Master KDA,Grandmaster Pick Rate,Grandmaster Win Rate,Grandmaster KDA,Champion Pick Rate,Champion Win Rate,Champion KDA
Ana,7.38,49.54,3.99,4.03,52.84,3.18,5.27,49.98,3.39,6.78,49.54,3.76,8.35,49.29,4.09,9.25,49.24,4.33,9.35,49.29,4.5,7.9,50.09,4.65,8.85,69.73,5.45
Kiriko,5.77,48.28,4.02,5.77,49.68,3.15,5.96,48.16,3.47,5.81,48.3,3.92,5.73,48.13,4.27,5.69,48.1,4.47,5.57,48.05,4.59,5.26,49.32,4.74,4.09,63.95,5.81
Genji,3.56,50.52,2.18,4.38,58.3,2.5,3.33,48.3,1.98,3.38,50.15,2.13,3.64,50.54,2.21,3.81,50.2,2.24,3.54,50.16,2.32,2.9,49.92,2.43,0.89,59.44,2.71
Moira,3.18,49.42,4.53,4.66,50.83,3.7,4.54,49.36,4.02,3.68,49.34,4.52,2.83,49.4,5,2.02,48.93,5.35,1.38,48.38,5.53,0.74,48.65,5.69,0.57,57.2,7.18
Sojourn,2.66,46.06,2.41,2.65,49.24,2.3,2.81,45.53,2.2,2.55,44.95,2.29,2.43,45.55,2.45,2.69,46.64,2.59,3.27,47.56,2.72,4.07,49.96,2.99,3.14,56.14,3.46
Soldier: 76,3.24,49.24,2.48,4.24,52.56,2.51,3.92,48.44,2.34,3.54,48.31,2.42,3.02,48.99,2.52,2.59,50.34,2.65,2.31,51.13,2.81,1.83,53.13,3.05,1.35,45.62,3
Cassidy,5.38,47.67,2.41,3.87,54.26,2.36,4.19,48.35,2.18,4.9,47.78,2.32,5.7,46.98,2.43,6.48,46.79,2.52,7.06,46.97,2.64,7.34,49,2.83,5.3,64.73,3.78
Zenyatta,2.83,53.66,4.8,3.08,54.25,3.89,2.9,53.48,4.23,2.89,54.05,4.67,2.93,54.11,5.1,2.73,53.25,5.35,2.31,51.15,5.44,1.76,50.34,5.61,0.59,68.55,6.41
Reaper,2.34,53.19,2.38,3.03,56.93,2.62,2.95,52.41,2.33,2.67,52.85,2.35,2.18,52.91,2.37,1.75,53.5,2.39,1.36,53.8,2.4,1.09,55.35,2.55,4.94,64.2,3.65
Juno,2.63,50.29,3.89,3.87,50.43,3,3.27,49.26,3.35,2.67,50.23,3.84,2.32,50.77,4.29,2.21,51.06,4.61,2.22,50.69,4.71,1.97,50.78,4.74,1.41,69.92,4.68
Ashe,3.25,52.01,2.91,2.15,53.76,2.72,2.65,51.58,2.68,3.07,51.51,2.84,3.4,51.95,2.95,3.75,52.06,3,4.16,52.76,3.06,4.85,54.56,3.24,3.79,57.27,3.48
Ramattra,1.7,48.1,3.28,2.37,51.29,3.27,2.47,48.59,3.21,2.02,47.51,3.26,1.42,47.35,3.34,1.03,47.77,3.39,0.85,47.37,3.46,0.83,48.12,3.54,0.9,47.78,3.24
Mercy,2.87,49.91,3.86,3.75,47.34,2.38,2.67,47.64,2.88,2.64,49.82,3.63,2.87,50.63,4.28,3.01,50.83,4.82,3.16,51.12,5.31,3.35,54.48,6.1,6.02,75.52,7.55
Zarya,1.72,50.82,4.27,1.13,54.18,3.95,1.34,50.92,3.8,1.6,50.04,4.01,1.75,49.75,4.28,1.93,51.25,4.58,2.52,52.11,4.83,3.72,53.86,5.2,4.77,57.9,5.63
Bastion,2.81,49.86,2.8,3.35,52.43,2.64,3.68,49.9,2.64,3.18,49.21,2.75,2.49,49.31,2.89,2.11,50.3,3.05,1.91,51.27,3.18,1.78,52.04,3.38,1.97,68.68,4.31
Lúcio,1.33,52.14,3.05,2.4,54.26,2.57,1.81,51.38,2.78,1.37,52.09,3.04,1.1,52.04,3.26,0.98,52.52,3.46,0.9,51.12,3.59,0.83,51.96,3.71,0.35,63.37,5.03
Mauga,1.23,48.22,3.8,1.73,48.27,3.53,1.54,46.6,3.53,1.35,47.69,3.74,1.14,49.05,3.97,0.9,50.06,4.14,0.78,49.82,4.26,0.79,52.68,4.5,9.34,65.18,5.32
Hanzo,2.27,49.36,2.84,2.58,54.42,2.73,2.21,48.81,2.53,2.13,48.87,2.74,2.23,48.97,2.91,2.4,48.92,3.02,2.59,49.91,3.15,2.48,51.65,3.37,1.54,43.83,2.91
Pharah,1.26,50.96,2.55,1.41,51.13,2.54,1.43,49.84,2.49,1.29,50.91,2.5,1.2,51.44,2.54,1.18,51.32,2.6,1.12,51.74,2.73,0.97,53.53,3.03,0.53,60.94,3.54
Illari,1.77,53.17,3.32,2.02,52.38,2.59,1.84,52.34,2.9,1.76,53.53,3.26,1.71,53.5,3.51,1.72,53.39,3.63,1.75,52.81,3.69,1.97,53.07,3.79,1.3,61.79,3.95
Doomfist,3.95,50.96,3.06,1.87,54.99,3.01,2.37,51.6,2.9,3.54,51.57,3,4.68,50.59,3.03,5.19,50.34,3.1,5.07,50.33,3.24,5.47,51.09,3.55,2.9,53.89,4.2
Venture,1.29,52.64,2.24,0.74,55.76,2.32,1.12,53.34,2.27,1.36,52.57,2.24,1.38,52.05,2.21,1.38,52.72,2.22,1.29,52.26,2.24,1.17,51.15,2.29,0.47,45.96,2.04
Junkrat,1.42,51.77,2.44,1.9,52.41,2.26,1.82,50.83,2.27,1.55,51.88,2.43,1.34,51.87,2.55,1.11,52.48,2.62,0.82,52.53,2.69,0.52,49.53,2.49,0.05,87.43,4.5
Sigma,3.04,54.68,4.05,2.49,56.19,3.83,3.09,53.88,3.79,3.25,54.23,3.96,3.05,54.98,4.16,2.8,55.24,4.27,2.85,55.11,4.35,3.53,56.4,4.62,4.67,63.48,5.66
Brigitte,1.57,51.21,3.81,1.2,52.47,2.8,1.41,51.9,3.26,1.6,51.07,3.61,1.66,51.18,3.99,1.69,50.69,4.3,1.61,50.86,4.53,1.35,51.52,4.73,0.47,63.9,5.21
Widowmaker,1.35,45.95,2.29,1.97,50.38,2.54,1.45,43.73,2.13,1.26,45.45,2.24,1.21,45.76,2.29,1.29,46.42,2.35,1.52,47.02,2.43,1.99,47.97,2.64,1.52,48.21,2.83
Lifeweaver,1.84,47.85,4.06,1.94,48.28,2.99,2.11,48.62,3.56,2.08,48.32,4.02,1.86,47.62,4.39,1.47,46.6,4.6,1.15,45.61,4.76,0.68,46.02,4.86,0.14,88.56,8.3
Sombra,1.71,48.59,3.05,1.37,50.27,2.67,1.65,48.38,2.8,1.7,48.52,3.01,1.77,48.7,3.15,1.83,48.42,3.18,1.71,48.27,3.23,1.38,48.77,3.37,0.53,53.1,3.38
D.VA,1.6,49.29,5.24,2.57,49.93,4.81,1.94,47.16,4.67,1.58,48.71,5.12,1.39,50.03,5.53,1.34,51.24,5.89,1.39,51.28,6.14,1.89,53.56,6.61,2.03,63.74,8.33
Torbjörn,0.75,55.99,2.68,0.86,60.41,2.91,0.93,57.52,2.66,0.85,56.48,2.68,0.68,54.92,2.68,0.59,53.39,2.64,0.52,52.48,2.6,0.36,51.91,2.64,0.14,51.51,2.94
Tracer,0.94,47.39,1.96,1.02,51.26,1.92,0.72,45.05,1.73,0.72,47.08,1.91,0.91,47.53,1.99,1.18,47.4,2,1.5,47.46,2.09,1.95,51.01,2.32,1.39,60.67,2.98
Orisa,1.58,45.13,3.31,1.92,48.41,3.16,2.02,45.82,3.15,1.79,44.37,3.26,1.46,44.06,3.38,1.15,44.63,3.55,1.02,47.21,3.79,1.01,48.94,4.12,0.64,53.42,4.85
Hazard,0.65,48.74,3.26,0.59,50.01,2.92,0.62,48.2,3.02,0.68,47.97,3.15,0.67,48.39,3.29,0.62,49.56,3.51,0.64,50.8,3.68,0.74,52.94,4.13,0.58,67.54,5.46
Winston,1.14,49.88,3.23,0.91,50.91,2.73,0.94,48.88,2.9,1.1,49.6,3.1,1.22,49.84,3.28,1.24,50.74,3.46,1.36,49.96,3.68,1.51,51.52,4.1,2.34,61.74,4.44
Reinhardt,1.21,51.3,2.43,1.35,51.53,2.17,1.34,51.2,2.28,1.33,51.36,2.44,1.21,51.29,2.5,1.02,51.25,2.57,0.87,51.17,2.62,0.73,50.88,2.69,4.96,59.18,2.45
Junker Queen,0.82,54.05,4.57,0.69,54.97,4.1,0.81,53.44,4.2,0.89,53.45,4.48,0.88,54.08,4.7,0.75,55.15,4.84,0.7,54.95,4.95,0.66,56.23,5.31,0.53,72.09,5.74
Baptiste,2.2,48.14,3.77,1.94,49.52,2.92,2.06,48.07,3.18,2.22,47.88,3.59,2.27,48.04,3.97,2.31,48.34,4.26,2.17,48.21,4.49,1.99,48.99,4.67,0.58,68.26,6.52
Mei,0.82,53.76,3.16,0.78,55.33,3.16,0.87,54.7,3.22,0.89,54.1,3.22,0.84,53.08,3.13,0.79,53.06,3.07,0.59,51.94,3.04,0.44,52.64,3.22,0.09,60.7,4.48
Roadhog,1.19,43.15,3.42,1.33,46.81,3.03,1.13,42.83,3.03,1.2,42.9,3.36,1.25,42.88,3.59,1.17,42.87,3.68,1.07,43.12,3.76,0.93,43.13,3.8,0.43,55.95,4.45
Echo,1.24,50.16,2.34,1.2,50.87,2.13,1.22,48.98,2.12,1.19,49.52,2.25,1.21,50.14,2.38,1.3,50.81,2.5,1.33,51.9,2.61,1.78,54.07,2.88,1.08,50.95,3.06
