Hero,All Pick Rate,All Win Rate,All KDA,Bronze Pick Rate,Bronze Win Rate,Bronze KDA,Silver Pick Rate,Silver Win Rate,Silver KDA,Gold Pick Rate,Gold Win Rate,Gold KDA,Platinum Pick Rate,Platinum Win Rate,Platinum KDA,Diamond Pick Rate,Diamond Win Rate,Diamond KDA,Master Pick Rate,Master Win Rate,Master KDA,Grandmaster Pick Rate,Grandmaster Win Rate,Grandmaster KDA,Champion Pick Rate,Champion Win Rate,Champion KDA
Ana,6.76,48.81,3.86,3.8,50.58,3.02,5.03,49.12,3.36,6.73,48.65,3.77,8.4,48.49,4.08,9.19,48.82,4.28,8.99,48.42,4.39,7.57,49.45,4.59,3.24,54.54,4.59
Kiriko,6.68,49.43,4.1,7.3,49.95,3.27,7.23,48.92,3.68,6.52,49.44,4.2,6.32,49.38,4.56,6.3,49.77,4.76,6.16,50.09,4.84,5.97,51.29,5.06,4.57,68.51,5.97
Genji,2.88,52.15,2.18,3.21,56.86,2.49,2.57,50.26,1.98,2.91,52.05,2.15,3.07,51.93,2.22,2.96,51.92,2.27,2.69,51.32,2.3,1.97,50.84,2.39,0.76,90.86,5.04
Moira,4.08,51.7,4.62,5.4,50.95,3.77,5.03,51.19,4.15,4.01,52.03,4.77,3.47,52.64,5.37,3.01,52.14,5.71,2.5,51.17,5.79,1.69,51.09,5.94,0.38,99.72,9
Sojourn,2.2,45.79,2.37,1.84,49.24,2.32,2.12,45.88,2.22,2.21,44.87,2.32,2.2,45.35,2.44,2.3,45.04,2.55,2.73,47.11,2.67,3.37,47.03,2.88,2.48,72.74,4.82
Soldier: 76,2.1,49.4,2.46,2.71,51.81,2.61,2.45,48.71,2.33,2.21,48.43,2.42,1.78,49.36,2.53,1.51,49.9,2.62,1.36,51.94,2.77,1.04,54.83,2.8,0.1,0,5.75
Cassidy,3.81,47.97,2.39,2.52,53.52,2.4,2.84,48.82,2.19,3.68,47.68,2.32,4.43,47.12,2.43,5.07,46.45,2.52,6.02,47.25,2.6,6.47,48.03,2.78,4.29,46.44,2.81
Zenyatta,2.43,53.71,4.81,2.5,51.74,3.93,2.34,53.82,4.31,2.4,54.64,4.85,2.59,54.15,5.28,2.55,53.7,5.51,2.11,50.11,5.53,1.44,49.21,5.74,0.29,0,5
Reaper,1.66,50.26,2.15,2.2,54.7,2.51,1.93,49.55,2.08,1.72,49.51,2.08,1.44,49.58,2.12,1.17,48.39,2.12,1.05,49.53,2.23,1.04,53.85,2.23,2.95,62.26,2.78
Juno,2.08,50.49,3.88,2.96,49.55,3.12,2.32,49.8,3.48,1.87,50.87,4.03,1.84,51.15,4.52,1.86,51.42,4.64,1.68,50.94,4.52,2.12,53.53,4.95,1.33,75.43,4.82
Ashe,1.38,51.24,2.84,0.99,52.88,2.67,1.2,51.08,2.65,1.44,51.09,2.83,1.51,51.13,2.92,1.5,51,2.96,1.72,51.73,3.06,1.87,50.65,3.16,1.05,27.07,2.03
Ramattra,1.99,48.04,3.16,2.99,51.39,3.21,2.83,47.74,3.06,2.06,46.95,3.15,1.29,47.28,3.26,0.97,47.45,3.42,0.83,46.3,3.45,0.82,46.88,3.72,1.43,43.53,3.63
Mercy,2.55,48.05,3.54,3.09,45.5,2.38,2.33,47.13,2.87,2.3,48.67,3.65,2.65,48.96,4.2,2.8,48.59,4.5,2.86,49.28,4.9,2.92,49.95,5.33,1.52,79.86,9.86
Zarya,1.43,52.54,4.55,0.93,55.25,4.1,1.2,51.91,4.06,1.46,51.61,4.36,1.49,52.08,4.73,1.69,53.26,5.13,2.14,54.15,5.32,3.28,55.42,5.53,5.71,73.35,6.49
Bastion,1.48,46.76,2.54,2.21,49.31,2.56,2.03,47.36,2.48,1.55,45.37,2.52,1.02,45.04,2.62,0.77,45.01,2.65,0.63,46.04,2.79,0.5,42.84,2.98,0.38,60.49,4.38
Lúcio,0.75,50.05,2.65,1.52,51.67,2.31,0.88,48.93,2.52,0.6,49.98,2.77,0.56,50.46,2.96,0.6,49.69,3.08,0.59,46.96,3.15,0.6,51,3.46,0.29,100,0
Mauga,1.65,48.72,4.01,1.87,48.91,3.78,1.81,47.55,3.78,1.69,48.33,3.98,1.51,49.28,4.23,1.37,50.58,4.41,1.35,52.1,4.67,1.55,50.09,4.88,11.05,70.18,6.83
Hanzo,1.78,50.17,2.86,1.68,54.38,2.75,1.56,49.27,2.58,1.73,49.86,2.84,1.94,50.08,2.96,1.97,49.1,3.08,2.28,50.55,3.19,2.01,50.83,3.44,1.05,33.38,2.85
Pharah,1.17,52.08,2.6,1.04,53.15,2.66,1.17,51.91,2.57,1.17,51.78,2.54,1.18,52.37,2.58,1.22,52.04,2.64,1.28,51.52,2.84,1.41,50.94,3.04,1.71,70.54,4.43
Illari,1.29,50.2,3.07,1.55,49.61,2.56,1.39,49.76,2.78,1.18,50.87,3.13,1.2,50.24,3.36,1.28,49.86,3.45,1.23,50.98,3.51,1.15,50.4,3.64,0.29,93.6,6.44
Doomfist,3.26,52.1,3.18,1.67,53.53,3,2.3,51.51,2.96,3.22,52.24,3.09,4.17,52.22,3.24,4.54,51.83,3.33,4.47,51.61,3.47,4.61,53.9,3.76,3.9,72.3,5.08
Venture,0.51,52.73,2.16,0.37,52.77,2.17,0.5,53.07,2.16,0.57,52.22,2.15,0.55,52.94,2.14,0.5,53.07,2.18,0.45,50.79,2.18,0.39,60.8,2.23,0.1,0,0
