Hero,All Pick Rate,All Win Rate,All KDA,Bronze Pick Rate,Bronze Win Rate,Bronze KDA,Silver Pick Rate,Silver Win Rate,Silver KDA,Gold Pick Rate,Gold Win Rate,Gold KDA,Platinum Pick Rate,Platinum Win Rate,Platinum KDA,Diamond Pick Rate,Diamond Win Rate,Diamond KDA,Master Pick Rate,Master Win Rate,Master KDA,Grandmaster Pick Rate,Grandmaster Win Rate,Grandmaster KDA,Champion Pick Rate,Champion Win Rate,Champion KDA
Ana,7.27,49.87,3.88,4.11,51.98,3.08,5.85,50.37,3.29,6.78,49.88,3.58,7.74,49.64,3.97,9.06,49.6,4.32,9.21,49.63,4.59,7.93,51.02,4.77,5.66,82.68,5.86
Kiriko,6.16,49.04,3.94,5.91,52.86,3.43,6.61,48.78,3.41,6.22,48.44,3.72,6.01,48.79,4.13,6.09,49.48,4.5,6.07,48.78,4.65,5.51,51.18,4.89,0.75,58.56,6
Genji,5.61,52.68,2.34,7.03,66.23,3.28,4.97,50.5,2.14,5.4,51.07,2.24,5.79,51.93,2.31,5.9,52.7,2.38,5.48,51.55,2.48,4.48,52.71,2.66,2.52,55.77,2.18
Moira,4.04,50.56,4.76,4.45,53.92,3.98,4.86,50.33,4.13,4.39,49.65,4.48,3.87,50.6,5.07,3.44,51.24,5.76,2.7,50.76,6.14,1.93,50.07,6.43,1.01,88.36,6.59
Sojourn,2.92,45.98,2.42,3.06,53.99,2.65,3.1,45.95,2.21,2.92,44.95,2.32,2.78,44.85,2.43,2.79,45.66,2.58,3.11,46.99,2.78,3.45,48.53,3.07,9.69,62.7,3.42
Soldier: 76,3.74,49.57,2.57,5.64,59.39,3.17,4.28,48.57,2.38,3.88,48.16,2.46,3.57,48.38,2.56,3.1,49.05,2.68,2.62,49.83,2.88,2.22,51.92,3.16,0.88,80.03,3.5
Cassidy,6,49.06,2.49,4.38,57.13,2.58,4.81,49.71,2.23,5.29,49.09,2.36,6.3,48.61,2.5,7.41,47.87,2.63,8.24,48.09,2.76,9.39,48.61,2.94,13.71,64.31,3.75
Zenyatta,3.37,51.93,4.42,2.44,53.75,3.82,3.6,51.97,3.92,3.5,52.2,4.22,3.49,52.42,4.63,3.28,50.94,4.97,2.93,49.25,5.21,2.2,47.49,5.16,0.75,84.53,11.15
Reaper,2.81,56.59,2.62,4.97,68.73,3.86,3.3,54.31,2.5,3.01,54.99,2.51,2.65,55.42,2.53,2.02,56.2,2.57,1.54,55.98,2.59,1.3,58.86,2.91,N,N,N
Juno,2.98,49.59,3.65,4.33,54.31,3.38,3.69,48.62,3.16,3.04,48.55,3.47,2.66,49.68,3.93,2.47,49.81,4.33,2.52,50.57,4.54,2.49,50.22,4.69,3.02,83.18,9.16
